species	cell_hits
Treron vernans_Pink-necked Green-Pigeon	53
Cacomantis variolosus_Brush Cuckoo	52
Cuculus saturatus_Himalayan Cuckoo	52
Gallinago stenura_Pin-tailed Snipe	52
Limnodromus semipalmatus_Asian Dowitcher	52
Ninox scutulata_Brown Boobook	52
Spilornis cheela_Crested Serpent-Eagle	52
Anhinga melanogaster_Oriental Darter	51
Anthreptes malacensis_Brown-throated Sunbird	51
Aplonis panayensis_Asian Glossy Starling	51
Ardea sumatrana_Great-billed Heron	51
Dryocopus javensis_White-bellied Woodpecker	51
Fregata minor_Great Frigatebird	51
Ictinaetus malaiensis_Black Eagle	51
Nettapus coromandelianus_Cotton Pygmy-Goose	51
Pycnonotus aurigaster_Sooty-headed Bulbul	51
Alcedo meninting_Blue-eared Kingfisher	50
Dendrocygna arcuata_Wandering Whistling-Duck	50
Gallinago megala_Swinhoe's Snipe	50
Aethopyga siparaja_Crimson Sunbird	49
Ficedula hyperythra_Snowy-browed Flycatcher	49
Fulica atra_Eurasian Coot	49
Onychoprion fuscatus_Sooty Tern	49
Stercorarius pomarinus_Pomarine Jaeger	49
Zapornia pusilla_Baillon's Crake	49
Anthus cervinus_Red-throated Pipit	48
Cuculus micropterus_Indian Cuckoo	48
Muscicapa griseisticta_Gray-streaked Flycatcher	48
Pelargopsis capensis_Stork-billed Kingfisher	48
Phalacrocorax carbo_Great Cormorant	48
Stercorarius parasiticus_Parasitic Jaeger	48
Streptopelia tranquebarica_Red Collared-Dove	48
Tringa ochropus_Green Sandpiper	48
Centropus sinensis_Greater Coucal	47
Dendronanthus indicus_Forest Wagtail	47
Dicaeum ignipectus_Fire-breasted Flowerpecker	47
Hydrophasianus chirurgus_Pheasant-tailed Jacana	47
Aythya fuligula_Tufted Duck	46
Circus melanoleucos_Pied Harrier	46
Falco tinnunculus_Eurasian Kestrel	46
Gallinago gallinago_Common Snipe	46
Hierococcyx sparverioides_Large Hawk-Cuckoo	46
Hirundapus caudacutus_White-throated Needletail	46
Anas acuta_Northern Pintail	45
Charadrius peronii_Malaysian Plover	45
Dicaeum trigonostigma_Orange-bellied Flowerpecker	45
Dicrurus leucophaeus_Ashy Drongo	45
Gracula religiosa_Common Hill Myna	45
Mirafra javanica_Australasian Bushlark	45
Nisaetus cirrhatus_Changeable Hawk-Eagle	45
Anas crecca_Green-winged Teal	44
Aviceda jerdoni_Jerdon's Baza	44
Chrysococcyx minutillus_Little Bronze-Cuckoo	44
Cyanoptila cyanomelana_Blue-and-white Flycatcher	44
Dicrurus hottentottus_Hair-crested Drongo	44
Haliaeetus ichthyaetus_Gray-headed Fish-Eagle	44
Phaethon lepturus_White-tailed Tropicbird	44
Plegadis falcinellus_Glossy Ibis	44
Prinia flaviventris_Yellow-bellied Prinia	44
Psilopogon haemacephalus_Coppersmith Barbet	44
Turdus poliocephalus_Island Thrush	44
Anthus gustavi_Pechora Pipit	43
Anthus hodgsoni_Olive-backed Pipit	43
Ardenna pacifica_Wedge-tailed Shearwater	43
Columba livia_Rock Pigeon	43
Haliaeetus humilis_Lesser Fish-Eagle	43
Mareca penelope_Eurasian Wigeon	43
Riparia riparia_Bank Swallow	43
Spatula clypeata_Northern Shoveler	43
Thalasseus bengalensis_Lesser Crested Tern	43
Zosterops japonicus_Warbling White-eye	43
Aegithina tiphia_Common Iora	42
Amandava amandava_Red Avadavat	42
Brachypodius melanocephalos_Black-headed Bulbul	42
Calliope calliope_Siberian Rubythroat	42
Cecropis daurica_Red-rumped Swallow	42
Culicicapa ceylonensis_Gray-headed Canary-Flycatcher	42
Delichon dasypus_Asian House-Martin	42
Hemiprocne comata_Whiskered Treeswift	42
Himantopus leucocephalus_Pied Stilt	42
Megalurus palustris_Striated Grassbird	42
Muscicapa sibirica_Dark-sided Flycatcher	42
Sula sula_Red-footed Booby	42
Treron curvirostra_Thick-billed Green-Pigeon	42
Abroscopus superciliaris_Yellow-bellied Warbler	41
Acridotheres tristis_Common Myna	41
Brachypteryx leucophris_Lesser Shortwing	41
Gorsachius melanolophus_Malayan Night-Heron	41
Motacilla alba_White Wagtail	41
Muscicapa ferruginea_Ferruginous Flycatcher	41
Pnoepyga pusilla_Pygmy Cupwing	41
Rallina fasciata_Red-legged Crake	41
Terpsiphone affinis_Blyth's Paradise-Flycatcher	41
Yungipicus canicapillus_Gray-capped Pygmy Woodpecker	41
Cyornis rufigastra_Mangrove Blue Flycatcher	40
