species	cell_hits
Myiodynastes maculatus_Streaked Flycatcher	117
Tapera naevia_Striped Cuckoo	117
Buteogallus urubitinga_Great Black Hawk	116
Basileuterus culicivorus_Golden-crowned Warbler	113
Elanoides forficatus_Swallow-tailed Kite	113
Tolmomyias sulphurescens_Yellow-olive Flycatcher	113
Charadrius nivosus_Snowy Plover	112
Sterna hirundinacea_South American Tern	112
Thalassarche melanophris_Black-browed Albatross	112
Anas georgica_Yellow-billed Pintail	111
Falco rufigularis_Bat Falcon	111
Geranoaetus albicaudatus_White-tailed Hawk	111
Myiopagis viridicata_Greenish Elaenia	111
Tyrannus savana_Fork-tailed Flycatcher	111
Anas flavirostris_Yellow-billed Teal	109
Geothlypis aequinoctialis_Masked Yellowthroat	108
Legatus leucophaius_Piratic Flycatcher	108
Sterna paradisaea_Arctic Tern	108
Progne tapera_Brown-chested Martin	107
Todirostrum cinereum_Common Tody-Flycatcher	107
Vireo chivi_Chivi Vireo	107
Cyanerpes cyaneus_Red-legged Honeycreeper	106
Phaethon aethereus_Red-billed Tropicbird	106
Progne subis_Purple Martin	105
Anas acuta_Northern Pintail	104
Charadrius vociferus_Killdeer	104
Contopus cinereus_Tropical Pewee	104
Parkesia noveboracensis_Northern Waterthrush	104
Phleocryptes melanops_Wren-like Rushbird	104
Porzana carolina_Sora	104
Stelgidopteryx ruficollis_Southern Rough-winged Swallow	104
Jacana jacana_Wattled Jacana	103
Phoenicopterus chilensis_Chilean Flamingo	103
Spizaetus tyrannus_Black Hawk-Eagle	103
Tachuris rubrigastra_Many-colored Rush Tyrant	103
Aramides cajaneus_Gray-cowled Wood-Rail	102
Chordeiles minor_Common Nighthawk	102
Elaenia flavogaster_Yellow-bellied Elaenia	102
Fulica americana_American Coot	102
Butorides virescens_Green Heron	101
Cairina moschata_Muscovy Duck	101
Megaceryle alcyon_Belted Kingfisher	101
Myiopsitta monachus_Monk Parakeet	101
Patagioenas cayennensis_Pale-vented Pigeon	101
Buteogallus meridionalis_Savanna Hawk	100
Contopus cooperi_Olive-sided Flycatcher	100
Columbina picui_Picui Ground Dove	99
Geositta cunicularia_Common Miner	99
Micrastur ruficollis_Barred Forest-Falcon	99
Phalaropus lobatus_Red-necked Phalarope	99
Podiceps occipitalis_Silvery Grebe	99
Attila spadiceus_Bright-rumped Attila	98
Ictinia plumbea_Plumbeous Kite	98
Mniotilta varia_Black-and-white Warbler	98
Onychoprion fuscatus_Sooty Tern	98
Pachyramphus polychopterus_White-winged Becard	98
Podiceps major_Great Grebe	98
Fulica rufifrons_Red-fronted Coot	97
Calidris virgata_Surfbird	96
Milvago chimachima_Yellow-headed Caracara	96
Spinus magellanicus_Hooded Siskin	96
Thraupis palmarum_Palm Tanager	96
Tyrannus tyrannus_Eastern Kingbird	96
Anthus correndera_Correndera Pipit	95
Megascops choliba_Tropical Screech-Owl	95
Tityra inquisitor_Black-crowned Tityra	95
Asio clamator_Striped Owl	94
Bartramia longicauda_Upland Sandpiper	94
Buteo swainsoni_Swainson's Hawk	94
Cochlearius cochlearius_Boat-billed Heron	94
Setophaga ruticilla_American Redstart	94
Streptopelia decaocto_Eurasian Collared-Dove	94
Tigrisoma lineatum_Rufescent Tiger-Heron	94
Asio stygius_Stygian Owl	93
Geranoaetus polyosoma_Variable Hawk	93
Ixobrychus involucris_Stripe-backed Bittern	93
Nyctibius griseus_Common Potoo	93
Phoenicopterus ruber_American Flamingo	93
Spatula clypeata_Northern Shoveler	93
Tityra semifasciata_Masked Tityra	93
Claravis pretiosa_Blue Ground Dove	92
Columbina minuta_Plain-breasted Ground Dove	92
Thamnophilus doliatus_Barred Antshrike	92
Tringa incana_Wandering Tattler	92
Catharus ustulatus_Swainson's Thrush	91
Phaeomyias murina_Mouse-colored Tyrannulet	91
Phaetusa simplex_Large-billed Tern	91
Piranga rubra_Summer Tanager	91
Sternula superciliaris_Yellow-billed Tern	91
Thalasseus elegans_Elegant Tern	91
Ardenna creatopus_Pink-footed Shearwater	90
Daption capense_Cape Petrel	90
Machetornis rixosa_Cattle Tyrant	90
Milvago chimango_Chimango Caracara	90
Mimus gilvus_Tropical Mockingbird	90
Pardirallus maculatus_Spotted Rail	90
Spatula platalea_Red Shoveler	90
Thraupis episcopus_Blue-gray Tanager	90
Gallinago delicata_Wilson's Snipe	89
Habia rubica_Red-crowned Ant-Tanager	89
Dysithamnus mentalis_Plain Antvireo	88
Elaenia parvirostris_Small-billed Elaenia	88
Gampsonyx swainsonii_Pearl Kite	88
Oreopholus ruficollis_Tawny-throated Dotterel	88
Empidonomus varius_Variegated Flycatcher	87
Harpagus bidentatus_Double-toothed Kite	87
Hymenops perspicillatus_Spectacled Tyrant	87
Myiarchus swainsoni_Swainson's Flycatcher	87
Saltator maximus_Buff-throated Saltator	87
Spheniscus magellanicus_Magellanic Penguin	87
Sturnella magna_Eastern Meadowlark	87
Certhiaxis cinnamomeus_Yellow-chinned Spinetail	86
Chordeiles nacunda_Nacunda Nighthawk	86
Coscoroba coscoroba_Coscoroba Swan	86
Crotophaga major_Greater Ani	86
Crypturellus soui_Little Tinamou	86
Dacnis cayana_Blue Dacnis	86
Anairetes parulus_Tufted Tit-Tyrant	85
Aythya affinis_Lesser Scaup	85
Empidonomus aurantioatrocristatus_Crowned Slaty Flycatcher	85
Gallinago paraguaiae_Paraguayan Snipe	85
Lathrotriccus euleri_Euler's Flycatcher	85
Leptodon cayanensis_Gray-headed Kite	85
