species	cell_hits
Anas castanea_Chestnut Teal	63
Calyptorhynchus banksii_Red-tailed Black-Cockatoo	63
Eudynamys orientalis_Pacific Koel	63
Smicrornis brevirostris_Weebill	63
Artamus cyanopterus_Dusky Woodswallow	62
Cacomantis variolosus_Brush Cuckoo	62
Cincloramphus mathewsi_Rufous Songlark	62
Dacelo novaeguineae_Laughing Kookaburra	62
Sula sula_Red-footed Booby	62
Taeniopygia guttata_Zebra Finch	62
Cincloramphus cruralis_Brown Songlark	61
Coracina papuensis_White-bellied Cuckooshrike	61
Poliolimnas cinereus_White-browed Crake	61
Sula dactylatra_Masked Booby	61
Oriolus sagittatus_Olive-backed Oriole	60
Thalasseus bengalensis_Lesser Crested Tern	60
Corvus coronoides_Australian Raven	59
Gavicalis virescens_Singing Honeyeater	59
Manorina flavigula_Yellow-throated Miner	59
Tyto novaehollandiae_Australian Masked-Owl	59
Acanthagenys rufogularis_Spiny-cheeked Honeyeater	58
Antigone rubicunda_Brolga	58
Chrysococcyx osculans_Black-eared Cuckoo	58
Columba vitiensis_Metallic Pigeon	58
Corvus orru_Torresian Crow	58
Dendrocygna eytoni_Plumed Whistling-Duck	58
Melanodryas cucullata_Hooded Robin	58
Phaethon rubricauda_Red-tailed Tropicbird	58
Tribonyx ventralis_Black-tailed Nativehen	58
Tringa incana_Wandering Tattler	58
Artamus personatus_Masked Woodswallow	57
Gerygone fusca_Western Gerygone	57
Nymphicus hollandicus_Cockatiel	57
Pardalotus punctatus_Spotted Pardalote	57
Petroica goodenovii_Red-capped Robin	57
Anous minutus_Black Noddy	56
Coturnix pectoralis_Stubble Quail	56
Dicrurus bracteatus_Spangled Drongo	56
Melopsittacus undulatus_Budgerigar	56
Numenius minutus_Little Curlew	56
Scythrops novaehollandiae_Channel-billed Cuckoo	56
Tadorna tadornoides_Australian Shelduck	56
Thalassarche melanophris_Black-browed Albatross	56
Geopelia humeralis_Bar-shouldered Dove	55
Hirundo rustica_Barn Swallow	55
Ixobrychus flavicollis_Black Bittern	55
Oreoica gutturalis_Crested Bellbird	55
Sugomel nigrum_Black Honeyeater	55
Acanthiza apicalis_Inland Thornbill	54
Anas platyrhynchos_Mallard	54
Calidris falcinellus_Broad-billed Sandpiper	54
Chalcophaps longirostris_Pacific Emerald Dove	54
Edolisoma tenuirostre_Common Cicadabird	54
Pomatostomus temporalis_Gray-crowned Babbler	54
Urodynamis taitensis_Long-tailed Koel	54
Anseranas semipalmata_Magpie Goose	53
Biziura lobata_Musk Duck	53
Hirundo tahitica_Pacific Swallow	53
Purnella albifrons_White-fronted Honeyeater	53
Turdus merula_Eurasian Blackbird	53
Barnardius zonarius_Australian Ringneck	52
Diomedea exulans_Wandering Albatross	52
Gallus gallus_Red Junglefowl	52
Lonchura castaneothorax_Chestnut-breasted Munia	52
Malurus assimilis_Purple-backed Fairywren	52
Malurus splendens_Splendid Fairywren	52
Melithreptus gularis_Black-chinned Honeyeater	52
Aviceda subcristata_Pacific Baza	51
Calidris melanotos_Pectoral Sandpiper	51
Epthianura tricolor_Crimson Chat	51
Eudyptula minor_Little Penguin	51
Falcunculus frontatus_Crested Shrike-tit	51
Pardalotus rubricatus_Red-browed Pardalote	51
Pomatostomus superciliosus_White-browed Babbler	51
Turdus poliocephalus_Island Thrush	51
Acanthiza uropygialis_Chestnut-rumped Thornbill	50
Centropus phasianinus_Pheasant Coucal	50
Certhionyx variegatus_Pied Honeyeater	50
Erythrura trichroa_Blue-faced Parrotfinch	50
Ixobrychus dubius_Black-backed Bittern	50
Myiagra inquieta_Restless Flycatcher	50
Artamus superciliosus_White-browed Woodswallow	49
Charadrius dubius_Little Ringed Plover	49
Dendrocygna arcuata_Wandering Whistling-Duck	49
Entomyzon cyanotis_Blue-faced Honeyeater	49
Glareola maldivarum_Oriental Pratincole	49
Malurus leucopterus_White-winged Fairywren	49
Motacilla tschutschensis_Eastern Yellow Wagtail	49
Myiagra cyanoleuca_Satin Flycatcher	49
Manorina melanocephala_Noisy Miner	48
Myiagra rubecula_Leaden Flycatcher	48
Nesoptilotis leucotis_White-eared Honeyeater	48
Pyrrholaemus brunneus_Redthroat	48
Aphelocephala leucopsis_Southern Whiteface	47
Cuculus optatus_Oriental Cuckoo	47
Phalaropus lobatus_Red-necked Phalarope	47
Phasianus colchicus_Ring-necked Pheasant	47
Trichoglossus moluccanus_Rainbow Lorikeet	47
Anthochaera carunculata_Red Wattlebird	46
Bulweria bulwerii_Bulwer's Petrel	46
Chrysococcyx minutillus_Little Bronze-Cuckoo	46
Cincloramphus timoriensis_Tawny Grassbird	46
Lalage leucomela_Varied Triller	46
Philemon citreogularis_Little Friarbird	46
Rhipidura rufifrons_Rufous Fantail	46
Strepera versicolor_Gray Currawong	46
Alauda arvensis_Eurasian Skylark	45
Caprimulgus macrurus_Large-tailed Nightjar	45
Carduelis carduelis_European Goldfinch	45
Cinnyris jugularis_Olive-backed Sunbird	45
Daption capense_Cape Petrel	45
Ducula pacifica_Pacific Imperial-Pigeon	45
Platycercus eximius_Eastern Rosella	45
Ptilotula penicillata_White-plumed Honeyeater	45
Turnix maculosus_Red-backed Buttonquail	45
Amaurornis moluccana_Pale-vented Bush-hen	44
Ardenna carneipes_Flesh-footed Shearwater	44
Eopsaltria australis_Eastern Yellow Robin	44
Gerygone olivacea_White-throated Gerygone	44
Gygis alba_White Tern	44
Lophochroa leadbeateri_Pink Cockatoo	44
Petroica boodang_Scarlet Robin	44
Turnix varius_Painted Buttonquail	44
Melithreptus brevirostris_Brown-headed Honeyeater	43
Phaps elegans_Brush Bronzewing	43
Psephotus varius_Mulga Parrot	43
Sphecotheres vieilloti_Australasian Figbird	43
Todiramphus macleayii_Forest Kingfisher	43
Ardea sumatrana_Great-billed Heron	42
Calyptorhynchus funereus_Yellow-tailed Black-Cockatoo	42
Cisticola juncidis_Zitting Cisticola	42
Gallinago megala_Swinhoe's Snipe	42
Philemon corniculatus_Noisy Friarbird	42
Pterodroma inexpectata_Mottled Petrel	42
Sterna striata_White-fronted Tern	42
Todiramphus sordidus_Torresian Kingfisher	42
Chloris chloris_European Greenfinch	41
Dacelo leachii_Blue-winged Kookaburra	41
Pterodroma cookii_Cook's Petrel	41
Spatula querquedula_Garganey	41
Stipiturus malachurus_Southern Emuwren	41
Megapodius reinwardt_Orange-footed Scrubfowl	40
Neochmia temporalis_Red-browed Firetail	40
Stercorarius antarcticus_Brown Skua	40
Trichoglossus haematodus_Coconut Lorikeet	40
