species	cell_hits
Clangula hyemalis_Long-tailed Duck	74
Lullula arborea_Wood Lark	74
Ardea alba_Great Egret	73
Jynx torquilla_Eurasian Wryneck	73
Pernis apivorus_European Honey-buzzard	73
Phalaropus lobatus_Red-necked Phalarope	73
Grus grus_Common Crane	72
Haliaeetus albicilla_White-tailed Eagle	72
Perdix perdix_Gray Partridge	72
Dryobates minor_Lesser Spotted Woodpecker	71
Melanitta fusca_Velvet Scoter	71
Oriolus oriolus_Eurasian Golden Oriole	71
Stercorarius skua_Great Skua	71
Crex crex_Corn Crake	70
Lanius collurio_Red-backed Shrike	70
Larus argentatus_Herring Gull	70
Porzana porzana_Spotted Crake	70
Accipiter gentilis_Northern Goshawk	69
Bombycilla garrulus_Bohemian Waxwing	69
Poecile palustris_Marsh Tit	69
Somateria mollissima_Common Eider	69
Calidris maritima_Purple Sandpiper	68
Emberiza hortulana_Ortolan Bunting	68
Lanius excubitor_Great Gray Shrike	68
Milvus migrans_Black Kite	68
Picus viridis_Eurasian Green Woodpecker	68
Podiceps grisegena_Red-necked Grebe	68
Alca torda_Razorbill	67
Branta leucopsis_Barnacle Goose	67
Hippolais icterina_Icterine Warbler	67
Mergellus albellus_Smew	67
Recurvirostra avosetta_Pied Avocet	67
Acrocephalus palustris_Marsh Warbler	66
Egretta garzetta_Little Egret	66
Lophophanes cristatus_Crested Tit	66
Panurus biarmicus_Bearded Reedling	66
Podiceps nigricollis_Eared Grebe	66
Tyto alba_Barn Owl	66
Acanthis flammea_Common Redpoll	65
Branta bernicla_Brant	65
Ichthyaetus melanocephalus_Mediterranean Gull	65
Anthus petrosus_Rock Pipit	64
Botaurus stellaris_Great Bittern	64
Branta canadensis_Canada Goose	64
Morus bassanus_Northern Gannet	64
Phylloscopus inornatus_Yellow-browed Warbler	64
Sterna paradisaea_Arctic Tern	64
Bubo bubo_Eurasian Eagle-Owl	63
Calidris temminckii_Temminck's Stint	63
Hydroprogne caspia_Caspian Tern	63
Larus hyperboreus_Glaucous Gull	63
Uria aalge_Common Murre	62
Acrocephalus arundinaceus_Great Reed Warbler	61
Chlidonias hybrida_Whiskered Tern	61
Fratercula arctica_Atlantic Puffin	61
Himantopus himantopus_Black-winged Stilt	61
Anthus cervinus_Red-throated Pipit	60
Dryocopus martius_Black Woodpecker	60
Hydrobates pelagicus_European Storm-Petrel	60
Platalea leucorodia_Eurasian Spoonbill	60
Bubulcus ibis_Cattle Egret	59
Charadrius morinellus_Eurasian Dotterel	59
Curruca nisoria_Barred Warbler	59
Gallinago media_Great Snipe	59
Gavia immer_Common Loon	59
Milvus milvus_Red Kite	59
Regulus ignicapilla_Common Firecrest	59
Cygnus columbianus_Tundra Swan	58
Fulmarus glacialis_Northern Fulmar	58
Plegadis falcinellus_Glossy Ibis	58
Remiz pendulinus_Eurasian Penduline-Tit	58
Serinus serinus_European Serin	58
Ardea purpurea_Purple Heron	57
Calidris falcinellus_Broad-billed Sandpiper	57
Cepphus grylle_Black Guillemot	57
Eremophila alpestris_Horned Lark	57
Linaria flavirostris_Twite	57
Nycticorax nycticorax_Black-crowned Night-Heron	57
Carpodacus erythrinus_Common Rosefinch	56
Ficedula parva_Red-breasted Flycatcher	55
Larus michahellis_Yellow-legged Gull	55
Locustella luscinioides_Savi's Warbler	55
Pyrrhocorax pyrrhocorax_Red-billed Chough	55
Upupa epops_Eurasian Hoopoe	55
Ardenna grisea_Sooty Shearwater	54
Calcarius lapponicus_Lapland Longspur	54
Charadrius alexandrinus_Kentish Plover	54
Luscinia megarhynchos_Common Nightingale	54
Netta rufina_Red-crested Pochard	54
Poecile montanus_Willow Tit	54
Athene noctua_Little Owl	53
Certhia brachydactyla_Short-toed Treecreeper	53
Ciconia nigra_Black Stork	53
Dendrocopos leucotos_White-backed Woodpecker	53
Picus canus_Gray-headed Woodpecker	53
Anser brachyrhynchus_Pink-footed Goose	52
Anthus campestris_Tawny Pipit	52
Buteo lagopus_Rough-legged Hawk	52
Ciconia ciconia_White Stork	52
Falco rusticolus_Gyrfalcon	52
Luscinia luscinia_Thrush Nightingale	52
Aythya nyroca_Ferruginous Duck	51
Cettia cetti_Cetti's Warbler	51
Merops apiaster_European Bee-eater	51
Stercorarius longicaudus_Long-tailed Jaeger	51
Anthus spinoletta_Water Pipit	50
Ixobrychus minutus_Little Bittern	50
Nucifraga caryocatactes_Eurasian Nutcracker	50
Puffinus puffinus_Manx Shearwater	50
Aegolius funereus_Boreal Owl	49
Bubo scandiacus_Snowy Owl	49
Dendrocoptes medius_Middle Spotted Woodpecker	49
Emberiza calandra_Corn Bunting	49
Falco vespertinus_Red-footed Falcon	49
Acanthis cabaret_Lesser Redpoll	48
Anser serrirostris_Tundra Bean-Goose	48
Burhinus oedicnemus_Eurasian Thick-knee	48
Glaucidium passerinum_Eurasian Pygmy-Owl	48
Larus glaucoides_Iceland Gull	48
Lyrurus tetrix_Black Grouse	48
Circaetus gallicus_Short-toed Snake-Eagle	47
Circus macrourus_Pallid Harrier	47
Galerida cristata_Crested Lark	47
Lagopus muta_Rock Ptarmigan	47
Phalaropus fulicarius_Red Phalarope	47
Tetrao urogallus_Western Capercaillie	47
Anser fabalis_Taiga Bean-Goose	46
Hydrobates leucorhous_Leach's Storm-Petrel	46
Locustella fluviatilis_River Warbler	46
Ptyonoprogne rupestris_Eurasian Crag-Martin	46
Emberiza cia_Rock Bunting	45
Picoides tridactylus_Eurasian Three-toed Woodpecker	45
Somateria spectabilis_King Eider	45
Ardeola ralloides_Squacco Heron	44
Coracias garrulus_European Roller	44
Tringa stagnatilis_Marsh Sandpiper	44
Larus cachinnans_Caspian Gull	43
Strix uralensis_Ural Owl	43
Tetrastes bonasia_Hazel Grouse	43
Uria lomvia_Thick-billed Murre	43
Apus melba_Alpine Swift	42
Emberiza cirlus_Cirl Bunting	42
Hieraaetus pennatus_Booted Eagle	42
Lagopus lagopus_Willow Ptarmigan	42
Prunella collaris_Alpine Accentor	42
Acanthis hornemanni_Hoary Redpoll	41
Clanga pomarina_Lesser Spotted Eagle	41
Gyps fulvus_Eurasian Griffon	41
Lanius senator_Woodchat Shrike	41
Chlidonias leucopterus_White-winged Tern	40
Corvus corone_Carrion Crow	40
Passer hispaniolensis_Spanish Sparrow	40
Tadorna ferruginea_Ruddy Shelduck	40
Calandrella brachydactyla_Greater Short-toed Lark	39
Calonectris diomedea_Cory's Shearwater	39
Clanga clanga_Greater Spotted Eagle	39
Ficedula albicollis_Collared Flycatcher	39
Monticola saxatilis_Rufous-tailed Rock-Thrush	39
Otus scops_Eurasian Scops-Owl	39
Zapornia parva_Little Crake	39
Anser erythropus_Lesser White-fronted Goose	38
Curruca melanocephala_Sardinian Warbler	38
Gelochelidon nilotica_Gull-billed Tern	38
Pyrrhocorax graculus_Yellow-billed Chough	38
Acrocephalus dumetorum_Blyth's Reed Warbler	37
Cisticola juncidis_Zitting Cisticola	37
Falco naumanni_Lesser Kestrel	37
Glareola pratincola_Collared Pratincole	37
Melanocorypha calandra_Calandra Lark	37
Surnia ulula_Northern Hawk Owl	37
Pinicola enucleator_Pine Grosbeak	36
Psittacula krameri_Rose-ringed Parakeet	36
Chroicocephalus genei_Slender-billed Gull	35
Tetrax tetrax_Little Bustard	35
Acrocephalus melanopogon_Moustached Warbler	34
Aix galericulata_Mandarin Duck	34
Motacilla citreola_Citrine Wagtail	34
Alectoris rufa_Red-legged Partridge	33
Cecropis daurica_Red-rumped Swallow	33
Iduna pallida_Eastern Olivaceous Warbler	33
Strix nebulosa_Great Gray Owl	33
Emberiza pusilla_Little Bunting	32
Lanius minor_Lesser Gray Shrike	32
Loxia leucoptera_White-winged Crossbill	32
Monticola solitarius_Blue Rock-Thrush	32
Phoenicopterus roseus_Greater Flamingo	32
Phylloscopus trochiloides_Greenish Warbler	32
Xenus cinereus_Terek Sandpiper	32
Loxia pytyopsittacus_Parrot Crossbill	31
Perisoreus infaustus_Siberian Jay	31
Petronia petronia_Rock Sparrow	31
Zapornia pusilla_Baillon's Crake	31
Apus pallidus_Pallid Swift	30
Gavia adamsii_Yellow-billed Loon	30
Histrionicus histrionicus_Harlequin Duck	30
Oenanthe melanoleuca_Eastern Black-eared Wheatear	30
Xema sabini_Sabine's Gull	30
Cercotrichas galactotes_Rufous-tailed Scrub-Robin	29
Emberiza rustica_Rustic Bunting	29
Oenanthe isabellina_Isabelline Wheatear	29
Poecile cinctus_Gray-headed Chickadee	29
Emberiza melanocephala_Black-headed Bunting	28
Curruca conspicillata_Spectacled Warbler	27
Pastor roseus_Rosy Starling	27
Dendrocopos syriacus_Syrian Woodpecker	26
Aquila heliaca_Imperial Eagle	25
Curruca undata_Dartford Warbler	25
Phylloscopus borealis_Arctic Warbler	25
Pterocles orientalis_Black-bellied Sandgrouse	25
Saxicola maurus_Siberian Stonechat	25
Aegypius monachus_Cinereous Vulture	24
Anthus richardi_Richard's Pipit	24
Clamator glandarius_Great Spotted Cuckoo	24
Hippolais polyglotta_Melodious Warbler	24
Tarsiger cyanurus_Red-flanked Bluetail	24
Tichodroma muraria_Wallcreeper	24
Iduna caligata_Booted Warbler	23
Merops persicus_Blue-cheeked Bee-eater	23
Sterna dougallii_Roseate Tern	23
Acrocephalus agricola_Paddyfield Warbler	22
Alectoris chukar_Chukar	22
Oenanthe pleschanka_Pied Wheatear	22
Cyanistes cyanus_Azure Tit	21
Ichthyaetus audouinii_Audouin's Gull	21
Montifringilla nivalis_White-winged Snowfinch	21
Phylloscopus bonelli_Western Bonelli's Warbler	20
Alaudala heinei_Turkestan Short-toed Lark	19
Anthropoides virgo_Demoiselle Crane	19
Phylloscopus orientalis_Eastern Bonelli's Warbler	19
Acrocephalus paludicola_Aquatic Warbler	18
Aquila nipalensis_Steppe Eagle	18
Sitta krueperi_Krüper's Nuthatch	18
Sturnus unicolor_Spotless Starling	18
Aythya collaris_Ring-necked Duck	17
Estrilda astrild_Common Waxbill	17
Oxyura jamaicensis_Ruddy Duck	17
Phylloscopus nitidus_Green Warbler	17
Phylloscopus sindianus_Mountain Chiffchaff	17
Poecile lugubris_Sombre Tit	17
Alopochen aegyptiaca_Egyptian Goose	16
Calidris melanotos_Pectoral Sandpiper	16
Elanus caeruleus_Black-winged Kite	16
Locustella lanceolata_Lanceolated Warbler	16
