species	cell_hits
Nyctidromus albicollis_Common Pauraque	82
Patagioenas cayennensis_Pale-vented Pigeon	82
Psittacara leucophthalmus_White-eyed Parakeet	82
Thraupis palmarum_Palm Tanager	82
Turdus albicollis_White-necked Thrush	82
Arundinicola leucocephala_White-headed Marsh Tyrant	81
Chondrohierax uncinatus_Hook-billed Kite	81
Elaenia flavogaster_Yellow-bellied Elaenia	81
Herpetotheres cachinnans_Laughing Falcon	81
Hydropsalis torquata_Scissor-tailed Nightjar	81
Megarynchus pitangua_Boat-billed Flycatcher	81
Stercorarius parasiticus_Parasitic Jaeger	81
Todirostrum cinereum_Common Tody-Flycatcher	81
Ciccaba virgata_Mottled Owl	80
Dacnis cayana_Blue Dacnis	80
Laterallus melanophaius_Rufous-sided Crake	80
Leptodon cayanensis_Gray-headed Kite	80
Micrastur ruficollis_Barred Forest-Falcon	80
Micrastur semitorquatus_Collared Forest-Falcon	80
Myiarchus tyrannulus_Brown-crested Flycatcher	80
Spizaetus tyrannus_Black Hawk-Eagle	80
Thalasseus maximus_Royal Tern	80
Amazonetta brasiliensis_Brazilian Teal	79
Ammodramus humeralis_Grassland Sparrow	79
Dendrocygna viduata_White-faced Whistling-Duck	79
Dysithamnus mentalis_Plain Antvireo	79
Hemithraupis guira_Guira Tanager	79
Larus dominicanus_Kelp Gull	79
Nemosia pileata_Hooded Tanager	79
Saltator coerulescens_Blue-gray Saltator	79
Tachycineta albiventer_White-winged Swallow	79
Tityra inquisitor_Black-crowned Tityra	79
Turdus leucomelas_Pale-breasted Thrush	79
Euphonia chlorotica_Purple-throated Euphonia	78
Mesembrinibis cayennensis_Green Ibis	78
Myiopagis viridicata_Greenish Elaenia	78
Anthus lutescens_Yellowish Pipit	77
Chordeiles acutipennis_Lesser Nighthawk	77
Circus buffoni_Long-winged Harrier	77
Emberizoides herbicola_Wedge-tailed Grass-Finch	77
Hirundinea ferruginea_Cliff Flycatcher	77
Ixobrychus exilis_Least Bittern	77
Leptopogon amaurocephalus_Sepia-capped Flycatcher	77
Psarocolius decumanus_Crested Oropendola	77
Conirostrum speciosum_Chestnut-vented Conebill	76
Mimus saturninus_Chalk-browed Mockingbird	76
Mustelirallus albicollis_Ash-throated Crake	76
Myiozetetes similis_Social Flycatcher	76
Taraba major_Great Antshrike	76
Chionomesa fimbriata_Glittering-throated Emerald	75
Coccyzus americanus_Yellow-billed Cuckoo	75
Falco rufigularis_Bat Falcon	75
Ixobrychus involucris_Stripe-backed Bittern	75
Leptotila rufaxilla_Gray-fronted Dove	75
Patagioenas plumbea_Plumbeous Pigeon	75
Phaeomyias murina_Mouse-colored Tyrannulet	75
Phalaropus tricolor_Wilson's Phalarope	75
Spinus magellanicus_Hooded Siskin	75
Syrigma sibilatrix_Whistling Heron	75
Tityra cayana_Black-tailed Tityra	75
Chlorophanes spiza_Green Honeycreeper	74
Donacobius atricapilla_Black-capped Donacobius	74
Lurocalis semitorquatus_Short-tailed Nighthawk	74
Myiarchus ferox_Short-crested Flycatcher	74
Myiopagis caniceps_Gray Elaenia	74
Pardirallus sanguinolentus_Plumbeous Rail	74
Setopagis parvula_Little Nightjar	74
Spizaetus melanoleucus_Black-and-white Hawk-Eagle	74
Trogon rufus_Black-throated Trogon	74
Bartramia longicauda_Upland Sandpiper	73
Lepidocolaptes angustirostris_Narrow-billed Woodcreeper	73
Molothrus oryzivorus_Giant Cowbird	73
Ramphastos vitellinus_Channel-billed Toucan	73
Turdus amaurochalinus_Creamy-bellied Thrush	73
Xenops rutilans_Streaked Xenops	73
Busarellus nigricollis_Black-collared Hawk	72
Buteo nitidus_Gray-lined Hawk	72
