species	cell_hits
Anas crecca_Green-winged Teal	25
Aythya collaris_Ring-necked Duck	25
Buteogallus anthracinus_Common Black Hawk	25
Chaetura pelagica_Chimney Swift	25
Chloroceryle americana_Green Kingfisher	25
Columbina talpacoti_Ruddy Ground Dove	25
Contopus cooperi_Olive-sided Flycatcher	25
Crotophaga sulcirostris_Groove-billed Ani	25
Cyclarhis gujanensis_Rufous-browed Peppershrike	25
Dumetella carolinensis_Gray Catbird	25
Helmitheros vermivorum_Worm-eating Warbler	25
Megaceryle torquata_Ringed Kingfisher	25
Megarynchus pitangua_Boat-billed Flycatcher	25
Nyctidromus albicollis_Common Pauraque	25
Passerina ciris_Painted Bunting	25
Phalaropus tricolor_Wilson's Phalarope	25
Progne chalybea_Gray-breasted Martin	25
Rupornis magnirostris_Roadside Hawk	25
Setophaga striata_Blackpoll Warbler	25
Spinus psaltria_Lesser Goldfinch	25
Tyrannus dominicensis_Gray Kingbird	25
Tyrannus melancholicus_Tropical Kingbird	25
Volatinia jacarina_Blue-black Grassquit	25
Anous stolidus_Brown Noddy	24
Antrostomus carolinensis_Chuck-will's-widow	24
Burhinus bistriatus_Double-striped Thick-knee	24
Buteo albonotatus_Zone-tailed Hawk	24
Buteo brachyurus_Short-tailed Hawk	24
Dryocopus lineatus_Lineated Woodpecker	24
Elanus leucurus_White-tailed Kite	24
Herpetotheres cachinnans_Laughing Falcon	24
Icterus spurius_Orchard Oriole	24
Jacana spinosa_Northern Jacana	24
Legatus leucophaius_Piratic Flycatcher	24
Mimus polyglottos_Northern Mockingbird	24
Myiarchus tuberculifer_Dusky-capped Flycatcher	24
Myiozetetes similis_Social Flycatcher	24
Onychoprion anaethetus_Bridled Tern	24
Piaya cayana_Squirrel Cuckoo	24
Piranga olivacea_Scarlet Tanager	24
Polioptila caerulea_Blue-gray Gnatcatcher	24
Quiscalus mexicanus_Great-tailed Grackle	24
Thamnophilus doliatus_Barred Antshrike	24
Todirostrum cinereum_Common Tody-Flycatcher	24
Tolmomyias sulphurescens_Yellow-olive Flycatcher	24
Catharus fuscescens_Veery	23
Chondrohierax uncinatus_Hook-billed Kite	23
Ciccaba virgata_Mottled Owl	23
Colaptes auratus_Northern Flicker	23
Contopus cinereus_Tropical Pewee	23
Elaenia flavogaster_Yellow-bellied Elaenia	23
Falco rufigularis_Bat Falcon	23
Larus fuscus_Lesser Black-backed Gull	23
Oxyura jamaicensis_Ruddy Duck	23
Sayornis nigricans_Black Phoebe	23
Sittasomus griseicapillus_Olivaceous Woodcreeper	23
