species	cell_hits
Emberiza aureola_Yellow-breasted Bunting	160
Xenus cinereus_Terek Sandpiper	160
Saxicola maurus_Siberian Stonechat	159
Tringa incana_Wandering Tattler	159
Locustella lanceolata_Lanceolated Warbler	158
Melanitta nigra_Common Scoter	158
Prunella montanella_Siberian Accentor	158
Anthus gustavi_Pechora Pipit	155
Motacilla cinerea_Gray Wagtail	155
Calidris subruficollis_Buff-breasted Sandpiper	150
Tadorna tadorna_Common Shelduck	149
Ardea cinerea_Gray Heron	148
Regulus regulus_Goldcrest	148
Numenius arquata_Eurasian Curlew	147
Pluvialis dominica_American Golden-Plover	147
Pluvialis fulva_Pacific Golden-Plover	147
Scolopax rusticola_Eurasian Woodcock	147
Spinus spinus_Eurasian Siskin	147
Anthus trivialis_Tree Pipit	146
Calidris pusilla_Semipalmated Sandpiper	146
Charadrius semipalmatus_Semipalmated Plover	146
Lymnocryptes minimus_Jack Snipe	146
Tringa totanus_Common Redshank	146
Calidris minutilla_Least Sandpiper	145
Curruca curruca_Lesser Whitethroat	145
Emberiza schoeniclus_Reed Bunting	145
Fulica atra_Eurasian Coot	145
Mareca americana_American Wigeon	145
Hydrocoloeus minutus_Little Gull	144
Turdus philomelos_Song Thrush	144
Aegithalos caudatus_Long-tailed Tit	143
Apus apus_Common Swift	143
Asio otus_Long-eared Owl	143
Aythya ferina_Common Pochard	143
Charadrius dubius_Little Ringed Plover	143
Coccothraustes coccothraustes_Hawfinch	143
Corvus frugilegus_Rook	143
Grus grus_Common Crane	143
Buteo buteo_Common Buzzard	142
Calidris falcinellus_Broad-billed Sandpiper	142
Limnodromus scolopaceus_Long-billed Dowitcher	142
Lyrurus tetrix_Black Grouse	142
Motacilla flava_Western Yellow Wagtail	142
Periparus ater_Coal Tit	142
Tetrao urogallus_Western Capercaillie	142
Tetrastes bonasia_Hazel Grouse	142
Caprimulgus europaeus_Eurasian Nightjar	141
Crex crex_Corn Crake	141
Alcedo atthis_Common Kingfisher	140
Certhia familiaris_Eurasian Treecreeper	140
Parus major_Great Tit	140
Glaucidium passerinum_Eurasian Pygmy-Owl	139
Strix uralensis_Ural Owl	139
Garrulus glandarius_Eurasian Jay	138
Spinus pinus_Pine Siskin	138
Calidris ruficollis_Red-necked Stint	136
Dendrocopos leucotos_White-backed Woodpecker	136
Coturnix coturnix_Common Quail	135
Anthus hodgsoni_Olive-backed Pipit	134
Anser anser_Graylag Goose	133
Calliope calliope_Siberian Rubythroat	133
Gallinago stenura_Pin-tailed Snipe	133
Larus schistisagus_Slaty-backed Gull	133
Milvus migrans_Black Kite	133
Tarsiger cyanurus_Red-flanked Bluetail	133
Ficedula albicilla_Taiga Flycatcher	132
Botaurus stellaris_Great Bittern	131
Corvus corone_Carrion Crow	131
Lanius cristatus_Brown Shrike	131
Turdus obscurus_Eyebrowed Thrush	131
Cuculus optatus_Oriental Cuckoo	130
Turdus eunomus_Dusky Thrush	130
Calidris subminuta_Long-toed Stint	129
Emberiza pallasi_Pallas's Bunting	129
Motacilla citreola_Citrine Wagtail	129
Tringa stagnatilis_Marsh Sandpiper	129
Columba livia_Rock Pigeon	128
Turdus naumanni_Naumann's Thrush	128
Ardenna grisea_Sooty Shearwater	126
Falco vespertinus_Red-footed Falcon	126
Tringa melanoleuca_Greater Yellowlegs	126
Cyanistes cyanus_Azure Tit	125
Calidris acuminata_Sharp-tailed Sandpiper	124
Strix aluco_Tawny Owl	121
Charadrius mongolus_Lesser Sand-Plover	118
Larus glaucescens_Glaucous-winged Gull	118
Leucogeranus leucogeranus_Siberian Crane	118
Tringa flavipes_Lesser Yellowlegs	118
Calidris tenuirostris_Great Knot	117
Phylloscopus fuscatus_Dusky Warbler	117
Ardenna tenuirostris_Short-tailed Shearwater	116
Numenius madagascariensis_Far Eastern Curlew	116
Saxicola stejnegeri_Amur Stonechat	116
Tringa brevipes_Gray-tailed Tattler	116
Petrochelidon pyrrhonota_Cliff Swallow	115
Actitis macularius_Spotted Sandpiper	114
Aythya affinis_Lesser Scaup	114
Haliaeetus leucocephalus_Bald Eagle	114
Passerculus sandwichensis_Savannah Sparrow	114
Setophaga petechia_Yellow Warbler	114
Branta hutchinsii_Cackling Goose	113
Junco hyemalis_Dark-eyed Junco	113
Passerella iliaca_Fox Sparrow	113
Calidris himantopus_Stilt Sandpiper	112
Zonotrichia leucophrys_White-crowned Sparrow	112
Anser brachyrhynchus_Pink-footed Goose	111
Calidris fuscicollis_White-rumped Sandpiper	111
Circus hudsonius_Northern Harrier	111
Tachycineta bicolor_Tree Swallow	111
Calcarius pictus_Smith's Longspur	110
Gallinago delicata_Wilson's Snipe	110
Spizelloides arborea_American Tree Sparrow	110
Acrocephalus scirpaceus_Eurasian Reed Warbler	109
Turdus migratorius_American Robin	109
Phasianus colchicus_Ring-necked Pheasant	108
Himantopus himantopus_Black-winged Stilt	106
Picus canus_Gray-headed Woodpecker	106
Recurvirostra avosetta_Pied Avocet	106
Melanitta fusca_Velvet Scoter	103
Sylvia borin_Garden Warbler	103
Anthus richardi_Richard's Pipit	102
Haematopus ostralegus_Eurasian Oystercatcher	102
Anser rossii_Ross's Goose	101
Upupa epops_Eurasian Hoopoe	101
Columba palumbus_Common Wood-Pigeon	100
Emberiza leucocephalos_Pine Bunting	100
Fringilla coelebs_Common Chaffinch	100
Muscicapa striata_Spotted Flycatcher	100
Ficedula hypoleuca_European Pied Flycatcher	99
Geokichla sibirica_Siberian Thrush	99
Sylvia atricapilla_Eurasian Blackcap	99
Zoothera aurea_White's Thrush	99
Acrocephalus schoenobaenus_Sedge Warbler	98
Corvus cornix_Hooded Crow	98
Helopsaltes certhiola_Pallas's Grasshopper Warbler	98
Lanius collurio_Red-backed Shrike	98
Lanius excubitor_Great Gray Shrike	98
Podiceps cristatus_Great Crested Grebe	98
Saxicola rubetra_Whinchat	98
Turdus viscivorus_Mistle Thrush	98
Corvus monedula_Eurasian Jackdaw	97
Emberiza citrinella_Yellowhammer	97
Erithacus rubecula_European Robin	97
Gallinago media_Great Snipe	97
