species	cell_hits
Pinicola enucleator_Pine Grosbeak	159
Aythya valisineria_Canvasback	158
Haemorhous mexicanus_House Finch	158
Mniotilta varia_Black-and-white Warbler	158
Streptopelia decaocto_Eurasian Collared-Dove	156
Certhia americana_Brown Creeper	155
Sayornis saya_Say's Phoebe	155
Haemorhous purpureus_Purple Finch	151
Oenanthe oenanthe_Northern Wheatear	150
Larus californicus_California Gull	147
Zenaida macroura_Mourning Dove	147
Zonotrichia albicollis_White-throated Sparrow	147
Cepphus grylle_Black Guillemot	146
Poecile hudsonicus_Boreal Chickadee	145
Mimus polyglottos_Northern Mockingbird	144
Cathartes aura_Turkey Vulture	143
Tringa incana_Wandering Tattler	143
Tachycineta thalassina_Violet-green Swallow	142
Vireo gilvus_Warbling Vireo	142
Vireo olivaceus_Red-eyed Vireo	142
Bonasa umbellus_Ruffed Grouse	141
Himantopus mexicanus_Black-necked Stilt	141
Lophodytes cucullatus_Hooded Merganser	141
Zonotrichia atricapilla_Golden-crowned Sparrow	141
Chordeiles minor_Common Nighthawk	140
Uria aalge_Common Murre	137
Ardenna grisea_Sooty Shearwater	136
Bucephala islandica_Barrow's Goldeneye	135
Larus brachyrhynchus_Short-billed Gull	135
Pelecanus erythrorhynchos_American White Pelican	135
Picoides dorsalis_American Three-toed Woodpecker	134
Setophaga magnolia_Magnolia Warbler	133
Tyrannus tyrannus_Eastern Kingbird	133
Canachites canadensis_Spruce Grouse	132
Cinclus mexicanus_American Dipper	132
Contopus sordidulus_Western Wood-Pewee	132
Ardea alba_Great Egret	131
Calcarius pictus_Smith's Longspur	131
Ixoreus naevius_Varied Thrush	130
Spinus tristis_American Goldfinch	129
Bubulcus ibis_Cattle Egret	128
Cardinalis cardinalis_Northern Cardinal	128
Cygnus buccinator_Trumpeter Swan	128
Sphyrapicus varius_Yellow-bellied Sapsucker	128
Botaurus lentiginosus_American Bittern	127
Limosa haemastica_Hudsonian Godwit	127
Seiurus aurocapilla_Ovenbird	127
Calidris maritima_Purple Sandpiper	126
Dryocopus pileatus_Pileated Woodpecker	126
Empidonax minimus_Least Flycatcher	126
Aegolius funereus_Boreal Owl	125
Anser rossii_Ross's Goose	125
Surnia ulula_Northern Hawk Owl	124
Leiothlypis peregrina_Tennessee Warbler	123
Mareca penelope_Eurasian Wigeon	123
Setophaga palmarum_Palm Warbler	122
Melospiza georgiana_Swamp Sparrow	121
Quiscalus quiscula_Common Grackle	121
Chlidonias niger_Black Tern	120
Cistothorus palustris_Marsh Wren	120
Zonotrichia querula_Harris's Sparrow	120
Larus fuscus_Lesser Black-backed Gull	119
Leucosticte tephrocotis_Gray-crowned Rosy-Finch	117
Limosa fedoa_Marbled Godwit	117
Vireo solitarius_Blue-headed Vireo	117
Anas rubripes_American Black Duck	116
Buteo platypterus_Broad-winged Hawk	116
Rhodostethia rosea_Ross's Gull	115
Stelgidopteryx serripennis_Northern Rough-winged Swallow	115
Larus glaucescens_Glaucous-winged Gull	113
Rallus limicola_Virginia Rail	113
Accipiter cooperii_Cooper's Hawk	112
Coccothraustes vespertinus_Evening Grosbeak	112
Gallinula galeata_Common Gallinule	111
Larus marinus_Great Black-backed Gull	111
Pheucticus ludovicianus_Rose-breasted Grosbeak	111
Sturnella neglecta_Western Meadowlark	111
Piranga ludoviciana_Western Tanager	110
Troglodytes aedon_House Wren	110
