species	cell_hits
Pterodroma externa_Juan Fernandez Petrel	40
Pterodroma hypoleuca_Bonin Petrel	40
Vanellus miles_Masked Lapwing	40
Ardea herodias_Great Blue Heron	39
Calidris mauri_Western Sandpiper	39
Falco columbarius_Merlin	39
Phoebastria nigripes_Black-footed Albatross	39
Podiceps nigricollis_Eared Grebe	39
Trichoglossus haematodus_Coconut Lorikeet	39
Alcedo atthis_Common Kingfisher	38
Calidris minutilla_Least Sandpiper	38
Eudynamys orientalis_Pacific Koel	38
Haliastur indus_Brahminy Kite	38
Mareca americana_American Wigeon	38
Riparia riparia_Bank Swallow	38
Xenus cinereus_Terek Sandpiper	38
Acridotheres fuscus_Jungle Myna	37
Anas wyvilliana_Hawaiian Duck	37
Edolisoma tenuirostre_Common Cicadabird	37
Gavia pacifica_Pacific Loon	37
Larus glaucescens_Glaucous-winged Gull	37
Phalacrocorax carbo_Great Cormorant	37
Podilymbus podiceps_Pied-billed Grebe	37
Sterna paradisaea_Arctic Tern	37
Xema sabini_Sabine's Gull	37
Bucephala clangula_Common Goldeneye	36
Gavia stellata_Red-throated Loon	36
Mergus serrator_Red-breasted Merganser	36
Tringa nebularia_Common Greenshank	36
Aplonis tabuensis_Polynesian Starling	35
Aythya affinis_Lesser Scaup	35
Cacomantis variolosus_Brush Cuckoo	35
Coracina lineata_Barred Cuckooshrike	35
Haematopus palliatus_American Oystercatcher	35
Loxops coccineus_Hawaii Akepa	35
Loxops mana_Hawaii Creeper	35
Nyctanassa violacea_Yellow-crowned Night-Heron	35
Pelecanus occidentalis_Brown Pelican	35
Phoebastria immutabilis_Laysan Albatross	35
Ptilinopus porphyraceus_Crimson-crowned Fruit-Dove	35
Setophaga petechia_Yellow Warbler	35
Tringa flavipes_Lesser Yellowlegs	35
Actitis macularius_Spotted Sandpiper	34
Bucephala albeola_Bufflehead	34
Cathartes aura_Turkey Vulture	34
Corvus corax_Common Raven	34
Egretta thula_Snowy Egret	34
Fulica americana_American Coot	34
Gymnomyza samoensis_Mao	34
Hemignathus wilsoni_Akiapolaau	34
Megaceryle alcyon_Belted Kingfisher	34
Ortygornis pondicerianus_Gray Francolin	34
Phalaropus tricolor_Wilson's Phalarope	34
Spatula discors_Blue-winged Teal	34
Tringa semipalmata_Willet	34
Aythya collaris_Ring-necked Duck	33
Butorides virescens_Green Heron	33
Egretta garzetta_Little Egret	33
Eremophila alpestris_Horned Lark	33
Gavia immer_Common Loon	33
Oxyura jamaicensis_Ruddy Duck	33
Pavo cristatus_Indian Peafowl	33
Phaethon aethereus_Red-billed Tropicbird	33
Rhipidura leucophrys_Willie-wagtail	33
Spatula cyanoptera_Cinnamon Teal	33
Stelgidopteryx serripennis_Northern Rough-winged Swallow	33
Streptopelia decaocto_Eurasian Collared-Dove	33
Tringa melanoleuca_Greater Yellowlegs	33
Agelaius phoeniceus_Red-winged Blackbird	32
Aplonis atrifusca_Samoan Starling	32
Aviceda subcristata_Pacific Baza	32
Cardellina pusilla_Wilson's Warbler	32
Charadrius vociferus_Killdeer	32
Chlidonias niger_Black Tern	32
Cistothorus palustris_Marsh Wren	32
Empidonax difficilis_Pacific-slope Flycatcher	32
Falco sparverius_American Kestrel	32
Foulehaio carunculatus_Eastern Wattled-Honeyeater	32
Himantopus leucocephalus_Pied Stilt	32
Leucophaeus atricilla_Laughing Gull	32
Loxia curvirostra_Red Crossbill	32
Melospiza melodia_Song Sparrow	32
Molothrus ater_Brown-headed Cowbird	32
Pachycephala flavifrons_Samoan Whistler	32
Spinus psaltria_Lesser Goldfinch	32
Sula nebouxii_Blue-footed Booby	32
Thalasseus maximus_Royal Tern	32
