species	cell_hits
Acanthis hornemanni_Hoary Redpoll	353
Anser serrirostris_Tundra Bean-Goose	352
Chlidonias leucopterus_White-winged Tern	352
Parus major_Great Tit	350
Turdus pilaris_Fieldfare	350
Emberiza pusilla_Little Bunting	349
Bubo scandiacus_Snowy Owl	348
Phoenicurus ochruros_Black Redstart	348
Carduelis carduelis_European Goldfinch	345
Saxicola maurus_Siberian Stonechat	345
Circus aeruginosus_Eurasian Marsh-Harrier	344
Nycticorax nycticorax_Black-crowned Night-Heron	343
Pluvialis fulva_Pacific Golden-Plover	343
Egretta garzetta_Little Egret	341
Fulmarus glacialis_Northern Fulmar	339
Crex crex_Corn Crake	338
Lanius excubitor_Great Gray Shrike	338
Aegolius funereus_Boreal Owl	336
Picoides tridactylus_Eurasian Three-toed Woodpecker	336
Streptopelia decaocto_Eurasian Collared-Dove	336
Fringilla coelebs_Common Chaffinch	334
Somateria mollissima_Common Eider	334
Anthus pratensis_Meadow Pipit	332
Charadrius alexandrinus_Kentish Plover	332
Charadrius mongolus_Lesser Sand-Plover	332
Chlidonias hybrida_Whiskered Tern	332
Muscicapa striata_Spotted Flycatcher	332
Zapornia pusilla_Baillon's Crake	330
Falco rusticolus_Gyrfalcon	326
Phylloscopus borealis_Arctic Warbler	326
Tarsiger cyanurus_Red-flanked Bluetail	326
Bubulcus ibis_Cattle Egret	325
Hydroprogne caspia_Caspian Tern	325
Corvus corone_Carrion Crow	324
Curruca communis_Greater Whitethroat	324
Emberiza rustica_Rustic Bunting	323
Uria lomvia_Thick-billed Murre	323
Anser erythropus_Lesser White-fronted Goose	322
Platalea leucorodia_Eurasian Spoonbill	322
Anthus richardi_Richard's Pipit	321
Ciconia nigra_Black Stork	321
Locustella lanceolata_Lanceolated Warbler	321
Acrocephalus scirpaceus_Eurasian Reed Warbler	320
Cygnus olor_Mute Swan	320
Dendrocopos leucotos_White-backed Woodpecker	320
Phoenicurus phoenicurus_Common Redstart	320
Athene noctua_Little Owl	319
