species	cell_hits
Calidris falcinellus_Broad-billed Sandpiper	607
Charadrius alexandrinus_Kentish Plover	607
Onychoprion fuscatus_Sooty Tern	605
Pygoscelis adeliae_Adelie Penguin	603
Histrionicus histrionicus_Harlequin Duck	599
Podiceps nigricollis_Eared Grebe	599
Anthus trivialis_Tree Pipit	596
Ardea intermedia_Intermediate Egret	596
Anser caerulescens_Snow Goose	589
Haematopus ostralegus_Eurasian Oystercatcher	588
Motacilla flava_Western Yellow Wagtail	588
Acridotheres tristis_Common Myna	584
Phylloscopus collybita_Common Chiffchaff	580
Aythya ferina_Common Pochard	578
Calidris minutilla_Least Sandpiper	576
Tringa brevipes_Gray-tailed Tattler	576
Estrilda astrild_Common Waxbill	562
Fringilla montifringilla_Brambling	560
Actitis macularius_Spotted Sandpiper	558
Muscicapa striata_Spotted Flycatcher	558
Numenius madagascariensis_Far Eastern Curlew	558
Cepphus grylle_Black Guillemot	554
Sterna dougallii_Roseate Tern	553
Circus pygargus_Montagu's Harrier	552
Circus aeruginosus_Eurasian Marsh-Harrier	551
Charadrius leschenaultii_Greater Sand-Plover	549
Hydrobates leucorhous_Leach's Storm-Petrel	549
Uria aalge_Common Murre	545
Caprimulgus europaeus_Eurasian Nightjar	544
Lagopus lagopus_Willow Ptarmigan	544
Vanellus vanellus_Northern Lapwing	544
Circus cyaneus_Hen Harrier	543
Motacilla tschutschensis_Eastern Yellow Wagtail	543
Haliaeetus albicilla_White-tailed Eagle	542
Ciconia nigra_Black Stork	537
Calidris bairdii_Baird's Sandpiper	531
Branta canadensis_Canada Goose	530
Asio otus_Long-eared Owl	523
Loxia leucoptera_White-winged Crossbill	521
Pinicola enucleator_Pine Grosbeak	521
Ardenna pacifica_Wedge-tailed Shearwater	520
Hieraaetus pennatus_Booted Eagle	517
Gavia adamsii_Yellow-billed Loon	515
Calidris subminuta_Long-toed Stint	514
Pluvialis dominica_American Golden-Plover	513
Aegolius funereus_Boreal Owl	512
Larus canus_Common Gull	511
Turdus iliacus_Redwing	510
Merops apiaster_European Bee-eater	509
Troglodytes troglodytes_Eurasian Wren	509
Cisticola juncidis_Zitting Cisticola	507
Calidris pusilla_Semipalmated Sandpiper	505
Cecropis daurica_Red-rumped Swallow	503
Carduelis carduelis_European Goldfinch	502
Calidris maritima_Purple Sandpiper	501
Sylvia borin_Garden Warbler	501
Regulus regulus_Goldcrest	499
Turdus philomelos_Song Thrush	497
Scolopax rusticola_Eurasian Woodcock	496
Lymnocryptes minimus_Jack Snipe	492
Cygnus cygnus_Whooper Swan	489
Fringilla coelebs_Common Chaffinch	488
Phylloscopus borealis_Arctic Warbler	488
Mareca americana_American Wigeon	487
Surnia ulula_Northern Hawk Owl	487
Curruca communis_Greater Whitethroat	485
Oriolus oriolus_Eurasian Golden Oriole	485
Botaurus stellaris_Great Bittern	484
Ixobrychus minutus_Little Bittern	484
Spinus spinus_Eurasian Siskin	484
Tadorna tadorna_Common Shelduck	484
Acrocephalus schoenobaenus_Sedge Warbler	483
Anser anser_Graylag Goose	482
Dendrocopos major_Great Spotted Woodpecker	482
Onychoprion anaethetus_Bridled Tern	482
Phylloscopus inornatus_Yellow-browed Warbler	482
