species	cell_hits
Lonchura striata_White-rumped Munia	89
Passer domesticus_House Sparrow	89
Plegadis falcinellus_Glossy Ibis	89
Prinia inornata_Plain Prinia	89
Cuculus micropterus_Indian Cuckoo	88
Stercorarius pomarinus_Pomarine Jaeger	88
Accipiter trivirgatus_Crested Goshawk	87
Hirundapus caudacutus_White-throated Needletail	87
Psittacula krameri_Rose-ringed Parakeet	87
Accipiter virgatus_Besra	86
Centropus bengalensis_Lesser Coucal	86
Ninox scutulata_Brown Boobook	86
Onychoprion fuscatus_Sooty Tern	86
Psilopogon haemacephalus_Coppersmith Barbet	86
Streptopelia tranquebarica_Red Collared-Dove	86
Sula leucogaster_Brown Booby	86
Anthus richardi_Richard's Pipit	85
Corvus splendens_House Crow	85
Muscicapa sibirica_Dark-sided Flycatcher	85
Pitta sordida_Hooded Pitta	85
Cuculus saturatus_Himalayan Cuckoo	84
Dendrocygna javanica_Lesser Whistling-Duck	84
Ploceus philippinus_Baya Weaver	84
Stercorarius parasiticus_Parasitic Jaeger	84
Anthus cervinus_Red-throated Pipit	83
Cisticola exilis_Golden-headed Cisticola	83
Lewinia striata_Slaty-breasted Rail	83
Orthotomus sutorius_Common Tailorbird	83
Pericrocotus divaricatus_Ashy Minivet	83
Clamator coromandus_Chestnut-winged Cuckoo	82
Delichon dasypus_Asian House-Martin	82
Ducula aenea_Green Imperial-Pigeon	82
Eumyias thalassinus_Verditer Flycatcher	82
Phylloscopus borealis_Arctic Warbler	82
Accipiter gularis_Japanese Sparrowhawk	81
Amandava amandava_Red Avadavat	80
Caprimulgus macrurus_Large-tailed Nightjar	80
Cinnyris jugularis_Olive-backed Sunbird	80
Poliolimnas cinereus_White-browed Crake	80
Porphyrio poliocephalus_Gray-headed Swamphen	80
Thalasseus bengalensis_Lesser Crested Tern	80
Todiramphus chloris_Collared Kingfisher	80
Tringa erythropus_Spotted Redshank	80
Aythya ferina_Common Pochard	79
Calliope calliope_Siberian Rubythroat	79
Ceryle rudis_Pied Kingfisher	79
Ficedula mugimaki_Mugimaki Flycatcher	79
Geokichla citrina_Orange-headed Thrush	79
Mareca strepera_Gadwall	79
Dendronanthus indicus_Forest Wagtail	78
Fregata ariel_Lesser Frigatebird	78
Micropternus brachyurus_Rufous Woodpecker	78
Nisaetus cirrhatus_Changeable Hawk-Eagle	78
Calidris minuta_Little Stint	77
