species	cell_hits
Mimus polyglottos_Northern Mockingbird	175
Somateria spectabilis_King Eider	175
Podiceps grisegena_Red-necked Grebe	170
Certhia americana_Brown Creeper	168
Sayornis saya_Say's Phoebe	166
Ardea alba_Great Egret	165
Poecile atricapillus_Black-capped Chickadee	165
Zenaida macroura_Mourning Dove	164
Bombycilla garrulus_Bohemian Waxwing	163
Euphagus carolinus_Rusty Blackbird	162
Gavia adamsii_Yellow-billed Loon	162
Vireo gilvus_Warbling Vireo	162
Larus californicus_California Gull	161
Tachycineta thalassina_Violet-green Swallow	161
Cardinalis cardinalis_Northern Cardinal	160
Perisoreus canadensis_Canada Jay	159
Pinicola enucleator_Pine Grosbeak	159
Aythya valisineria_Canvasback	158
Contopus sordidulus_Western Wood-Pewee	158
Ardenna grisea_Sooty Shearwater	157
Gallinula galeata_Common Gallinule	157
Vireo olivaceus_Red-eyed Vireo	157
Chlidonias niger_Black Tern	154
Pelecanus erythrorhynchos_American White Pelican	154
Haemorhous purpureus_Purple Finch	151
Tyto alba_Barn Owl	151
Oenanthe oenanthe_Northern Wheatear	150
Chordeiles minor_Common Nighthawk	149
Tyrannus tyrannus_Eastern Kingbird	148
Zonotrichia albicollis_White-throated Sparrow	147
Cepphus grylle_Black Guillemot	146
Limosa fedoa_Marbled Godwit	146
Cinclus mexicanus_American Dipper	145
Leiothlypis peregrina_Tennessee Warbler	145
Poecile hudsonicus_Boreal Chickadee	145
Seiurus aurocapilla_Ovenbird	144
Troglodytes aedon_House Wren	144
Buteo platypterus_Broad-winged Hawk	143
Sphyrapicus varius_Yellow-bellied Sapsucker	142
Bonasa umbellus_Ruffed Grouse	141
Empidonax minimus_Least Flycatcher	141
Lophodytes cucullatus_Hooded Merganser	141
Tringa semipalmata_Willet	141
Zonotrichia atricapilla_Golden-crowned Sparrow	141
Stelgidopteryx serripennis_Northern Rough-winged Swallow	139
Butorides virescens_Green Heron	138
Setophaga magnolia_Magnolia Warbler	138
Egretta thula_Snowy Egret	137
Uria aalge_Common Murre	137
Cistothorus palustris_Marsh Wren	136
Bucephala islandica_Barrow's Goldeneye	135
Larus brachyrhynchus_Short-billed Gull	135
Picoides dorsalis_American Three-toed Woodpecker	134
Botaurus lentiginosus_American Bittern	133
Pheucticus ludovicianus_Rose-breasted Grosbeak	133
Setophaga palmarum_Palm Warbler	133
Canachites canadensis_Spruce Grouse	132
Calcarius pictus_Smith's Longspur	131
Limosa haemastica_Hudsonian Godwit	131
Ixoreus naevius_Varied Thrush	130
Piranga ludoviciana_Western Tanager	130
Accipiter cooperii_Cooper's Hawk	129
Spinus tristis_American Goldfinch	129
Cygnus buccinator_Trumpeter Swan	128
Setophaga townsendi_Townsend's Warbler	127
Calidris maritima_Purple Sandpiper	126
Dryocopus pileatus_Pileated Woodpecker	126
Aegolius funereus_Boreal Owl	125
Anser rossii_Ross's Goose	125
Rallus limicola_Virginia Rail	125
Sturnella neglecta_Western Meadowlark	124
Surnia ulula_Northern Hawk Owl	124
Mareca penelope_Eurasian Wigeon	123
Spizella pallida_Clay-colored Sparrow	123
Vireo solitarius_Blue-headed Vireo	123
Icterus galbula_Baltimore Oriole	122
Larus glaucescens_Glaucous-winged Gull	122
Larus fuscus_Lesser Black-backed Gull	121
Melospiza georgiana_Swamp Sparrow	121
Phalaropus tricolor_Wilson's Phalarope	121
Quiscalus quiscula_Common Grackle	121
Empidonax hammondii_Hammond's Flycatcher	120
Zonotrichia querula_Harris's Sparrow	120
Pelecanus occidentalis_Brown Pelican	119
Leucosticte tephrocotis_Gray-crowned Rosy-Finch	117
Anas rubripes_American Black Duck	116
Euphagus cyanocephalus_Brewer's Blackbird	116
Calidris virgata_Surfbird	115
Empidonax flaviventris_Yellow-bellied Flycatcher	115
Rhodostethia rosea_Ross's Gull	115
Meleagris gallopavo_Wild Turkey	114
Pluvialis fulva_Pacific Golden-Plover	114
Sterna forsteri_Forster's Tern	114
Pooecetes gramineus_Vesper Sparrow	113
Progne subis_Purple Martin	113
Archilochus colubris_Ruby-throated Hummingbird	112
Bartramia longicauda_Upland Sandpiper	112
Coccothraustes vespertinus_Evening Grosbeak	112
Larus marinus_Great Black-backed Gull	111
Leiothlypis ruficapilla_Nashville Warbler	111
Sternula antillarum_Least Tern	111
Leucophaeus pipixcan_Franklin's Gull	110
Aix sponsa_Wood Duck	108
Arenaria melanocephala_Black Turnstone	108
Pica hudsonia_Black-billed Magpie	108
Hydrobates leucorhous_Leach's Storm-Petrel	106
Geothlypis philadelphia_Mourning Warbler	105
Nyctanassa violacea_Yellow-crowned Night-Heron	105
Passerina caerulea_Blue Grosbeak	105
Setophaga virens_Black-throated Green Warbler	105
Dumetella carolinensis_Gray Catbird	104
Passerina cyanea_Indigo Bunting	104
Phasianus colchicus_Ring-necked Pheasant	104
Cardellina canadensis_Canada Warbler	102
Coccyzus americanus_Yellow-billed Cuckoo	102
Egretta caerulea_Little Blue Heron	102
Leucophaeus atricilla_Laughing Gull	101
