common_name,scientific_name,genus,family,order,category
Common Ostrich,Struthio camelus,Struthio,Struthionidae,Struthioniformes,species
Somali Ostrich,Struthio molybdophanes,Struthio,Struthionidae,Struthioniformes,species
Common/Somali Ostrich,Struthio camelus/molybdophanes,Struthio,Struthionidae,Struthioniformes,slash
Southern Cassowary,Casuarius casuarius,Casuarius,Casuariidae,Casuariiformes,species
Dwarf Cassowary,Casuarius bennetti,Casuarius,Casuariidae,Casuariiformes,species
Northern Cassowary,Casuarius unappendiculatus,Casuarius,Casuariidae,Casuariiformes,species
Emu,Dromaius novaehollandiae,Dromaius,Casuariidae,Casuariiformes,species
Southern Brown Kiwi,Apteryx australis,Apteryx,Apterygidae,Apterygiformes,species
Southern Brown Kiwi (South I.),Apteryx australis australis,Apteryx,Apterygidae,Apterygiformes,group (monotypic)
Southern Brown Kiwi (Stewart I.),Apteryx australis lawryi,Apteryx,Apterygidae,Apterygiformes,group (monotypic)
Okarito Brown Kiwi,Apteryx rowi,Apteryx,Apterygidae,Apterygiformes,species
North Island Brown Kiwi,Apteryx mantelli,Apteryx,Apterygidae,Apterygiformes,species
Southern Brown x North Island Brown Kiwi (hybrid),Apteryx australis x mantelli,Apteryx,Apterygidae,Apterygiformes,hybrid
Little Spotted Kiwi,Apteryx owenii,Apteryx,Apterygidae,Apterygiformes,species
Okarito Brown x Little Spotted Kiwi (hybrid),Apteryx rowi x owenii,Apteryx,Apterygidae,Apterygiformes,hybrid
Great Spotted Kiwi,Apteryx maxima,Apteryx,Apterygidae,Apterygiformes,species
kiwi sp.,Apteryx sp.,Apteryx,Apterygidae,Apterygiformes,spuh
Greater Rhea,Rhea americana,Rhea,Rheidae,Rheiformes,species
Lesser Rhea,Rhea pennata,Rhea,Rheidae,Rheiformes,species
Lesser Rhea (Puna),Rhea pennata tarapacensis/garleppi,Rhea,Rheidae,Rheiformes,group (polytypic)
Lesser Rhea (Darwin's),Rhea pennata pennata,Rhea,Rheidae,Rheiformes,group (monotypic)
Puna Tinamou,Tinamotis pentlandii,Tinamotis,Tinamidae,Tinamiformes,species
Patagonian Tinamou,Tinamotis ingoufi,Tinamotis,Tinamidae,Tinamiformes,species
Quebracho Crested-Tinamou,Eudromia formosa,Eudromia,Tinamidae,Tinamiformes,species
Elegant Crested-Tinamou,Eudromia elegans,Eudromia,Tinamidae,Tinamiformes,species
Elegant Crested-Tinamou (Northern),Eudromia elegans [intermedia Group],Eudromia,Tinamidae,Tinamiformes,group (polytypic)
Elegant Crested-Tinamou (Southern),Eudromia elegans [elegans Group],Eudromia,Tinamidae,Tinamiformes,group (polytypic)
Dwarf Tinamou,Taoniscus nanus,Taoniscus,Tinamidae,Tinamiformes,species
White-bellied Nothura,Nothura boraquira,Nothura,Tinamidae,Tinamiformes,species
Lesser Nothura,Nothura minor,Nothura,Tinamidae,Tinamiformes,species
Darwin's Nothura,Nothura darwinii,Nothura,Tinamidae,Tinamiformes,species
Spotted Nothura,Nothura maculosa,Nothura,Tinamidae,Tinamiformes,species
White-bellied/Spotted Nothura,Nothura boraquira/maculosa,Nothura,Tinamidae,Tinamiformes,slash
Lesser/Spotted Nothura,Nothura minor/maculosa,Nothura,Tinamidae,Tinamiformes,slash
Darwin's/Spotted Nothura,Nothura darwinii/maculosa,Nothura,Tinamidae,Tinamiformes,slash
Huayco Tinamou,Rhynchotus maculicollis,Rhynchotus,Tinamidae,Tinamiformes,species
Red-winged Tinamou,Rhynchotus rufescens,Rhynchotus,Tinamidae,Tinamiformes,species
Brushland Tinamou,Nothoprocta cinerascens,Nothoprocta,Tinamidae,Tinamiformes,species
Andean Tinamou,Nothoprocta pentlandii,Nothoprocta,Tinamidae,Tinamiformes,species
Andean Tinamou (Northern),Nothoprocta pentlandii [oustaleti Group],Nothoprocta,Tinamidae,Tinamiformes,group (polytypic)
Andean Tinamou (Southern),Nothoprocta pentlandii [pentlandii Group],Nothoprocta,Tinamidae,Tinamiformes,group (polytypic)
Curve-billed Tinamou,Nothoprocta curvirostris,Nothoprocta,Tinamidae,Tinamiformes,species
Ornate Tinamou,Nothoprocta ornata,Nothoprocta,Tinamidae,Tinamiformes,species
Taczanowski's Tinamou,Nothoprocta taczanowskii,Nothoprocta,Tinamidae,Tinamiformes,species
Chilean Tinamou,Nothoprocta perdicaria,Nothoprocta,Tinamidae,Tinamiformes,species
Nothoprocta sp.,Nothoprocta sp.,Nothoprocta,Tinamidae,Tinamiformes,spuh
Tawny-breasted Tinamou,Nothocercus julius,Nothocercus,Tinamidae,Tinamiformes,species
Hooded Tinamou,Nothocercus nigrocapillus,Nothocercus,Tinamidae,Tinamiformes,species
Highland Tinamou,Nothocercus bonapartei,Nothocercus,Tinamidae,Tinamiformes,species
Highland Tinamou (Costa Rican),Nothocercus bonapartei frantzii,Nothocercus,Tinamidae,Tinamiformes,group (monotypic)
Highland Tinamou (South American),Nothocercus bonapartei [bonapartei Group],Nothocercus,Tinamidae,Tinamiformes,group (polytypic)
Great Tinamou,Tinamus major,Tinamus,Tinamidae,Tinamiformes,species
Solitary Tinamou,Tinamus solitarius,Tinamus,Tinamidae,Tinamiformes,species
Gray Tinamou,Tinamus tao,Tinamus,Tinamidae,Tinamiformes,species
White-throated Tinamou,Tinamus guttatus,Tinamus,Tinamidae,Tinamiformes,species
Black Tinamou,Tinamus osgoodi,Tinamus,Tinamidae,Tinamiformes,species
Black Tinamou (Colombian),Tinamus osgoodi hershkovitzi,Tinamus,Tinamidae,Tinamiformes,group (monotypic)
Black Tinamou (Peruvian),Tinamus osgoodi osgoodi,Tinamus,Tinamidae,Tinamiformes,group (monotypic)
Tinamus sp.,Tinamus sp.,Tinamus,Tinamidae,Tinamiformes,spuh
Berlepsch's Tinamou,Crypturellus berlepschi,Crypturellus,Tinamidae,Tinamiformes,species
Cinereous Tinamou,Crypturellus cinereus,Crypturellus,Tinamidae,Tinamiformes,species
Tepui Tinamou,Crypturellus ptaritepui,Crypturellus,Tinamidae,Tinamiformes,species
Small-billed Tinamou,Crypturellus parvirostris,Crypturellus,Tinamidae,Tinamiformes,species
Tataupa Tinamou,Crypturellus tataupa,Crypturellus,Tinamidae,Tinamiformes,species
Brown Tinamou,Crypturellus obsoletus,Crypturellus,Tinamidae,Tinamiformes,species
Brown Tinamou (Venezuelan),Crypturellus obsoletus cerviniventris/knoxi,Crypturellus,Tinamidae,Tinamiformes,group (polytypic)
Brown Tinamou (Ecuadorian),Crypturellus obsoletus castaneus,Crypturellus,Tinamidae,Tinamiformes,group (monotypic)
Brown Tinamou (Andean),Crypturellus obsoletus [punensis Group],Crypturellus,Tinamidae,Tinamiformes,group (polytypic)
Brown Tinamou (Amazonian),Crypturellus obsoletus griseiventris,Crypturellus,Tinamidae,Tinamiformes,group (monotypic)
Brown Tinamou (Atlantic),Crypturellus obsoletus obsoletus,Crypturellus,Tinamidae,Tinamiformes,group (monotypic)
Variegated Tinamou,Crypturellus variegatus,Crypturellus,Tinamidae,Tinamiformes,species
Bartlett's Tinamou,Crypturellus bartletti,Crypturellus,Tinamidae,Tinamiformes,species
Barred Tinamou,Crypturellus casiquiare,Crypturellus,Tinamidae,Tinamiformes,species
Rusty Tinamou,Crypturellus brevirostris,Crypturellus,Tinamidae,Tinamiformes,species
Little Tinamou,Crypturellus soui,Crypturellus,Tinamidae,Tinamiformes,species
Undulated Tinamou,Crypturellus undulatus,Crypturellus,Tinamidae,Tinamiformes,species
Yellow-legged Tinamou,Crypturellus noctivagus,Crypturellus,Tinamidae,Tinamiformes,species
Yellow-legged Tinamou (zabele),Crypturellus noctivagus zabele,Crypturellus,Tinamidae,Tinamiformes,group (monotypic)
Yellow-legged Tinamou (noctivagus),Crypturellus noctivagus noctivagus,Crypturellus,Tinamidae,Tinamiformes,group (monotypic)
Black-capped Tinamou,Crypturellus atrocapillus,Crypturellus,Tinamidae,Tinamiformes,species
Pale-browed Tinamou,Crypturellus transfasciatus,Crypturellus,Tinamidae,Tinamiformes,species
Thicket Tinamou,Crypturellus cinnamomeus,Crypturellus,Tinamidae,Tinamiformes,species
Thicket Tinamou (occidentalis),Crypturellus cinnamomeus occidentalis,Crypturellus,Tinamidae,Tinamiformes,group (monotypic)
Thicket Tinamou (cinnamomeus Group),Crypturellus cinnamomeus [cinnamomeus Group],Crypturellus,Tinamidae,Tinamiformes,group (polytypic)
Slaty-breasted Tinamou,Crypturellus boucardi,Crypturellus,Tinamidae,Tinamiformes,species
Choco Tinamou,Crypturellus kerriae,Crypturellus,Tinamidae,Tinamiformes,species
Red-legged Tinamou,Crypturellus erythropus,Crypturellus,Tinamidae,Tinamiformes,species
Gray-legged Tinamou,Crypturellus duidae,Crypturellus,Tinamidae,Tinamiformes,species
Brazilian Tinamou,Crypturellus strigulosus,Crypturellus,Tinamidae,Tinamiformes,species
Serra do Divisor Tinamou (undescribed form),Crypturellus [undescribed form],Crypturellus,Tinamidae,Tinamiformes,form
Crypturellus sp.,Crypturellus sp.,Crypturellus,Tinamidae,Tinamiformes,spuh
tinamou sp.,Tinamidae sp.,Tinamidae,Tinamidae,Tinamiformes,spuh
Horned Screamer,Anhima cornuta,Anhima,Anhimidae,Anseriformes,species
Southern Screamer,Chauna torquata,Chauna,Anhimidae,Anseriformes,species
Northern Screamer,Chauna chavaria,Chauna,Anhimidae,Anseriformes,species
Magpie Goose,Anseranas semipalmata,Anseranas,Anseranatidae,Anseriformes,species
Spotted Whistling-Duck,Dendrocygna guttata,Dendrocygna,Anatidae,Anseriformes,species
Plumed Whistling-Duck,Dendrocygna eytoni,Dendrocygna,Anatidae,Anseriformes,species
White-faced Whistling-Duck,Dendrocygna viduata,Dendrocygna,Anatidae,Anseriformes,species
Spotted x White-faced Whistling-Duck (hybrid),Dendrocygna guttata x viduata,Dendrocygna,Anatidae,Anseriformes,hybrid
Plumed x White-faced Whistling-Duck (hybrid),Dendrocygna eytoni x viduata,Dendrocygna,Anatidae,Anseriformes,hybrid
Black-bellied Whistling-Duck,Dendrocygna autumnalis,Dendrocygna,Anatidae,Anseriformes,species
Black-bellied Whistling-Duck (Northern),Dendrocygna autumnalis fulgens,Dendrocygna,Anatidae,Anseriformes,group (monotypic)
Black-bellied Whistling-Duck (Southern),Dendrocygna autumnalis autumnalis,Dendrocygna,Anatidae,Anseriformes,group (monotypic)
White-faced x Black-bellied Whistling-Duck (hybrid),Dendrocygna viduata x autumnalis,Dendrocygna,Anatidae,Anseriformes,hybrid
West Indian Whistling-Duck,Dendrocygna arborea,Dendrocygna,Anatidae,Anseriformes,species
Black-bellied x West Indian Whistling-Duck (hybrid),Dendrocygna autumnalis x arborea,Dendrocygna,Anatidae,Anseriformes,hybrid
Fulvous Whistling-Duck,Dendrocygna bicolor,Dendrocygna,Anatidae,Anseriformes,species
White-faced x Fulvous Whistling-Duck (hybrid),Dendrocygna viduata x bicolor,Dendrocygna,Anatidae,Anseriformes,hybrid
Black-bellied x Fulvous Whistling-Duck (hybrid),Dendrocygna autumnalis x bicolor,Dendrocygna,Anatidae,Anseriformes,hybrid
Wandering Whistling-Duck,Dendrocygna arcuata,Dendrocygna,Anatidae,Anseriformes,species
Plumed x Wandering Whistling-Duck (hybrid),Dendrocygna eytoni x arcuata,Dendrocygna,Anatidae,Anseriformes,hybrid
Plumed/Wandering Whistling-Duck,Dendrocygna eytoni/arcuata,Dendrocygna,Anatidae,Anseriformes,slash
Lesser Whistling-Duck,Dendrocygna javanica,Dendrocygna,Anatidae,Anseriformes,species
Fulvous/Lesser Whistling-Duck,Dendrocygna bicolor/javanica,Dendrocygna,Anatidae,Anseriformes,slash
Wandering x Lesser Whistling-Duck (hybrid),Dendrocygna arcuata x javanica,Dendrocygna,Anatidae,Anseriformes,hybrid
whistling-duck sp.,Dendrocygna sp.,Dendrocygna,Anatidae,Anseriformes,spuh
White-backed Duck,Thalassornis leuconotus,Thalassornis,Anatidae,Anseriformes,species
Bar-headed Goose,Anser indicus,Anser,Anatidae,Anseriformes,species
Emperor Goose,Anser canagicus,Anser,Anatidae,Anseriformes,species
Snow Goose,Anser caerulescens,Anser,Anatidae,Anseriformes,species
Bar-headed x Snow Goose (hybrid),Anser indicus x caerulescens,Anser,Anatidae,Anseriformes,hybrid
Emperor x Snow Goose (hybrid),Anser canagicus x caerulescens,Anser,Anatidae,Anseriformes,hybrid
Ross's Goose,Anser rossii,Anser,Anatidae,Anseriformes,species
Snow x Ross's Goose (hybrid),Anser caerulescens x rossii,Anser,Anatidae,Anseriformes,hybrid
Snow/Ross's Goose,Anser caerulescens/rossii,Anser,Anatidae,Anseriformes,slash
Graylag Goose,Anser anser,Anser,Anatidae,Anseriformes,species
Graylag Goose (European),Anser anser anser,Anser,Anatidae,Anseriformes,group (monotypic)
Graylag Goose (Siberian),Anser anser rubrirostris,Anser,Anatidae,Anseriformes,group (monotypic)
Graylag Goose (Domestic type),Anser anser (Domestic type),Anser,Anatidae,Anseriformes,domestic
Bar-headed x Graylag Goose (hybrid),Anser indicus x anser,Anser,Anatidae,Anseriformes,hybrid
Emperor x Graylag Goose (hybrid),Anser canagicus x anser,Anser,Anatidae,Anseriformes,hybrid
Swan Goose,Anser cygnoides,Anser,Anatidae,Anseriformes,species
Swan Goose (Domestic type),Anser cygnoides (Domestic type),Anser,Anatidae,Anseriformes,domestic
Bar-headed x Swan Goose (hybrid),Anser indicus x cygnoides,Anser,Anatidae,Anseriformes,hybrid
Snow x Swan Goose (hybrid),Anser caerulescens x cygnoides,Anser,Anatidae,Anseriformes,hybrid
Bar-headed x Snow x Swan Goose (hybrid),Anser indicus x caerulescens x cygnoides,Anser,Anatidae,Anseriformes,hybrid
Graylag x Swan Goose (hybrid),Anser anser x cygnoides,Anser,Anatidae,Anseriformes,hybrid
Greater White-fronted Goose,Anser albifrons,Anser,Anatidae,Anseriformes,species
Greater White-fronted Goose (Greenland),Anser albifrons flavirostris,Anser,Anatidae,Anseriformes,group (monotypic)
Greater White-fronted Goose (Eurasian),Anser albifrons albifrons,Anser,Anatidae,Anseriformes,group (monotypic)
Greater White-fronted Goose (Western),Anser albifrons gambelli/sponsa,Anser,Anatidae,Anseriformes,group (polytypic)
Greater White-fronted Goose (Tule),Anser albifrons elgasi,Anser,Anatidae,Anseriformes,group (monotypic)
Bar-headed x Greater White-fronted Goose (hybrid),Anser indicus x albifrons,Anser,Anatidae,Anseriformes,hybrid
Emperor x Greater White-fronted Goose (hybrid),Anser canagicus x albifrons,Anser,Anatidae,Anseriformes,hybrid
Snow x Greater White-fronted Goose (hybrid),Anser caerulescens x albifrons,Anser,Anatidae,Anseriformes,hybrid
Ross's x Greater White-fronted Goose (hybrid),Anser rossii x albifrons,Anser,Anatidae,Anseriformes,hybrid
Graylag x Greater White-fronted Goose (hybrid),Anser anser x albifrons,Anser,Anatidae,Anseriformes,hybrid
Lesser White-fronted Goose,Anser erythropus,Anser,Anatidae,Anseriformes,species
Greater/Lesser White-fronted Goose,Anser albifrons/erythropus,Anser,Anatidae,Anseriformes,slash
Taiga Bean-Goose,Anser fabalis,Anser,Anatidae,Anseriformes,species
Taiga Bean-Goose (Western),Anser fabalis fabalis/johanseni,Anser,Anatidae,Anseriformes,group (polytypic)
Taiga Bean-Goose (Eastern),Anser fabalis middendorffii,Anser,Anatidae,Anseriformes,group (monotypic)
Tundra Bean-Goose,Anser serrirostris,Anser,Anatidae,Anseriformes,species
Greater White-fronted Goose x Tundra Bean-Goose (hybrid),Anser albifrons x serrirostris,Anser,Anatidae,Anseriformes,hybrid
Taiga/Tundra Bean-Goose,Anser fabalis/serrirostris,Anser,Anatidae,Anseriformes,slash
Pink-footed Goose,Anser brachyrhynchus,Anser,Anatidae,Anseriformes,species
Domestic goose sp. (Domestic type),Anser sp. (Domestic type),Anser,Anatidae,Anseriformes,domestic
Anser sp.,Anser sp.,Anser,Anatidae,Anseriformes,spuh
Brant,Branta bernicla,Branta,Anatidae,Anseriformes,species
Brant (Dark-bellied),Branta bernicla bernicla,Branta,Anatidae,Anseriformes,group (monotypic)
Brant (Pale-bellied),Branta bernicla hrota,Branta,Anatidae,Anseriformes,group (monotypic)
Brant (Black),Branta bernicla nigricans,Branta,Anatidae,Anseriformes,group (monotypic)
Brant (Gray-bellied),Branta bernicla (Gray-bellied),Branta,Anatidae,Anseriformes,form
Brant (Dark-bellied x Black),Branta bernicla bernicla x nigricans,Branta,Anatidae,Anseriformes,intergrade
Brant (Pale-bellied x Black),Branta bernicla hrota x nigricans,Branta,Anatidae,Anseriformes,intergrade
Snow Goose x Brant (hybrid),Anser caerulescens x Branta bernicla,Anser,Anatidae,Anseriformes,hybrid
Barnacle Goose,Branta leucopsis,Branta,Anatidae,Anseriformes,species
Bar-headed x Barnacle Goose (hybrid),Anser indicus x Branta leucopsis,Anser,Anatidae,Anseriformes,hybrid
Emperor x Barnacle Goose (hybrid),Anser canagicus x Branta leucopsis,Anser,Anatidae,Anseriformes,hybrid
Snow x Barnacle Goose (hybrid),Anser caerulescens x Branta leucopsis,Anser,Anatidae,Anseriformes,hybrid
Ross's x Barnacle Goose (hybrid),Anser rossii x Branta leucopsis,Anser,Anatidae,Anseriformes,hybrid
Graylag x Barnacle Goose (hybrid),Anser anser x Branta leucopsis,Anser,Anatidae,Anseriformes,hybrid
Greater White-fronted x Barnacle Goose (hybrid),Anser albifrons x Branta leucopsis,Anser,Anatidae,Anseriformes,hybrid
Lesser White-fronted x Barnacle Goose (hybrid),Anser erythropus x Branta leucopsis,Anser,Anatidae,Anseriformes,hybrid
Pink-footed x Barnacle Goose (hybrid),Anser brachyrhynchus x Branta leucopsis,Anser,Anatidae,Anseriformes,hybrid
Cackling Goose,Branta hutchinsii,Branta,Anatidae,Anseriformes,species
Cackling Goose (Aleutian),Branta hutchinsii leucopareia,Branta,Anatidae,Anseriformes,group (monotypic)
Cackling Goose (Richardson's),Branta hutchinsii hutchinsii,Branta,Anatidae,Anseriformes,group (monotypic)
Cackling Goose (minima),Branta hutchinsii minima,Branta,Anatidae,Anseriformes,group (monotypic)
Cackling Goose (Taverner's),Branta hutchinsii taverneri,Branta,Anatidae,Anseriformes,group (monotypic)
Emperor x Cackling Goose (hybrid),Anser canagicus x Branta hutchinsii,Anser,Anatidae,Anseriformes,hybrid
Snow x Cackling Goose (hybrid),Anser caerulescens x Branta hutchinsii,Anser,Anatidae,Anseriformes,hybrid
Ross's x Cackling Goose (hybrid),Anser rossii x Branta hutchinsii,Anser,Anatidae,Anseriformes,hybrid
Brant x Cackling Goose (hybrid),Branta bernicla x hutchinsii,Branta,Anatidae,Anseriformes,hybrid
Greater White-fronted x Cackling Goose (hybrid),Anser albifrons x Branta hutchinsii,Anser,Anatidae,Anseriformes,hybrid
Barnacle x Cackling Goose (hybrid),Branta leucopsis x hutchinsii,Branta,Anatidae,Anseriformes,hybrid
Canada Goose,Branta canadensis,Branta,Anatidae,Anseriformes,species
Canada Goose (moffitti/maxima),Branta canadensis moffitti/maxima,Branta,Anatidae,Anseriformes,group (polytypic)
Canada Goose (occidentalis/fulva),Branta canadensis occidentalis/fulva,Branta,Anatidae,Anseriformes,group (polytypic)
Canada Goose (canadensis Group),Branta canadensis [canadensis Group],Branta,Anatidae,Anseriformes,group (polytypic)
Bar-headed x Canada Goose (hybrid),Anser indicus x Branta canadensis,Anser,Anatidae,Anseriformes,hybrid
Swan x Canada Goose (hybrid),Anser cygnoides x Branta canadensis,Anser,Anatidae,Anseriformes,hybrid
Pink-footed x Canada Goose (hybrid),Anser brachyrhynchus x Branta canadensis,Anser,Anatidae,Anseriformes,hybrid
Greater White-fronted x Canada Goose (hybrid),Anser albifrons x Branta canadensis,Anser,Anatidae,Anseriformes,hybrid
Greater White-fronted x Cackling/Canada Goose (hybrid),Anser albifrons x Branta hutchinsii/canadensis,Anser,Anatidae,Anseriformes,hybrid
Graylag x Canada Goose (hybrid),Anser anser x Branta canadensis,Anser,Anatidae,Anseriformes,hybrid
Domestic goose sp. x Canada Goose (hybrid),Anser sp. (Domestic type) x Branta canadensis,Anser,Anatidae,Anseriformes,hybrid
Snow x Canada Goose (hybrid),Anser caerulescens x Branta canadensis,Anser,Anatidae,Anseriformes,hybrid
Ross's x Canada Goose (hybrid),Anser rossii x Branta canadensis,Anser,Anatidae,Anseriformes,hybrid
Barnacle x Canada Goose (hybrid),Branta leucopsis x canadensis,Branta,Anatidae,Anseriformes,hybrid
Cackling/Canada Goose,Branta hutchinsii/canadensis,Branta,Anatidae,Anseriformes,slash
Snow/Ross's x Cackling/Canada Goose (hybrid),Anser caerulescens/rossii x Branta hutchinsii/canadensis,Anser,Anatidae,Anseriformes,hybrid
Hawaiian Goose,Branta sandvicensis,Branta,Anatidae,Anseriformes,species
Barnacle x Hawaiian Goose (hybrid),Branta leucopsis x sandvicensis,Branta,Anatidae,Anseriformes,hybrid
Red-breasted Goose,Branta ruficollis,Branta,Anatidae,Anseriformes,species
Greater White-fronted x Red-breasted Goose (hybrid),Anser albifrons x Branta ruficollis,Anser,Anatidae,Anseriformes,hybrid
Brant x Red-breasted Goose (hybrid),Branta bernicla x ruficollis,Branta,Anatidae,Anseriformes,hybrid
Barnacle x Red-breasted Goose (hybrid),Branta leucopsis x ruficollis,Branta,Anatidae,Anseriformes,hybrid
Branta sp.,Branta sp.,Branta,Anatidae,Anseriformes,spuh
Cape Barren Goose,Cereopsis novaehollandiae,Cereopsis,Anatidae,Anseriformes,species
Freckled Duck,Stictonetta naevosa,Stictonetta,Anatidae,Anseriformes,species
Blue-winged Goose,Cyanochen cyanoptera,Cyanochen,Anatidae,Anseriformes,species
Mute Swan,Cygnus olor,Cygnus,Anatidae,Anseriformes,species
Graylag Goose x Mute Swan (hybrid),Anser anser x Cygnus olor,Anser,Anatidae,Anseriformes,hybrid
Black Swan,Cygnus atratus,Cygnus,Anatidae,Anseriformes,species
Mute x Black Swan (hybrid),Cygnus olor x atratus,Cygnus,Anatidae,Anseriformes,hybrid
Black-necked Swan,Cygnus melancoryphus,Cygnus,Anatidae,Anseriformes,species
Trumpeter Swan,Cygnus buccinator,Cygnus,Anatidae,Anseriformes,species
Mute x Trumpeter Swan (hybrid),Cygnus olor x buccinator,Cygnus,Anatidae,Anseriformes,hybrid
Tundra Swan,Cygnus columbianus,Cygnus,Anatidae,Anseriformes,species
Tundra Swan (Whistling),Cygnus columbianus columbianus,Cygnus,Anatidae,Anseriformes,group (monotypic)
Tundra Swan (Bewick's),Cygnus columbianus bewickii,Cygnus,Anatidae,Anseriformes,group (monotypic)
Tundra Swan (Whistling x Bewick's),Cygnus columbianus columbianus x bewickii,Cygnus,Anatidae,Anseriformes,intergrade
Trumpeter x Tundra Swan (hybrid),Cygnus buccinator x columbianus,Cygnus,Anatidae,Anseriformes,hybrid
Trumpeter/Tundra Swan,Cygnus buccinator/columbianus,Cygnus,Anatidae,Anseriformes,slash
Whooper Swan,Cygnus cygnus,Cygnus,Anatidae,Anseriformes,species
Mute x Whooper Swan (hybrid),Cygnus olor x cygnus,Cygnus,Anatidae,Anseriformes,hybrid
Trumpeter x Whooper Swan (hybrid),Cygnus buccinator x cygnus,Cygnus,Anatidae,Anseriformes,hybrid
Tundra/Whooper Swan,Cygnus columbianus/cygnus,Cygnus,Anatidae,Anseriformes,slash
swan sp.,Cygnus sp.,Cygnus,Anatidae,Anseriformes,spuh
Coscoroba Swan,Coscoroba coscoroba,Coscoroba,Anatidae,Anseriformes,species
Knob-billed Duck,Sarkidiornis melanotos,Sarkidiornis,Anatidae,Anseriformes,species
Comb Duck,Sarkidiornis sylvicola,Sarkidiornis,Anatidae,Anseriformes,species
Hartlaub's Duck,Pteronetta hartlaubii,Pteronetta,Anatidae,Anseriformes,species
Orinoco Goose,Oressochen jubatus,Oressochen,Anatidae,Anseriformes,species
Andean Goose,Oressochen melanopterus,Oressochen,Anatidae,Anseriformes,species
Upland Goose,Chloephaga picta,Chloephaga,Anatidae,Anseriformes,species
Upland Goose (White-breasted),Chloephaga picta (White-breasted),Chloephaga,Anatidae,Anseriformes,form
Upland Goose (Bar-breasted),Chloephaga picta (Bar-breasted),Chloephaga,Anatidae,Anseriformes,form
Kelp Goose,Chloephaga hybrida,Chloephaga,Anatidae,Anseriformes,species
Ashy-headed Goose,Chloephaga poliocephala,Chloephaga,Anatidae,Anseriformes,species
Ruddy-headed Goose,Chloephaga rubidiceps,Chloephaga,Anatidae,Anseriformes,species
Ashy-headed x Ruddy-headed Goose (hybrid),Chloephaga poliocephala x rubidiceps,Chloephaga,Anatidae,Anseriformes,hybrid
Chloephaga sp.,Chloephaga sp.,Chloephaga,Anatidae,Anseriformes,spuh
goose sp.,Anatidae (goose sp.),Anatidae,Anatidae,Anseriformes,spuh
Radjah Shelduck,Radjah radjah,Radjah,Anatidae,Anseriformes,species
Egyptian Goose,Alopochen aegyptiaca,Alopochen,Anatidae,Anseriformes,species
Knob-billed Duck x Egyptian Goose (hybrid),Sarkidiornis melanotos x Alopochen aegyptiaca,Sarkidiornis,Anatidae,Anseriformes,hybrid
Mauritius Shelduck,Alopochen mauritiana,Alopochen,Anatidae,Anseriformes,species
Reunion Shelduck,Alopochen kervazoi,Alopochen,Anatidae,Anseriformes,species
Ruddy Shelduck,Tadorna ferruginea,Tadorna,Anatidae,Anseriformes,species
Egyptian Goose x Ruddy Shelduck (hybrid),Alopochen aegyptiaca x Tadorna ferruginea,Alopochen,Anatidae,Anseriformes,hybrid
South African Shelduck,Tadorna cana,Tadorna,Anatidae,Anseriformes,species
Australian Shelduck,Tadorna tadornoides,Tadorna,Anatidae,Anseriformes,species
Paradise Shelduck,Tadorna variegata,Tadorna,Anatidae,Anseriformes,species
Common Shelduck,Tadorna tadorna,Tadorna,Anatidae,Anseriformes,species
Ruddy x Common Shelduck (hybrid),Tadorna ferruginea x tadorna,Tadorna,Anatidae,Anseriformes,hybrid
Crested Shelduck,Tadorna cristata,Tadorna,Anatidae,Anseriformes,species
Spur-winged Goose,Plectropterus gambensis,Plectropterus,Anatidae,Anseriformes,species
Spur-winged Goose (Northern),Plectropterus gambensis gambensis,Plectropterus,Anatidae,Anseriformes,group (monotypic)
Spur-winged Goose (Southern),Plectropterus gambensis niger,Plectropterus,Anatidae,Anseriformes,group (monotypic)
Flying Steamer-Duck,Tachyeres patachonicus,Tachyeres,Anatidae,Anseriformes,species
Flightless Steamer-Duck,Tachyeres pteneres,Tachyeres,Anatidae,Anseriformes,species
Flightless Steamer-Duck (Chiloe form),Tachyeres pteneres [undescribed form],Tachyeres,Anatidae,Anseriformes,form
Falkland Steamer-Duck,Tachyeres brachypterus,Tachyeres,Anatidae,Anseriformes,species
Falkland Steamer-Duck (Flightless),Tachyeres brachypterus (Flightless),Tachyeres,Anatidae,Anseriformes,form
Falkland Steamer-Duck (Flying),Tachyeres brachypterus (Flying),Tachyeres,Anatidae,Anseriformes,form
White-headed Steamer-Duck,Tachyeres leucocephalus,Tachyeres,Anatidae,Anseriformes,species
Flying/White-headed Steamer-Duck,Tachyeres patachonicus/leucocephalus,Tachyeres,Anatidae,Anseriformes,slash
steamer-duck sp.,Tachyeres sp.,Tachyeres,Anatidae,Anseriformes,spuh
Crested Duck,Lophonetta specularioides,Lophonetta,Anatidae,Anseriformes,species
Spectacled Duck,Speculanas specularis,Speculanas,Anatidae,Anseriformes,species
Muscovy Duck,Cairina moschata,Cairina,Anatidae,Anseriformes,species
Muscovy Duck (Domestic type),Cairina moschata (Domestic type),Cairina,Anatidae,Anseriformes,domestic
Egyptian Goose x Muscovy Duck (hybrid),Alopochen aegyptiaca x Cairina moschata,Alopochen,Anatidae,Anseriformes,hybrid
Green Pygmy-Goose,Nettapus pulchellus,Nettapus,Anatidae,Anseriformes,species
Cotton Pygmy-Goose,Nettapus coromandelianus,Nettapus,Anatidae,Anseriformes,species
