Pycnonotus barbatus_Common Bulbul
Streptopelia capicola_Ring-necked Dove
Streptopelia semitorquata_Red-eyed Dove
Bostrychia hagedash_Hadada Ibis
Dicrurus adsimilis_Fork-tailed Drongo
Ardea cinerea_Gray Heron
Cypsiurus parvus_African Palm-Swift
Colius striatus_Speckled Mousebird
Spermestes cucullata_Bronze Mannikin
Chalcomitra senegalensis_Scarlet-chested Sunbird
Passer domesticus_House Sparrow
Uraeginthus angolensis_Southern Cordonbleu
Prinia erythroptera_Red-winged Prinia
Cossypha anomala_Olive-flanked Robin-Chat
Dryoscopus cubla_Black-backed Puffback
Centropus superciliosus_White-browed Coucal
Turtur chalcospilos_Emerald-spotted Wood-Dove
Actitis hypoleucos_Common Sandpiper
Emberiza cabanisi_Cabanis's Bunting
Hirundo rustica_Barn Swallow
Camaroptera brachyura_Green-backed Camaroptera
Hedydipna collaris_Collared Sunbird
Turtur tympanistria_Tambourine Dove
Cecropis abyssinica_Lesser Striped Swallow
Motacilla aguimp_African Pied Wagtail
Chamaetylas fuelleborni_White-chested Alethe
Apus affinis_Little Swift
Prinia subflava_Tawny-flanked Prinia
Streptopelia senegalensis_Laughing Dove
Andropadus importunus_Sombre Greenbul
Egretta garzetta_Little Egret
Coracias caudatus_Lilac-breasted Roller
Cyanomitra olivacea_Olive Sunbird
Vidua macroura_Pin-tailed Whydah
Halcyon albiventris_Brown-hooded Kingfisher
Crithagra mozambica_Yellow-fronted Canary
Corythaixoides concolor_Gray Go-away-bird
Haliaeetus vocifer_African Fish-Eagle
Lagonosticta senegala_Red-billed Firefinch
Apalis chapini_Chapin's Apalis
Muscicapa striata_Spotted Flycatcher
Tauraco livingstonii_Livingstone's Turaco
Corvus albus_Pied Crow
Eurillas virens_Little Greenbul
Halcyon senegalensis_Woodland Kingfisher
Cisticola nigriloris_Black-lored Cisticola
Cercococcyx montanus_Barred Long-tailed Cuckoo
Sheppardia sharpei_Sharpe's Akalat
Batis soror_Pale Batis
Laniarius fuelleborni_Fülleborn's Boubou
Terpsiphone viridis_African Paradise-Flycatcher
Pogoniulus pusillus_Red-fronted Tinkerbird
Milvus migrans_Black Kite
Melaniparus rufiventris_Rufous-bellied Tit
Trachyphonus vaillantii_Crested Barbet
Pternistis afer_Red-necked Francolin
Geokichla gurneyi_Orange Ground-Thrush
Stactolaema olivacea_Green Barbet
Bycanistes bucinator_Trumpeter Hornbill
Tauraco porphyreolophus_Purple-crested Turaco
Cercotrichas barbata_Miombo Scrub-Robin
Corvus splendens_House Crow
Modulatrix stictigula_Spot-throat
Ploceus subaureus_African Golden-Weaver
Nicator gularis_Eastern Nicator
Cryptospiza reichenovii_Red-faced Crimsonwing
Halcyon chelicuti_Striped Kingfisher
Merops pusillus_Little Bee-eater
Ceryle rudis_Pied Kingfisher
Numida meleagris_Helmeted Guineafowl
Ardea melanocephala_Black-headed Heron
Oriolus chlorocephalus_Green-headed Oriole
Lamprotornis superbus_Superb Starling
Poicephalus cryptoxanthus_Brown-headed Parrot
Apus apus_Common Swift
Zosterops anderssoni_Southern Yellow White-eye
Vidua funerea_Variable Indigobird
Phyllastrephus flavostriatus_Yellow-streaked Greenbul
Lophoceros alboterminatus_Crowned Hornbill
Chrysococcyx caprius_Dideric Cuckoo
Cinnyris bifasciatus_Purple-banded Sunbird
Ploceus ocularis_Spectacled Weaver
Campethera abingoni_Golden-tailed Woodpecker
Cinnyris gertrudis_Western Miombo Sunbird
Scopus umbretta_Hamerkop
Swynnertonia swynnertoni_Swynnerton's Robin
Passer griseus_Northern Gray-headed Sparrow
Phylloscopus ruficapilla_Yellow-throated Woodland-Warbler
Merops apiaster_European Bee-eater
Cinnyricinclus leucogaster_Violet-backed Starling
Lybius torquatus_Black-collared Barbet
Macronyx fuelleborni_Fülleborn's Longclaw
Halcyon leucocephala_Gray-headed Kingfisher
Eurystomus glaucurus_Broad-billed Roller
Cisticola chiniana_Rattling Cisticola
Notopholia corusca_Black-bellied Starling
Burhinus vermiculatus_Water Thick-knee
Apalis thoracica_Bar-throated Apalis
Oenanthe familiaris_Familiar Chat
