Pycnonotus barbatus_Common Bulbul
Tauraco persa_Guinea Turaco
Crinifer piscator_Western Plantain-eater
Hypergerus atriceps_Oriole Warbler
Spermophaga haematina_Western Bluebill
Streptopelia semitorquata_Red-eyed Dove
Gymnobucco calvus_Naked-faced Barbet
Emberiza cabanisi_Cabanis's Bunting
Turtur brehmeri_Blue-headed Wood-Dove
Hedydipna platura_Pygmy Sunbird
Corythaeola cristata_Great Blue Turaco
Thescelocichla leucopleura_Swamp Greenbul
Tauraco macrorhynchus_Yellow-billed Turaco
Turdoides reinwardtii_Blackcap Babbler
Colius striatus_Speckled Mousebird
Eurillas virens_Little Greenbul
Bostrychia hagedash_Hadada Ibis
Bias musicus_Black-and-white Shrike-flycatcher
Malimbus nitens_Blue-billed Malimbe
Smithornis rufolateralis_Rufous-sided Broadbill
Cinnyris coccinigastrus_Splendid Sunbird
Cinnyris venustus_Variable Sunbird
Cisticola anonymus_Chattering Cisticola
Dicrurus atripennis_Shining Drongo
Bycanistes fistulator_Piping Hornbill
Sylvietta virens_Green Crombec
Sarothrura pulchra_White-spotted Flufftail
Oriolus nigripennis_Black-winged Oriole
Sylvietta ruficapilla_Red-capped Crombec
Lophoceros camurus_Red-billed Dwarf Hornbill
Pogoniulus scolopaceus_Speckled Tinkerbird
Criniger chloronotus_Eastern Bearded-Greenbul
Dryotriorchis spectabilis_Congo Serpent-Eagle
Illadopsis cleaveri_Blackcap Illadopsis
Urotriorchis macrourus_Long-tailed Hawk
Buccanodon duchaillui_Yellow-spotted Barbet
Caprimulgus climacurus_Long-tailed Nightjar
Nicator chloris_Western Nicator
Melaniparus rufiventris_Rufous-bellied Tit
Trochocercus nitens_Blue-headed Crested-Flycatcher
Halcyon badia_Chocolate-backed Kingfisher
Psittacus erithacus_Gray Parrot
Spermestes cucullata_Bronze Mannikin
Pogoniulus bilineatus_Yellow-rumped Tinkerbird
Hylia prasina_Green Hylia
Corvus albus_Pied Crow
Pogoniulus subsulphureus_Yellow-throated Tinkerbird
Bleda notatus_Lesser Bristlebill
Terpsiphone rufiventer_Black-headed Paradise-Flycatcher
Lamprotornis splendidus_Splendid Starling
Camaroptera chloronota_Olive-green Camaroptera
Cypsiurus parvus_African Palm-Swift
Streptopelia capicola_Ring-necked Dove
Stiphrornis erythrothorax_Forest Robin
Illadopsis fulvescens_Brown Illadopsis
Camaroptera superciliaris_Yellow-browed Camaroptera
Ixonotus guttatus_Spotted Greenbul
Streptopelia senegalensis_Laughing Dove
