Vanellus chilensis_Southern Lapwing
Milvago chimango_Chimango Caracara
Turdus falcklandii_Austral Thrush
Tachycineta leucopyga_Chilean Swallow
Sephanoides sephaniodes_Green-backed Firecrown
Spinus barbatus_Black-chinned Siskin
Zonotrichia capensis_Rufous-collared Sparrow
Pyrope pyrope_Fire-eyed Diucon
Curaeus curaeus_Austral Blackbird
Troglodytes aedon_House Wren
Nannopterum brasilianum_Neotropic Cormorant
Passer domesticus_House Sparrow
Coragyps atratus_Black Vulture
Cathartes aura_Turkey Vulture
Elaenia albiceps_White-crested Elaenia
Anairetes parulus_Tufted Tit-Tyrant
Larus dominicanus_Kelp Gull
Leistes loyca_Long-tailed Meadowlark
Anas georgica_Yellow-billed Pintail
Chroicocephalus maculipennis_Brown-hooded Gull
Aphrastura spinicauda_Thorn-tailed Rayadito
Mimus thenca_Chilean Mockingbird
Patagioenas araucana_Chilean Pigeon
Cinclodes patagonicus_Dark-bellied Cinclodes
Colorhamphus parvirostris_Patagonian Tyrant
Numenius phaeopus_Whimbrel
Theristicus melanopis_Black-faced Ibis
Sicalis luteola_Grassland Yellow-Finch
Egretta thula_Snowy Egret
Diuca diuca_Diuca Finch
Ardea alba_Great Egret
Anas flavirostris_Yellow-billed Teal
Zenaida auriculata_Eared Dove
Mareca sibilatrix_Chiloe Wigeon
Fulica armillata_Red-gartered Coot
Cygnus melancoryphus_Black-necked Swan
Leptasthenura aegithaloides_Plain-mantled Tit-Spinetail
Phrygilus patagonicus_Patagonian Sierra Finch
Spatula cyanoptera_Cinnamon Teal
Agelasticus thilius_Yellow-winged Blackbird
Callipepla californica_California Quail
Himantopus mexicanus_Black-necked Stilt
Porphyriops melanops_Spot-flanked Gallinule
Scelorchilus rubecula_Chucao Tapaculo
Hymenops perspicillatus_Spectacled Tyrant
Phytotoma rara_Rufous-tailed Plantcutter
Scytalopus magellanicus_Magellanic Tapaculo
Sylviorthorhynchus desmursii_Des Murs's Wiretail
Falco sparverius_American Kestrel
Cinclodes fuscus_Buff-winged Cinclodes
Columba livia_Rock Pigeon
Colaptes pitius_Chilean Flicker
Columbina picui_Picui Ground Dove
Leucophaeus pipixcan_Franklin's Gull
Caracara plancus_Crested Caracara
Glaucidium nana_Austral Pygmy-Owl
Molothrus bonariensis_Shiny Cowbird
Podiceps major_Great Grebe
Scytalopus fuscus_Dusky Tapaculo
Pygarrhichas albogularis_White-throated Treerunner
Tringa flavipes_Lesser Yellowlegs
Dryobates lignarius_Striped Woodpecker
Enicognathus ferrugineus_Austral Parakeet
Geranoaetus polyosoma_Variable Hawk
Pardirallus sanguinolentus_Plumbeous Rail
Nycticorax nycticorax_Black-crowned Night-Heron
Pygochelidon cyanoleuca_Blue-and-white Swallow
Cistothorus platensis_Grass Wren
Eugralla paradoxa_Ochre-flanked Tapaculo
Tachuris rubrigastra_Many-colored Rush Tyrant
Podilymbus podiceps_Pied-billed Grebe
Coscoroba coscoroba_Coscoroba Swan
Tringa melanoleuca_Greater Yellowlegs
Ardea cocoi_Cocoi Heron
Phleocryptes melanops_Wren-like Rushbird
Elanus leucurus_White-tailed Kite
Haematopus palliatus_American Oystercatcher
Pteroptochos tarnii_Black-throated Huet-huet
Nothoprocta perdicaria_Chilean Tinamou
Spatula platalea_Red Shoveler
Parabuteo unicinctus_Harris's Hawk
Anthus correndera_Correndera Pipit
Podiceps occipitalis_Silvery Grebe
Enicognathus leptorhynchus_Slender-billed Parakeet
Megaceryle torquata_Ringed Kingfisher
Fulica rufifrons_Red-fronted Coot
Rynchops niger_Black Skimmer
Plegadis chihi_White-faced Ibis
Charadrius modestus_Rufous-chested Dotterel
Bubulcus ibis_Cattle Egret
Calidris bairdii_Baird's Sandpiper
Thalasseus elegans_Elegant Tern
Campephilus magellanicus_Magellanic Woodpecker
Pteroptochos castaneus_Chestnut-throated Huet-huet
Cinclodes oustaleti_Gray-flanked Cinclodes
Sterna hirundinacea_South American Tern
Hirundo rustica_Barn Swallow
Limosa haemastica_Hudsonian Godwit
Pseudasthenes humicola_Dusky-tailed Canastero
Muscisaxicola albilora_White-browed Ground-Tyrant
Strix rufipes_Rufous-legged Owl
Tyto alba_Barn Owl
Phoenicopterus chilensis_Chilean Flamingo
Falco peregrinus_Peregrine Falcon
Asio flammeus_Short-eared Owl
Phrygilus gayi_Gray-hooded Sierra Finch
