Vanellus chilensis_Southern Lapwing
Furnarius rufus_Rufous Hornero
Myiopsitta monachus_Monk Parakeet
Pitangus sulphuratus_Great Kiskadee
Zenaida auriculata_Eared Dove
Zonotrichia capensis_Rufous-collared Sparrow
Troglodytes aedon_House Wren
Milvago chimango_Chimango Caracara
Larus dominicanus_Kelp Gull
Chroicocephalus maculipennis_Brown-hooded Gull
Mimus saturninus_Chalk-browed Mockingbird
Nannopterum brasilianum_Neotropic Cormorant
Patagioenas picazuro_Picazuro Pigeon
Caracara plancus_Crested Caracara
Egretta thula_Snowy Egret
Himantopus mexicanus_Black-necked Stilt
Sicalis flaveola_Saffron Finch
Turdus rufiventris_Rufous-bellied Thrush
Patagioenas maculosa_Spot-winged Pigeon
Molothrus bonariensis_Shiny Cowbird
Sterna trudeaui_Snowy-crowned Tern
Plegadis chihi_White-faced Ibis
Chauna torquata_Southern Screamer
Hymenops perspicillatus_Spectacled Tyrant
Pseudoleistes virescens_Brown-and-yellow Marshbird
Guira guira_Guira Cuckoo
Anas georgica_Yellow-billed Pintail
Sicalis luteola_Grassland Yellow-Finch
Agelaioides badius_Grayish Baywing
Embernagra platensis_Great Pampa-Finch
Ardea cocoi_Cocoi Heron
Spinus magellanicus_Hooded Siskin
Hylocharis chrysura_Gilded Hummingbird
Progne tapera_Brown-chested Martin
Passer domesticus_House Sparrow
Leucochloris albicollis_White-throated Hummingbird
Tyrannus melancholicus_Tropical Kingbird
Phacellodomus striaticollis_Freckle-breasted Thornbird
Coscoroba coscoroba_Coscoroba Swan
Anas flavirostris_Yellow-billed Teal
Rupornis magnirostris_Roadside Hawk
Setophaga pitiayumi_Tropical Parula
Ardea alba_Great Egret
Fulica armillata_Red-gartered Coot
Pygochelidon cyanoleuca_Blue-and-white Swallow
Progne chalybea_Gray-breasted Martin
Serpophaga subcristata_White-crested Tyrannulet
Pyrocephalus rubinus_Vermilion Flycatcher
Phleocryptes melanops_Wren-like Rushbird
Colaptes melanochloros_Green-barred Woodpecker
Rynchops niger_Black Skimmer
Tachycineta leucorrhoa_White-rumped Swallow
Colaptes campestris_Campo Flicker
Sturnus vulgaris_European Starling
Phimosus infuscatus_Bare-faced Ibis
Tringa flavipes_Lesser Yellowlegs
Machetornis rixosa_Cattle Tyrant
Tyrannus savana_Fork-tailed Flycatcher
Pluvialis dominica_American Golden-Plover
Haematopus palliatus_American Oystercatcher
Falco sparverius_American Kestrel
Podiceps major_Great Grebe
Paroaria coronata_Red-crested Cardinal
Syrigma sibilatrix_Whistling Heron
Amazonetta brasiliensis_Brazilian Teal
Calidris fuscicollis_White-rumped Sandpiper
Chroicocephalus cirrocephalus_Gray-hooded Gull
Circus buffoni_Long-winged Harrier
Cygnus melancoryphus_Black-necked Swan
Tringa melanoleuca_Greater Yellowlegs
Agelasticus thilius_Yellow-winged Blackbird
Aramides ypecaha_Giant Wood-Rail
Synallaxis spixi_Spix's Spinetail
Athene cunicularia_Burrowing Owl
Elaenia parvirostris_Small-billed Elaenia
Bubulcus ibis_Cattle Egret
Poospiza nigrorufa_Black-and-rufous Warbling Finch
