Vanellus chilensis_Southern Lapwing
Turdus falcklandii_Austral Thrush
Milvago chimango_Chimango Caracara
Sephanoides sephaniodes_Green-backed Firecrown
Tachycineta leucopyga_Chilean Swallow
Cathartes aura_Turkey Vulture
Coragyps atratus_Black Vulture
Nannopterum brasilianum_Neotropic Cormorant
Larus dominicanus_Kelp Gull
Chroicocephalus maculipennis_Brown-hooded Gull
Numenius phaeopus_Whimbrel
Spinus barbatus_Black-chinned Siskin
Pyrope pyrope_Fire-eyed Diucon
Troglodytes aedon_House Wren
Curaeus curaeus_Austral Blackbird
Anairetes parulus_Tufted Tit-Tyrant
Passer domesticus_House Sparrow
Ardea alba_Great Egret
Patagioenas araucana_Chilean Pigeon
Sicalis luteola_Grassland Yellow-Finch
Egretta thula_Snowy Egret
Anas georgica_Yellow-billed Pintail
Colorhamphus parvirostris_Patagonian Tyrant
Cygnus melancoryphus_Black-necked Swan
Cinclodes patagonicus_Dark-bellied Cinclodes
Elaenia albiceps_White-crested Elaenia
Sylviorthorhynchus desmursii_Des Murs's Wiretail
Mimus thenca_Chilean Mockingbird
Leistes loyca_Long-tailed Meadowlark
Theristicus melanopis_Black-faced Ibis
Zonotrichia capensis_Rufous-collared Sparrow
Haematopus palliatus_American Oystercatcher
Scelorchilus rubecula_Chucao Tapaculo
Diuca diuca_Diuca Finch
Enicognathus leptorhynchus_Slender-billed Parakeet
Phrygilus patagonicus_Patagonian Sierra Finch
Eugralla paradoxa_Ochre-flanked Tapaculo
Leucophaeus pipixcan_Franklin's Gull
Anas flavirostris_Yellow-billed Teal
Agelasticus thilius_Yellow-winged Blackbird
Himantopus mexicanus_Black-necked Stilt
Colaptes pitius_Chilean Flicker
Leptasthenura aegithaloides_Plain-mantled Tit-Spinetail
Aphrastura spinicauda_Thorn-tailed Rayadito
Mareca sibilatrix_Chiloe Wigeon
Spatula cyanoptera_Cinnamon Teal
Nycticorax nycticorax_Black-crowned Night-Heron
Fulica armillata_Red-gartered Coot
Pardirallus sanguinolentus_Plumbeous Rail
Phytotoma rara_Rufous-tailed Plantcutter
Tringa flavipes_Lesser Yellowlegs
Scytalopus magellanicus_Magellanic Tapaculo
Podiceps major_Great Grebe
Glaucidium nana_Austral Pygmy-Owl
Coscoroba coscoroba_Coscoroba Swan
