Coereba flaveola_Bananaquit
Tyrannus dominicensis_Gray Kingbird
Mimus gilvus_Tropical Mockingbird
Setophaga petechia_Yellow Warbler
Zenaida aurita_Zenaida Dove
Actitis macularius_Spotted Sandpiper
Fregata magnificens_Magnificent Frigatebird
Melanospiza bicolor_Black-faced Grassquit
Calidris pusilla_Semipalmated Sandpiper
Tringa flavipes_Lesser Yellowlegs
Charadrius semipalmatus_Semipalmated Plover
Quiscalus lugubris_Carib Grackle
Elaenia martinica_Caribbean Elaenia
Charadrius wilsonia_Wilson's Plover
Arenaria interpres_Ruddy Turnstone
Tringa melanoleuca_Greater Yellowlegs
Vireo altiloquus_Black-whiskered Vireo
Hirundo rustica_Barn Swallow
Sternula antillarum_Least Tern
Columbina passerina_Common Ground Dove
Calidris minutilla_Least Sandpiper
Pluvialis squatarola_Black-bellied Plover
Onychoprion anaethetus_Bridled Tern
Spatula discors_Blue-winged Teal
Bubulcus ibis_Cattle Egret
Onychoprion fuscatus_Sooty Tern
Loxigilla noctis_Lesser Antillean Bullfinch
Calidris himantopus_Stilt Sandpiper
Himantopus mexicanus_Black-necked Stilt
Setophaga striata_Blackpoll Warbler
Calidris fuscicollis_White-rumped Sandpiper
Allenia fusca_Scaly-breasted Thrasher
Anous stolidus_Brown Noddy
Gallinula galeata_Common Gallinule
Puffinus puffinus_Manx Shearwater
Calidris alba_Sanderling
Thalasseus maximus_Royal Tern
Limnodromus griseus_Short-billed Dowitcher
Nyctanassa violacea_Yellow-crowned Night-Heron
Egretta thula_Snowy Egret
Calidris melanotos_Pectoral Sandpiper
Egretta caerulea_Little Blue Heron
Fulica americana_American Coot
Crotophaga ani_Smooth-billed Ani
Calidris mauri_Western Sandpiper
Coccyzus americanus_Yellow-billed Cuckoo
Streptopelia decaocto_Eurasian Collared-Dove
Pluvialis dominica_American Golden-Plover
Numenius phaeopus_Whimbrel
Pandion haliaetus_Osprey
Saltator albicollis_Lesser Antillean Saltator
Butorides virescens_Green Heron
Margarops fuscatus_Pearly-eyed Thrasher
Porzana carolina_Sora
Falco sparverius_American Kestrel
Falco columbarius_Merlin
Sula leucogaster_Brown Booby
Leucophaeus atricilla_Laughing Gull
Falco peregrinus_Peregrine Falcon
Megaceryle alcyon_Belted Kingfisher
Riparia riparia_Bank Swallow
Ardea alba_Great Egret
Troglodytes aedon_House Wren
Tringa solitaria_Solitary Sandpiper
Nycticorax nycticorax_Black-crowned Night-Heron
Haematopus palliatus_American Oystercatcher
Porphyrio martinica_Purple Gallinule
Patagioenas squamosa_Scaly-naped Pigeon
Psarocolius decumanus_Crested Oropendola
Columbina talpacoti_Ruddy Ground Dove
Anas acuta_Northern Pintail
Volatinia jacarina_Blue-black Grassquit
Calidris canutus_Red Knot
Thraupis palmarum_Palm Tanager
Turdus leucomelas_Pale-breasted Thrush
Lonchura punctulata_Scaly-breasted Munia
Pelecanus occidentalis_Brown Pelican
Calonectris diomedea_Cory's Shearwater
Gelochelidon nilotica_Gull-billed Tern
Sterna hirundo_Common Tern
Progne tapera_Brown-chested Martin
Myiozetetes cayanensis_Rusty-margined Flycatcher
Coccyzus minor_Mangrove Cuckoo
Progne chalybea_Gray-breasted Martin
Patagioenas cayennensis_Pale-vented Pigeon
Phaeomyias murina_Mouse-colored Tyrannulet
Gallinago delicata_Wilson's Snipe
Jacana jacana_Wattled Jacana
Buteogallus meridionalis_Savanna Hawk
Turdus nudigenis_Spectacled Thrush
Passer domesticus_House Sparrow
Amazona amazonica_Orange-winged Parrot
Chaetura brachyura_Short-tailed Swift
Molothrus bonariensis_Shiny Cowbird
Tachycineta albiventer_White-winged Swallow
Leptotila verreauxi_White-tipped Dove
Rynchops niger_Black Skimmer
Chordeiles gundlachii_Antillean Nighthawk
Thalasseus sandvicensis_Sandwich Tern
Coragyps atratus_Black Vulture
Chrysomus icterocephalus_Yellow-hooded Blackbird
Patagioenas leucocephala_White-crowned Pigeon
Tyrannulus elatus_Yellow-crowned Tyrannulet
Elaenia flavogaster_Yellow-bellied Elaenia
Sternula superciliaris_Yellow-billed Tern
Podilymbus podiceps_Pied-billed Grebe
Fluvicola pica_Pied Water-Tyrant
Coccycua minuta_Little Cuckoo
Columbina minuta_Plain-breasted Ground Dove
Dendroplex picus_Straight-billed Woodcreeper
Myiarchus ferox_Short-crested Flycatcher
Charadrius collaris_Collared Plover
Legatus leucophaius_Piratic Flycatcher
Sporophila minuta_Ruddy-breasted Seedeater
Molothrus oryzivorus_Giant Cowbird
Columba livia_Rock Pigeon
Rupornis magnirostris_Roadside Hawk
Tyrannus savana_Fork-tailed Flycatcher
Formicivora grisea_White-fringed Antwren
Manacus manacus_White-bearded Manakin
Parkesia noveboracensis_Northern Waterthrush
Geotrygon montana_Ruddy Quail-Dove
Leistes militaris_Red-breasted Meadowlark
Todirostrum maculatum_Spotted Tody-Flycatcher
Ramphocelus carbo_Silver-beaked Tanager
Hydrobates leucorhous_Leach's Storm-Petrel
Geothlypis aequinoctialis_Masked Yellowthroat
Spatula clypeata_Northern Shoveler
Crotophaga major_Greater Ani
Tringa semipalmata_Willet
Thamnophilus punctatus_Northern Slaty-Antshrike
Tapera naevia_Striped Cuckoo
