Larus dominicanus_Kelp Gull
Thalassarche melanophris_Black-browed Albatross
Daption capense_Cape Petrel
Stercorarius antarcticus_Brown Skua
Diomedea exulans_Wandering Albatross
Ardenna grisea_Sooty Shearwater
Sterna vittata_Antarctic Tern
Pygoscelis papua_Gentoo Penguin
Pygoscelis antarcticus_Chinstrap Penguin
Ardenna tenuirostris_Short-tailed Shearwater
Stercorarius maccormicki_South Polar Skua
Pygoscelis adeliae_Adelie Penguin
Pterodroma inexpectata_Mottled Petrel
Aptenodytes patagonicus_King Penguin
Anas georgica_Yellow-billed Pintail
