Vanellus chilensis_Southern Lapwing
Pitangus sulphuratus_Great Kiskadee
Furnarius rufus_Rufous Hornero
Troglodytes aedon_House Wren
Myiopsitta monachus_Monk Parakeet
Zenaida auriculata_Eared Dove
Sicalis flaveola_Saffron Finch
Zonotrichia capensis_Rufous-collared Sparrow
Phimosus infuscatus_Bare-faced Ibis
Paroaria coronata_Red-crested Cardinal
Progne tapera_Brown-chested Martin
Tyrannus melancholicus_Tropical Kingbird
Hylocharis chrysura_Gilded Hummingbird
Milvago chimango_Chimango Caracara
Egretta thula_Snowy Egret
Setophaga pitiayumi_Tropical Parula
Nannopterum brasilianum_Neotropic Cormorant
Amazonetta brasiliensis_Brazilian Teal
Chauna torquata_Southern Screamer
Mimus saturninus_Chalk-browed Mockingbird
Ardea cocoi_Cocoi Heron
Guira guira_Guira Cuckoo
Molothrus bonariensis_Shiny Cowbird
Xolmis irupero_White Monjita
Caracara plancus_Crested Caracara
Turdus amaurochalinus_Creamy-bellied Thrush
Turdus rufiventris_Rufous-bellied Thrush
Aramides ypecaha_Giant Wood-Rail
Colaptes campestris_Campo Flicker
Tyrannus savana_Fork-tailed Flycatcher
Pygochelidon cyanoleuca_Blue-and-white Swallow
Ardea alba_Great Egret
Plegadis chihi_White-faced Ibis
Himantopus mexicanus_Black-necked Stilt
Jacana jacana_Wattled Jacana
Patagioenas picazuro_Picazuro Pigeon
Machetornis rixosa_Cattle Tyrant
Tachycineta leucorrhoa_White-rumped Swallow
Larus dominicanus_Kelp Gull
Synallaxis spixi_Spix's Spinetail
Pyrocephalus rubinus_Vermilion Flycatcher
Pseudoleistes virescens_Brown-and-yellow Marshbird
Coereba flaveola_Bananaquit
Anumbius annumbi_Firewood-gatherer
Leptotila verreauxi_White-tipped Dove
Stephanophorus diadematus_Diademed Tanager
Circus buffoni_Long-winged Harrier
Chrysomus ruficapillus_Chestnut-capped Blackbird
Cyclarhis gujanensis_Rufous-browed Peppershrike
Aramus guarauna_Limpkin
Geothlypis aequinoctialis_Masked Yellowthroat
Coscoroba coscoroba_Coscoroba Swan
Myiothlypis leucoblephara_White-browed Warbler
Chroicocephalus maculipennis_Brown-hooded Gull
Embernagra platensis_Great Pampa-Finch
Sicalis luteola_Grassland Yellow-Finch
Platalea ajaja_Roseate Spoonbill
Columbina picui_Picui Ground Dove
Cygnus melancoryphus_Black-necked Swan
Mycteria americana_Wood Stork
Theristicus caerulescens_Plumbeous Ibis
Pluvialis dominica_American Golden-Plover
Basileuterus culicivorus_Golden-crowned Warbler
Hymenops perspicillatus_Spectacled Tyrant
Passer domesticus_House Sparrow
Gallinula galeata_Common Gallinule
Serpophaga subcristata_White-crested Tyrannulet
Syrigma sibilatrix_Whistling Heron
Thamnophilus ruficapillus_Rufous-capped Antshrike
Progne chalybea_Gray-breasted Martin
Elaenia parvirostris_Small-billed Elaenia
Stilpnia preciosa_Chestnut-backed Tanager
Calidris fuscicollis_White-rumped Sandpiper
Rauenia bonariensis_Blue-and-yellow Tanager
Colaptes melanochloros_Green-barred Woodpecker
Rupornis magnirostris_Roadside Hawk
Pardirallus sanguinolentus_Plumbeous Rail
Thraupis sayaca_Sayaca Tanager
Camptostoma obsoletum_Southern Beardless-Tyrannulet
Rhea americana_Greater Rhea
Dryobates spilogaster_White-spotted Woodpecker
Rostrhamus sociabilis_Snail Kite
Amblyramphus holosericeus_Scarlet-headed Blackbird
Bubulcus ibis_Cattle Egret
Limnornis curvirostris_Curve-billed Reedhaunter
Falco sparverius_American Kestrel
Porphyriops melanops_Spot-flanked Gallinule
Sternula superciliaris_Yellow-billed Tern
Sterna trudeaui_Snowy-crowned Tern
Agelasticus thilius_Yellow-winged Blackbird
Coragyps atratus_Black Vulture
Nothura maculosa_Spotted Nothura
Columbina talpacoti_Ruddy Ground Dove
Phleocryptes melanops_Wren-like Rushbird
Polioptila dumicola_Masked Gnatcatcher
Turdus albicollis_White-necked Thrush
Tringa flavipes_Lesser Yellowlegs
Saltator similis_Green-winged Saltator
Gallinago paraguaiae_Paraguayan Snipe
Microspingus cabanisi_Gray-throated Warbling Finch
Cinclodes fuscus_Buff-winged Cinclodes
Cathartes aura_Turkey Vulture
Poospiza nigrorufa_Black-and-rufous Warbling Finch
Pseudoleistes guirahuro_Yellow-rumped Marshbird
Agelaioides badius_Grayish Baywing
Tringa melanoleuca_Greater Yellowlegs
Chloroceryle americana_Green Kingfisher
Phacellodomus striaticollis_Freckle-breasted Thornbird
Phylloscartes ventralis_Mottle-cheeked Tyrannulet
Anthus lutescens_Yellowish Pipit
Tachycineta leucopyga_Chilean Swallow
Serpophaga nigricans_Sooty Tyrannulet
Limnoctites sulphuriferus_Sulphur-bearded Reedhaunter
Icterus pyrrhopterus_Variable Oriole
Buteogallus meridionalis_Savanna Hawk
Syndactyla rufosuperciliata_Buff-browed Foliage-gleaner
Laterallus melanophaius_Rufous-sided Crake
Dendrocygna viduata_White-faced Whistling-Duck
Chloroceryle amazona_Amazon Kingfisher
Lepidocolaptes falcinellus_Scalloped Woodcreeper
Limnoctites rectirostris_Straight-billed Reedhaunter
Tigrisoma lineatum_Rufescent Tiger-Heron
Megaceryle torquata_Ringed Kingfisher
Nycticorax nycticorax_Black-crowned Night-Heron
Myiophobus fasciatus_Bran-colored Flycatcher
Thamnophilus caerulescens_Variable Antshrike
Aramides cajaneus_Gray-cowled Wood-Rail
Volatinia jacarina_Blue-black Grassquit
Geositta cunicularia_Common Miner
Nengetus cinereus_Gray Monjita
Cranioleuca pyrrhophia_Stripe-crowned Spinetail
Tapera naevia_Striped Cuckoo
Leistes superciliaris_White-browed Meadowlark
Pachyramphus polychopterus_White-winged Becard
Milvago chimachima_Yellow-headed Caracara
Phaetusa simplex_Large-billed Tern
Xanthopsar flavus_Saffron-cowled Blackbird
Charadrius collaris_Collared Plover
Spartonoica maluroides_Bay-capped Wren-Spinetail
Picumnus nebulosus_Mottled Piculet
Certhiaxis cinnamomeus_Yellow-chinned Spinetail
Rynchops niger_Black Skimmer
Theristicus caudatus_Buff-necked Ibis
Donacospiza albifrons_Long-tailed Reed Finch
Heliobletus contaminatus_Sharp-billed Treehunter
Anthus correndera_Correndera Pipit
Fulica armillata_Red-gartered Coot
Spinus magellanicus_Hooded Siskin
Saltator aurantiirostris_Golden-billed Saltator
Cacicus chrysopterus_Golden-winged Cacique
Butorides striata_Striated Heron
Myiodynastes maculatus_Streaked Flycatcher
Elaenia mesoleuca_Olivaceous Elaenia
Anthus hellmayri_Hellmayr's Pipit
Sporophila caerulescens_Double-collared Seedeater
Podilymbus podiceps_Pied-billed Grebe
Tachuris rubrigastra_Many-colored Rush Tyrant
Charadrius modestus_Rufous-chested Dotterel
Myiarchus swainsoni_Swainson's Flycatcher
Rhynchotus rufescens_Red-winged Tinamou
Anthus furcatus_Short-billed Pipit
Mackenziaena leachii_Large-tailed Antshrike
Cyanoloxia glaucocaerulea_Glaucous-blue Grosbeak
Poecilotriccus plumbeiceps_Ochre-faced Tody-Flycatcher
Ammodramus humeralis_Grassland Sparrow
Spatula platalea_Red Shoveler
Coryphospingus cucullatus_Red-crested Finch
Brotogeris chiriri_Yellow-chevroned Parakeet
Paroaria capitata_Yellow-billed Cardinal
Sporophila collaris_Rusty-collared Seedeater
Chroicocephalus cirrocephalus_Gray-hooded Gull
Polystictus pectoralis_Bearded Tachuri
Asio flammeus_Short-eared Owl
Limosa haemastica_Hudsonian Godwit
Athene cunicularia_Burrowing Owl
Cistothorus platensis_Grass Wren
Schoeniophylax phryganophilus_Chotoy Spinetail
Calidris subruficollis_Buff-breasted Sandpiper
Pipraeidea melanonota_Fawn-breasted Tanager
Charadrius falklandicus_Two-banded Plover
Hydropsalis torquata_Scissor-tailed Nightjar
Cinclodes pabsti_Long-tailed Cinclodes
Conopophaga lineata_Rufous Gnateater
Podiceps major_Great Grebe
Molothrus rufoaxillaris_Screaming Cowbird
Melanerpes candidus_White Woodpecker
Fulica rufifrons_Red-fronted Coot
Vireo chivi_Chivi Vireo
Pyrrhura frontalis_Maroon-bellied Parakeet
Gnorimopsar chopi_Chopi Blackbird
Alopochelidon fucata_Tawny-headed Swallow
