Pitangus sulphuratus_Great Kiskadee
Coragyps atratus_Black Vulture
Vanellus chilensis_Southern Lapwing
Troglodytes aedon_House Wren
Tyrannus melancholicus_Tropical Kingbird
Sicalis flaveola_Saffron Finch
Columbina talpacoti_Ruddy Ground Dove
Coereba flaveola_Bananaquit
Thraupis palmarum_Palm Tanager
Pygochelidon cyanoleuca_Blue-and-white Swallow
Thraupis sayaca_Sayaca Tanager
Dacnis cayana_Blue Dacnis
Turdus rufiventris_Rufous-bellied Thrush
Myiozetetes similis_Social Flycatcher
Tachyphonus coronatus_Ruby-crowned Tanager
Thalurania glaucopis_Violet-capped Woodnymph
Fluvicola nengeta_Masked Water-Tyrant
Euphonia violacea_Violaceous Euphonia
Fregata magnificens_Magnificent Frigatebird
Progne chalybea_Gray-breasted Martin
Nannopterum brasilianum_Neotropic Cormorant
Patagioenas picazuro_Picazuro Pigeon
Crotophaga ani_Smooth-billed Ani
Ramphocelus bresilius_Brazilian Tanager
Egretta thula_Snowy Egret
Thraupis ornata_Golden-chevroned Tanager
Tangara desmaresti_Brassy-breasted Tanager
Ramphastos vitellinus_Channel-billed Toucan
Megarynchus pitangua_Boat-billed Flycatcher
Celeus flavescens_Blond-crested Woodpecker
Turdus leucomelas_Pale-breasted Thrush
Chiroxiphia caudata_Swallow-tailed Manakin
Milvago chimachima_Yellow-headed Caracara
Tangara seledon_Green-headed Tanager
Rupornis magnirostris_Roadside Hawk
Elaenia flavogaster_Yellow-bellied Elaenia
Basileuterus culicivorus_Golden-crowned Warbler
Pyrrhura frontalis_Maroon-bellied Parakeet
Euphonia pectoralis_Chestnut-bellied Euphonia
Trichothraupis melanops_Black-goggled Tanager
Caracara plancus_Crested Caracara
Florisuga fusca_Black Jacobin
Leucochloris albicollis_White-throated Hummingbird
Sittasomus griseicapillus_Olivaceous Woodcreeper
Leptotila verreauxi_White-tipped Dove
Cathartes aura_Turkey Vulture
Clytolaema rubricauda_Brazilian Ruby
Zonotrichia capensis_Rufous-collared Sparrow
Megaceryle torquata_Ringed Kingfisher
Eupetomena cirrochloris_Sombre Hummingbird
Stelgidopteryx ruficollis_Southern Rough-winged Swallow
Mimus gilvus_Tropical Mockingbird
Piaya cayana_Squirrel Cuckoo
Crypturellus obsoletus_Brown Tinamou
Tolmomyias sulphurescens_Yellow-olive Flycatcher
Athene cunicularia_Burrowing Owl
Aramides saracura_Slaty-breasted Wood-Rail
Psarocolius decumanus_Crested Oropendola
Myiodynastes maculatus_Streaked Flycatcher
Picumnus cirratus_White-barred Piculet
Larus dominicanus_Kelp Gull
Vireo chivi_Chivi Vireo
Manacus manacus_White-bearded Manakin
Brotogeris tirica_Plain Parakeet
Xiphorhynchus fuscus_Lesser Woodcreeper
Dysithamnus mentalis_Plain Antvireo
Cyclarhis gujanensis_Rufous-browed Peppershrike
Leptopogon amaurocephalus_Sepia-capped Flycatcher
Cranioleuca pallida_Pallid Spinetail
Volatinia jacarina_Blue-black Grassquit
Egretta caerulea_Little Blue Heron
Leptotila rufaxilla_Gray-fronted Dove
Machetornis rixosa_Cattle Tyrant
Conopophaga melanops_Black-cheeked Gnateater
Ramphodon naevius_Saw-billed Hermit
Certhiaxis cinnamomeus_Yellow-chinned Spinetail
Gallinula galeata_Common Gallinule
Guira guira_Guira Cuckoo
Tringa flavipes_Lesser Yellowlegs
Herpsilochmus rufimarginatus_Rufous-margined Antwren
Camptostoma obsoletum_Southern Beardless-Tyrannulet
Trogon surrucura_Surucua Trogon
Chionomesa fimbriata_Glittering-throated Emerald
Phaethornis eurynome_Scale-throated Hermit
Thraupis cyanoptera_Azure-shouldered Tanager
Thamnophilus ambiguus_Sooretama Slaty-Antshrike
Platalea ajaja_Roseate Spoonbill
Turdus amaurochalinus_Creamy-bellied Thrush
Ilicura militaris_Pin-tailed Manakin
Selenidera maculirostris_Spot-billed Toucanet
Pachyramphus castaneus_Chestnut-crowned Becard
Stilpnia cayana_Burnished-buff Tanager
Eupetomena macroura_Swallow-tailed Hummingbird
Hylophilus poicilotis_Rufous-crowned Greenlet
Procnias nudicollis_Bare-throated Bellbird
Ardea alba_Great Egret
Pyriglena leucoptera_White-shouldered Fire-eye
Himantopus mexicanus_Black-necked Stilt
Butorides striata_Striated Heron
Mimus saturninus_Chalk-browed Mockingbird
Sporophila caerulescens_Double-collared Seedeater
Hirundinea ferruginea_Cliff Flycatcher
Thamnophilus caerulescens_Variable Antshrike
Turdus flavipes_Yellow-legged Thrush
Chlorophanes spiza_Green Honeycreeper
Calidris fuscicollis_White-rumped Sandpiper
Synallaxis ruficapilla_Rufous-capped Spinetail
Stephanoxis lalandi_Green-crowned Plovercrest
Dendroma rufa_Buff-fronted Foliage-gleaner
Pachyramphus polychopterus_White-winged Becard
Furnarius rufus_Rufous Hornero
