Himatione sanguinea_Apapane
Chlorodrepanis virens_Hawaii Amakihi
Zosterops japonicus_Warbling White-eye
Branta sandvicensis_Hawaiian Goose
Myadestes obscurus_Omao
Anous minutus_Black Noddy
Lophura leucomelanos_Kalij Pheasant
Haemorhous mexicanus_House Finch
Acridotheres tristis_Common Myna
Chasiempis sandwichensis_Hawaii Elepaio
Passer domesticus_House Sparrow
Streptopelia chinensis_Spotted Dove
Pluvialis fulva_Pacific Golden-Plover
Crithagra mozambica_Yellow-fronted Canary
Geopelia striata_Zebra Dove
Buteo solitarius_Hawaiian Hawk
Cardinalis cardinalis_Northern Cardinal
Callipepla californica_California Quail
Leiothrix lutea_Red-billed Leiothrix
Pternistis erckelii_Erckel's Francolin
Phaethon lepturus_White-tailed Tropicbird
Garrulax canorus_Chinese Hwamei
Drepanis coccinea_Iiwi
Sturnella neglecta_Western Meadowlark
Pelecanus erythrorhynchos_American White Pelican
Fulica americana_American Coot
Zenaida macroura_Mourning Dove
Podilymbus podiceps_Pied-billed Grebe
Phaethon aethereus_Red-billed Tropicbird
Lonchura punctulata_Scaly-breasted Munia
Oxyura jamaicensis_Ruddy Duck
Haematopus palliatus_American Oystercatcher
Tringa incana_Wandering Tattler
Athene cunicularia_Burrowing Owl
Catherpes mexicanus_Canyon Wren
Horornis diphone_Japanese Bush Warbler
Bubulcus ibis_Cattle Egret
Arenaria interpres_Ruddy Turnstone
Charadrius vociferus_Killdeer
Pyrocephalus rubinus_Vermilion Flycatcher
Spatula cyanoptera_Cinnamon Teal
Charadrius wilsonia_Wilson's Plover
Parabuteo unicinctus_Harris's Hawk
Aechmophorus clarkii_Clark's Grebe
Larus delawarensis_Ring-billed Gull
Porzana carolina_Sora
Charadrius nivosus_Snowy Plover
Accipiter cooperii_Cooper's Hawk
Lanius ludovicianus_Loggerhead Shrike
Rynchops niger_Black Skimmer
Geococcyx californianus_Greater Roadrunner
Falco mexicanus_Prairie Falcon
Aythya affinis_Lesser Scaup
Ixobrychus exilis_Least Bittern
Nyctanassa violacea_Yellow-crowned Night-Heron
Aphelocoma californica_California Scrub-Jay
Ardenna grisea_Sooty Shearwater
Corvus corax_Common Raven
Ardenna creatopus_Pink-footed Shearwater
Aeronautes saxatalis_White-throated Swift
Molothrus ater_Brown-headed Cowbird
Mniotilta varia_Black-and-white Warbler
Myiopsitta monachus_Monk Parakeet
Sterna forsteri_Forster's Tern
