Grallina cyanoleuca_Magpie-lark
Numenius madagascariensis_Far Eastern Curlew
Tringa glareola_Wood Sandpiper
Edolisoma tenuirostre_Common Cicadabird
Radjah radjah_Radjah Shelduck
Glareola maldivarum_Oriental Pratincole
Tringa brevipes_Gray-tailed Tattler
Stomiopera unicolor_White-gaped Honeyeater
Gallinago hardwickii_Latham's Snipe
Charadrius veredus_Oriental Plover
Tribonyx ventralis_Black-tailed Nativehen
Cinnyris jugularis_Olive-backed Sunbird
Microeca flavigaster_Lemon-bellied Flycatcher
Hirundapus caudacutus_White-throated Needletail
Corcorax melanorhamphos_White-winged Chough
Acridotheres tristis_Common Myna
Numenius minutus_Little Curlew
Colluricincla rufogaster_Rufous Shrikethrush
Artamus cyanopterus_Dusky Woodswallow
Chrysococcyx minutillus_Little Bronze-Cuckoo
Myzomela obscura_Dusky Myzomela
Melanodryas cucullata_Hooded Robin
Gerygone fusca_Western Gerygone
Gavicalis virescens_Singing Honeyeater
Calidris falcinellus_Broad-billed Sandpiper
Oreoica gutturalis_Crested Bellbird
Epthianura tricolor_Crimson Chat
Gerygone magnirostris_Large-billed Gerygone
Climacteris picumnus_Brown Treecreeper
Ducula spilorrhoa_Torresian Imperial-Pigeon
Ramsayornis modestus_Brown-backed Honeyeater
Pluvialis fulva_Pacific Golden-Plover
Gallirallus philippensis_Buff-banded Rail
Zosterops luteus_Australian Yellow White-eye
Butorides striata_Striated Heron
Chlidonias leucopterus_White-winged Tern
Malurus amabilis_Lovely Fairywren
Ptilotula penicillata_White-plumed Honeyeater
Sturnus vulgaris_European Starling
Sternula albifrons_Little Tern
Ixobrychus flavicollis_Black Bittern
Calidris melanotos_Pectoral Sandpiper
Pandion haliaetus_Osprey
Petroica goodenovii_Red-capped Robin
Cracticus quoyi_Black Butcherbird
Ptilinopus magnificus_Wompoo Fruit-Dove
Calidris tenuirostris_Great Knot
Sugomel nigrum_Black Honeyeater
Zosterops lateralis_Silvereye
Acanthagenys rufogularis_Spiny-cheeked Honeyeater
Accipiter novaehollandiae_Gray Goshawk
Caprimulgus macrurus_Large-tailed Nightjar
Amaurornis moluccana_Pale-vented Bush-hen
Malurus leucopterus_White-winged Fairywren
Synoicus chinensis_Blue-breasted Quail
Rhipidura dryas_Arafura Fantail
