Vanellus chilensis_Southern Lapwing
Pitangus sulphuratus_Great Kiskadee
Troglodytes aedon_House Wren
Coragyps atratus_Black Vulture
Caracara plancus_Crested Caracara
Tyrannus melancholicus_Tropical Kingbird
Patagioenas picazuro_Picazuro Pigeon
Columbina talpacoti_Ruddy Ground Dove
Coereba flaveola_Bananaquit
Turdus leucomelas_Pale-breasted Thrush
Sicalis flaveola_Saffron Finch
Zonotrichia capensis_Rufous-collared Sparrow
Thraupis sayaca_Sayaca Tanager
Furnarius rufus_Rufous Hornero
Turdus rufiventris_Rufous-bellied Thrush
Elaenia flavogaster_Yellow-bellied Elaenia
Cyclarhis gujanensis_Rufous-browed Peppershrike
Psittacara leucophthalmus_White-eyed Parakeet
Crotophaga ani_Smooth-billed Ani
Stilpnia cayana_Burnished-buff Tanager
Eupetomena macroura_Swallow-tailed Hummingbird
Megarynchus pitangua_Boat-billed Flycatcher
Volatinia jacarina_Blue-black Grassquit
Euphonia chlorotica_Purple-throated Euphonia
Passer domesticus_House Sparrow
Camptostoma obsoletum_Southern Beardless-Tyrannulet
Pygochelidon cyanoleuca_Blue-and-white Swallow
Mimus saturninus_Chalk-browed Mockingbird
Rupornis magnirostris_Roadside Hawk
Milvago chimachima_Yellow-headed Caracara
Saltator similis_Green-winged Saltator
Leptotila verreauxi_White-tipped Dove
Myiozetetes similis_Social Flycatcher
Fluvicola nengeta_Masked Water-Tyrant
Sporophila nigricollis_Yellow-bellied Seedeater
Brotogeris chiriri_Yellow-chevroned Parakeet
Piaya cayana_Squirrel Cuckoo
Columbina squammata_Scaled Dove
Stelgidopteryx ruficollis_Southern Rough-winged Swallow
Gnorimopsar chopi_Chopi Blackbird
Molothrus bonariensis_Shiny Cowbird
Eupsittula aurea_Peach-fronted Parakeet
Sporophila caerulescens_Double-collared Seedeater
Phacellodomus rufifrons_Rufous-fronted Thornbird
Dacnis cayana_Blue Dacnis
Turdus amaurochalinus_Creamy-bellied Thrush
Thraupis palmarum_Palm Tanager
Columbina picui_Picui Ground Dove
Thamnophilus caerulescens_Variable Antshrike
Chlorostilbon lucidus_Glittering-bellied Emerald
Icterus jamacaii_Campo Troupial
Myiarchus ferox_Short-crested Flycatcher
Cacicus haemorrhous_Red-rumped Cacique
Phaethornis pretrei_Planalto Hermit
Zenaida auriculata_Eared Dove
Cathartes aura_Turkey Vulture
Todirostrum poliocephalum_Gray-headed Tody-Flycatcher
Tolmomyias sulphurescens_Yellow-olive Flycatcher
Picumnus cirratus_White-barred Piculet
Colaptes campestris_Campo Flicker
Guira guira_Guira Cuckoo
Thamnophilus ambiguus_Sooretama Slaty-Antshrike
Synallaxis frontalis_Sooty-fronted Spinetail
Tyrannus savana_Fork-tailed Flycatcher
Chionomesa fimbriata_Glittering-throated Emerald
Trogon surrucura_Surucua Trogon
Progne chalybea_Gray-breasted Martin
Xolmis irupero_White Monjita
Pyrrhura frontalis_Maroon-bellied Parakeet
Nothura boraquira_White-bellied Nothura
Euphonia violacea_Violaceous Euphonia
Crypturellus parvirostris_Small-billed Tinamou
Falco sparverius_American Kestrel
Parabuteo unicinctus_Harris's Hawk
Myrmorchilus strigilatus_Stripe-backed Antbird
Chiroxiphia caudata_Swallow-tailed Manakin
Basileuterus culicivorus_Golden-crowned Warbler
Elaenia cristata_Plain-crested Elaenia
Chrysomus ruficapillus_Chestnut-capped Blackbird
Myiornis auricularis_Eared Pygmy-Tyrant
Cariama cristata_Red-legged Seriema
Hirundinea ferruginea_Cliff Flycatcher
Synallaxis spixi_Spix's Spinetail
Schistochlamys ruficapillus_Cinnamon Tanager
Colibri serrirostris_White-vented Violetear
Chionomesa lactea_Sapphire-spangled Emerald
Pionus maximiliani_Scaly-headed Parrot
Xiphorhynchus fuscus_Lesser Woodcreeper
Ardea alba_Great Egret
Myrmoderus ruficauda_Scalloped Antbird
Elaenia sordida_Small-headed Elaenia
Tachyphonus coronatus_Ruby-crowned Tanager
Synallaxis albescens_Pale-breasted Spinetail
Thraupis ornata_Golden-chevroned Tanager
Cyanoloxia brissonii_Ultramarine Grosbeak
Myiodynastes maculatus_Streaked Flycatcher
Certhiaxis cinnamomeus_Yellow-chinned Spinetail
Ilicura militaris_Pin-tailed Manakin
Amazona rhodocorytha_Red-browed Parrot
Ramphastos toco_Toco Toucan
Sakesphorus cristatus_Silvery-cheeked Antshrike
Glaucidium brasilianum_Ferruginous Pygmy-Owl
Pyriglena leucoptera_White-shouldered Fire-eye
Sclerurus scansor_Rufous-breasted Leaftosser
Sittasomus griseicapillus_Olivaceous Woodcreeper
Lathrotriccus euleri_Euler's Flycatcher
Herpsilochmus rufimarginatus_Rufous-margined Antwren
Hylocharis sapphirina_Rufous-throated Sapphire
Eupsittula cactorum_Cactus Parakeet
Crypturellus obsoletus_Brown Tinamou
Turdus albicollis_White-necked Thrush
Athene cunicularia_Burrowing Owl
Ammodramus humeralis_Grassland Sparrow
Phaeomyias murina_Mouse-colored Tyrannulet
Theristicus caudatus_Buff-necked Ibis
Trichothraupis melanops_Black-goggled Tanager
Crypturellus noctivagus_Yellow-legged Tinamou
Pardirallus nigricans_Blackish Rail
Machetornis rixosa_Cattle Tyrant
Myiophobus fasciatus_Bran-colored Flycatcher
Phyllomyias fasciatus_Planalto Tyrannulet
Tolmomyias flaviventris_Yellow-breasted Flycatcher
Hemitriccus margaritaceiventer_Pearly-vented Tody-Tyrant
Crypturellus tataupa_Tataupa Tinamou
Progne tapera_Brown-chested Martin
Pyrrhura cruentata_Ochre-marked Parakeet
Hemithraupis ruficapilla_Rufous-headed Tanager
Grallaria varia_Variegated Antpitta
Hylopezus ochroleucus_White-browed Antpitta
Forpus xanthopterygius_Cobalt-rumped Parrotlet
Campylorhynchus turdinus_Thrush-like Wren
Coryphospingus pileatus_Pileated Finch
Schiffornis virescens_Greenish Schiffornis
Spinus magellanicus_Hooded Siskin
Furnarius figulus_Wing-banded Hornero
Asio stygius_Stygian Owl
Polioptila plumbea_Tropical Gnatcatcher
Formicivora melanogaster_Black-bellied Antwren
Empidonomus varius_Variegated Flycatcher
