Acridotheres tristis_Common Myna
Halcyon smyrnensis_White-throated Kingfisher
Corvus splendens_House Crow
Corvus macrorhynchos_Large-billed Crow
Eudynamys scolopaceus_Asian Koel
Ardeola grayii_Indian Pond-Heron
Argya affinis_Yellow-billed Babbler
Streptopelia chinensis_Spotted Dove
Psilopogon zeylanicus_Brown-headed Barbet
Psittacula krameri_Rose-ringed Parakeet
Pycnonotus cafer_Red-vented Bulbul
Bubulcus ibis_Cattle Egret
Leptocoma zeylonica_Purple-rumped Sunbird
Copsychus saularis_Oriental Magpie-Robin
Orthotomus sutorius_Common Tailorbird
Amaurornis phoenicurus_White-breasted Waterhen
Egretta garzetta_Little Egret
Hirundo rustica_Barn Swallow
Pycnonotus luteolus_White-browed Bulbul
Microcarbo niger_Little Cormorant
Pavo cristatus_Indian Peafowl
Vanellus indicus_Red-wattled Lapwing
Ardea intermedia_Intermediate Egret
Anastomus oscitans_Asian Openbill
Ardea alba_Great Egret
Haliastur indus_Brahminy Kite
Cypsiurus balasiensis_Asian Palm-Swift
Centropus sinensis_Greater Coucal
Oriolus xanthornus_Black-hooded Oriole
Gallus lafayettii_Sri Lanka Junglefowl
Merops philippinus_Blue-tailed Bee-eater
Chlidonias hybrida_Whiskered Tern
Terpsiphone paradisi_Indian Paradise-Flycatcher
Merops orientalis_Green Bee-eater
Columba livia_Rock Pigeon
Copsychus fulicatus_Indian Robin
Ardea purpurea_Purple Heron
Threskiornis melanocephalus_Black-headed Ibis
Lanius cristatus_Brown Shrike
Dendrocygna javanica_Lesser Whistling-Duck
Dicaeum erythrorhynchos_Pale-billed Flowerpecker
Hydrophasianus chirurgus_Pheasant-tailed Jacana
Lonchura punctulata_Scaly-breasted Munia
Haliaeetus leucogaster_White-bellied Sea-Eagle
Ducula aenea_Green Imperial-Pigeon
Anhinga melanogaster_Oriental Darter
Dicrurus caerulescens_White-bellied Drongo
Alcedo atthis_Common Kingfisher
Ardea cinerea_Gray Heron
Himantopus himantopus_Black-winged Stilt
Apus affinis_Little Swift
Prinia inornata_Plain Prinia
Mycteria leucocephala_Painted Stork
Cinnyris asiaticus_Purple Sunbird
Actitis hypoleucos_Common Sandpiper
Tringa totanus_Common Redshank
Passer domesticus_House Sparrow
Rhipidura aureola_White-browed Fantail
Lonchura striata_White-rumped Munia
Aegithina tiphia_Common Iora
Gelochelidon nilotica_Gull-billed Tern
Cinnyris lotenius_Loten's Sunbird
Porphyrio poliocephalus_Gray-headed Swamphen
Anthus rufulus_Paddyfield Pipit
Treron bicinctus_Orange-breasted Green-Pigeon
Spilornis cheela_Crested Serpent-Eagle
Coracias benghalensis_Indian Roller
Hemiprocne coronata_Crested Treeswift
Tringa glareola_Wood Sandpiper
Accipiter badius_Shikra
Ceryle rudis_Pied Kingfisher
Psilopogon haemacephalus_Coppersmith Barbet
Mirafra affinis_Jerdon's Bushlark
Lonchura malacca_Tricolored Munia
Zosterops palpebrosus_Indian White-eye
Pericrocotus cinnamomeus_Small Minivet
Psittacula eupatria_Alexandrine Parakeet
Platalea leucorodia_Eurasian Spoonbill
Pellorneum fuscocapillus_Brown-capped Babbler
Pitta brachyura_Indian Pitta
Vanellus malabaricus_Yellow-wattled Lapwing
Ocyceros gingalensis_Sri Lanka Gray Hornbill
Nisaetus cirrhatus_Changeable Hawk-Eagle
Cyornis tickelliae_Tickell's Blue Flycatcher
Upupa epops_Eurasian Hoopoe
Tachybaptus ruficollis_Little Grebe
Tringa stagnatilis_Marsh Sandpiper
Ixobrychus sinensis_Yellow Bittern
Haliaeetus ichthyaetus_Gray-headed Fish-Eagle
Charadrius mongolus_Lesser Sand-Plover
Psilopogon rubricapillus_Crimson-fronted Barbet
Limosa limosa_Black-tailed Godwit
Psilopogon flavifrons_Yellow-fronted Barbet
Pluvialis fulva_Pacific Golden-Plover
Milvus migrans_Black Kite
Anthracoceros coronatus_Malabar Pied-Hornbill
Chalcophaps indica_Asian Emerald Dove
Chloropsis jerdoni_Jerdon's Leafbird
