Larus dominicanus_Kelp Gull
Stercorarius antarcticus_Brown Skua
Thalassarche melanophris_Black-browed Albatross
Daption capense_Cape Petrel
Diomedea exulans_Wandering Albatross
Sterna vittata_Antarctic Tern
Ardenna grisea_Sooty Shearwater
Pygoscelis papua_Gentoo Penguin
Pygoscelis antarcticus_Chinstrap Penguin
Aptenodytes patagonicus_King Penguin
Anas georgica_Yellow-billed Pintail
Stercorarius maccormicki_South Polar Skua
Ardenna tenuirostris_Short-tailed Shearwater
Pygoscelis adeliae_Adelie Penguin
Pterodroma inexpectata_Mottled Petrel
