Zosterops japonicus_Warbling White-eye
Paroaria coronata_Red-crested Cardinal
Geopelia striata_Zebra Dove
Copsychus malabaricus_White-rumped Shama
Bubulcus ibis_Cattle Egret
Acridotheres tristis_Common Myna
Streptopelia chinensis_Spotted Dove
Gallus gallus_Red Junglefowl
Haemorhous mexicanus_House Finch
Pluvialis fulva_Pacific Golden-Plover
Passer domesticus_House Sparrow
Cardinalis cardinalis_Northern Cardinal
Lonchura atricapilla_Chestnut Munia
Lonchura punctulata_Scaly-breasted Munia
Gallinula galeata_Common Gallinule
Psittacula krameri_Rose-ringed Parakeet
Nycticorax nycticorax_Black-crowned Night-Heron
Columba livia_Rock Pigeon
Phaethon lepturus_White-tailed Tropicbird
Anas wyvilliana_Hawaiian Duck
Mimus polyglottos_Northern Mockingbird
Himantopus mexicanus_Black-necked Stilt
Fulica alai_Hawaiian Coot
Garrulax canorus_Chinese Hwamei
Horornis diphone_Japanese Bush Warbler
Branta sandvicensis_Hawaiian Goose
Sturnella neglecta_Western Meadowlark
Chasiempis sclateri_Kauai Elepaio
Padda oryzivora_Java Sparrow
Amandava amandava_Red Avadavat
Tringa incana_Wandering Tattler
Magumma parva_Anianiau
Loxops caeruleirostris_Akekee
Estrilda astrild_Common Waxbill
Puffinus newelli_Newell's Shearwater
Phasianus colchicus_Ring-necked Pheasant
Arenaria interpres_Ruddy Turnstone
Euodice cantans_African Silverbill
Pterodroma sandwichensis_Hawaiian Petrel
Tyto alba_Barn Owl
Asio flammeus_Short-eared Owl
Alauda arvensis_Eurasian Skylark
Ardenna pacifica_Wedge-tailed Shearwater
Agapornis roseicollis_Rosy-faced Lovebird
Chlorodrepanis stejnegeri_Kauai Amakihi
Anous minutus_Black Noddy
Ortygornis pondicerianus_Gray Francolin
