Pycnonotus barbatus_Common Bulbul
Crinifer piscator_Western Plantain-eater
Hypergerus atriceps_Oriole Warbler
Prinia erythroptera_Red-winged Prinia
Laniarius barbarus_Yellow-crowned Gonolek
Hedydipna platura_Pygmy Sunbird
Turdoides reinwardtii_Blackcap Babbler
Pternistis bicalcaratus_Double-spurred Francolin
Lybius vieilloti_Vieillot's Barbet
Eremomela pusilla_Senegal Eremomela
Alethe diademata_White-tailed Alethe
Pternistis ahantensis_Ahanta Francolin
Lamprotornis caudatus_Long-tailed Glossy Starling
Bleda canicapillus_Gray-headed Bristlebill
Streptopelia semitorquata_Red-eyed Dove
Cinnyris coccinigastrus_Splendid Sunbird
Illadopsis puveli_Puvel's Illadopsis
Spermophaga haematina_Western Bluebill
Streptopelia senegalensis_Laughing Dove
Malimbus nitens_Blue-billed Malimbe
Dicrurus divaricatus_Glossy-backed Drongo
Poicephalus senegalus_Senegal Parrot
Lagonosticta senegala_Red-billed Firefinch
Thescelocichla leucopleura_Swamp Greenbul
Turtur brehmeri_Blue-headed Wood-Dove
Bostrychia hagedash_Hadada Ibis
Coracias abyssinicus_Abyssinian Roller
Corvus albus_Pied Crow
Salpornis salvadori_African Spotted Creeper
Lamprotornis splendidus_Splendid Starling
Caprimulgus climacurus_Long-tailed Nightjar
Crithagra mozambica_Yellow-fronted Canary
Centropus senegalensis_Senegal Coucal
Ceuthmochares aereus_Blue Malkoha
Tauraco persa_Guinea Turaco
Cinnyris chloropygius_Olive-bellied Sunbird
Vanellus senegallus_Wattled Lapwing
Bycanistes fistulator_Piping Hornbill
Pogoniulus chrysoconus_Yellow-fronted Tinkerbird
Eurillas virens_Little Greenbul
Cuculus solitarius_Red-chested Cuckoo
Halcyon malimbica_Blue-breasted Kingfisher
Lamprotornis chloropterus_Lesser Blue-eared Starling
Cypsiurus parvus_African Palm-Swift
Spermestes cucullata_Bronze Mannikin
Burhinus senegalensis_Senegal Thick-knee
Passer griseus_Northern Gray-headed Sparrow
Criniger calurus_Red-tailed Greenbul
Tricholaema hirsuta_Hairy-breasted Barbet
Hylia prasina_Green Hylia
Streptopelia vinacea_Vinaceous Dove
Pogoniulus atroflavus_Red-rumped Tinkerbird
Hedydipna collaris_Collared Sunbird
Nicator chloris_Western Nicator
Chalcomitra senegalensis_Scarlet-chested Sunbird
Pogoniulus bilineatus_Yellow-rumped Tinkerbird
Sylvietta virens_Green Crombec
Cecropis abyssinica_Lesser Striped Swallow
Ploceus nigerrimus_Vieillot's Weaver
Scopus umbretta_Hamerkop
Terpsiphone rufiventer_Black-headed Paradise-Flycatcher
Illadopsis fulvescens_Brown Illadopsis
Stelgidillas gracilirostris_Slender-billed Greenbul
Pachyphantes superciliosus_Compact Weaver
Bubalornis albirostris_White-billed Buffalo-Weaver
Sarothrura pulchra_White-spotted Flufftail
Camaroptera chloronota_Olive-green Camaroptera
Actophilornis africanus_African Jacana
Caprimulgus natalensis_Swamp Nightjar
Bias musicus_Black-and-white Shrike-flycatcher
Turdus pelios_African Thrush
Accipiter melanoleucus_Black Goshawk
Camaroptera brachyura_Green-backed Camaroptera
Cinnyris cupreus_Copper Sunbird
Phoenicopterus roseus_Greater Flamingo
Eurillas latirostris_Yellow-whiskered Greenbul
Ceryle rudis_Pied Kingfisher
Vidua macroura_Pin-tailed Whydah
Halcyon senegalensis_Woodland Kingfisher
Prinia subflava_Tawny-flanked Prinia
Criniger barbatus_Western Bearded-Greenbul
Chlorocichla simplex_Simple Greenbul
Kaupifalco monogrammicus_Lizard Buzzard
Saxicola torquatus_African Stonechat
Neocossyphus finschi_Finsch's Flycatcher-Thrush
Lophoceros fasciatus_African Pied Hornbill
Lophoceros nasutus_African Gray Hornbill
Phoeniconaias minor_Lesser Flamingo
Cyanomitra olivacea_Olive Sunbird
Elminia longicauda_African Blue Flycatcher
Cinnyris venustus_Variable Sunbird
Strix woodfordii_African Wood-Owl
Amblyospiza albifrons_Grosbeak Weaver
Macrosphenus kempi_Kemp's Longbill
Polyboroides typus_African Harrier-Hawk
Psittacula krameri_Rose-ringed Parakeet
Corythornis cristatus_Malachite Kingfisher
Quelea quelea_Red-billed Quelea
Treron calvus_African Green-Pigeon
Stephanoaetus coronatus_Crowned Eagle
Haliaeetus vocifer_African Fish-Eagle
Ardea melanocephala_Black-headed Heron
Cossypha niveicapilla_Snowy-crowned Robin-Chat
Lagonosticta rubricata_African Firefinch
Tchagra senegalus_Black-crowned Tchagra
Phylloscopus trochilus_Willow Warbler
Laniarius major_Tropical Boubou
Chloropicus fuscescens_Cardinal Woodpecker
Merops persicus_Blue-cheeked Bee-eater
Cinnyris pulchellus_Beautiful Sunbird
Anthus leucophrys_Plain-backed Pipit
Apalis sharpii_Sharpe's Apalis
Melaenornis edolioides_Northern Black-Flycatcher
Hirundo rustica_Barn Swallow
Prionops plumatus_White Helmetshrike
Turtur afer_Blue-spotted Wood-Dove
Guttera pucherani_Crested Guineafowl
Ploceus cucullatus_Village Weaver
Ardea alba_Great Egret
Chrysococcyx caprius_Dideric Cuckoo
Melocichla mentalis_Moustached Grass-Warbler
Otus senegalensis_African Scops-Owl
Ptilopsis leucotis_Northern White-faced Owl
Terpsiphone viridis_African Paradise-Flycatcher
Bubulcus ibis_Cattle Egret
Butorides striata_Striated Heron
Motacilla flava_Western Yellow Wagtail
Lanius humeralis_Northern Fiscal
Malaconotus blanchoti_Gray-headed Bushshrike
Merops apiaster_European Bee-eater
Actitis hypoleucos_Common Sandpiper
Ardea cinerea_Gray Heron
Accipiter badius_Shikra
Caprimulgus tristigma_Freckled Nightjar
Apus affinis_Little Swift
Cossypha albicapillus_White-crowned Robin-Chat
Platysteira cyanea_Brown-throated Wattle-eye
Merops pusillus_Little Bee-eater
Thalasseus sandvicensis_Sandwich Tern
Lophaetus occipitalis_Long-crested Eagle
Chrysococcyx klaas_Klaas's Cuckoo
Vidua chalybeata_Village Indigobird
Cisticola erythrops_Red-faced Cisticola
Egretta garzetta_Little Egret
Gelochelidon nilotica_Gull-billed Tern
Motacilla aguimp_African Pied Wagtail
Haematopus ostralegus_Eurasian Oystercatcher
Zapornia flavirostra_Black Crake
Tauraco macrorhynchus_Yellow-billed Turaco
Cinnyricinclus leucogaster_Violet-backed Starling
Cisticola marginatus_Winding Cisticola
Dryoscopus gambensis_Northern Puffback
Platysteira blissetti_Red-cheeked Wattle-eye
Halcyon chelicuti_Striped Kingfisher
Delichon urbicum_Common House-Martin
Milvus migrans_Black Kite
Ortygospiza atricollis_Quailfinch
Megaceryle maxima_Giant Kingfisher
Telophorus sulfureopectus_Sulphur-breasted Bushshrike
Cisticola lateralis_Whistling Cisticola
Buphagus africanus_Yellow-billed Oxpecker
Luscinia megarhynchos_Common Nightingale
Merops albicollis_White-throated Bee-eater
Oriolus auratus_African Golden Oriole
Acrocephalus scirpaceus_Eurasian Reed Warbler
Centropus monachus_Blue-headed Coucal
Ficedula hypoleuca_European Pied Flycatcher
Circus aeruginosus_Eurasian Marsh-Harrier
Sylvia borin_Garden Warbler
Phoenicurus phoenicurus_Common Redstart
Cecropis semirufa_Rufous-chested Swallow
Estrilda troglodytes_Black-rumped Waxbill
Hippolais polyglotta_Melodious Warbler
Zosterops senegalensis_Northern Yellow White-eye
Muscicapa striata_Spotted Flycatcher
Fraseria plumbea_Gray Tit-Flycatcher
Acrocephalus schoenobaenus_Sedge Warbler
Ploceus nigricollis_Black-necked Weaver
Cuculus gularis_African Cuckoo
Indicator minor_Lesser Honeyguide
Gymnobucco calvus_Naked-faced Barbet
Eurystomus glaucurus_Broad-billed Roller
Cyanomitra verticalis_Green-headed Sunbird
Apus apus_Common Swift
Thalasseus bengalensis_Lesser Crested Tern
Dendrocygna viduata_White-faced Whistling-Duck
Tringa nebularia_Common Greenshank
Macronyx croceus_Yellow-throated Longclaw
Calidris canutus_Red Knot
Euplectes afer_Yellow-crowned Bishop
Euplectes hordeaceus_Black-winged Bishop
Gallinago gallinago_Common Snipe
Circus macrourus_Pallid Harrier
Clamator levaillantii_Levaillant's Cuckoo
Euplectes franciscanus_Northern Red Bishop
Jynx torquilla_Eurasian Wryneck
Sylvietta brachyura_Northern Crombec
Bubo lacteus_Verreaux's Eagle-Owl
Tringa totanus_Common Redshank
Charadrius hiaticula_Common Ringed Plover
Chloropicus goertae_African Gray Woodpecker
Numida meleagris_Helmeted Guineafowl
Tringa stagnatilis_Marsh Sandpiper
Indicator indicator_Greater Honeyguide
Corythaeola cristata_Great Blue Turaco
Cisticola cantans_Singing Cisticola
Falco tinnunculus_Eurasian Kestrel
Sporopipes frontalis_Speckle-fronted Weaver
Estrilda melpoda_Orange-cheeked Waxbill
Acrocephalus arundinaceus_Great Reed Warbler
Arenaria interpres_Ruddy Turnstone
Upupa epops_Eurasian Hoopoe
Tringa glareola_Wood Sandpiper
Macheiramphus alcinus_Bat Hawk
Rallus caerulescens_African Rail
Lanius senator_Woodchat Shrike
Calidris pugnax_Ruff
Apus caffer_White-rumped Swift
Ptyonoprogne fuligula_Rock Martin
Platysteira concreta_Yellow-bellied Wattle-eye
Himantopus himantopus_Black-winged Stilt
Halcyon leucocephala_Gray-headed Kingfisher
Sterna dougallii_Roseate Tern
Uraeginthus bengalus_Red-cheeked Cordonbleu
Anthus trivialis_Tree Pipit
Glaucestrilda caerulescens_Lavender Waxbill
Rostratula benghalensis_Greater Painted-Snipe
Gallinula chloropus_Eurasian Moorhen
Sterna hirundo_Common Tern
Charadrius alexandrinus_Kentish Plover
Chlidonias leucopterus_White-winged Tern
Calidris alba_Sanderling
Riparia riparia_Bank Swallow
Saxicola rubetra_Whinchat
Ardeola ralloides_Squacco Heron
Pandion haliaetus_Osprey
Cisticola natalensis_Croaking Cisticola
Pluvialis squatarola_Black-bellied Plover
Anthus similis_Long-billed Pipit
Elanus caeruleus_Black-winged Kite
Calidris ferruginea_Curlew Sandpiper
Ixobrychus minutus_Little Bittern
Cisticola brachypterus_Siffling Cisticola
Ardea purpurea_Purple Heron
Nycticorax nycticorax_Black-crowned Night-Heron
Smithornis rufolateralis_Rufous-sided Broadbill
Anthus cervinus_Red-throated Pipit
Clamator glandarius_Great Spotted Cuckoo
Iduna pallida_Eastern Olivaceous Warbler
Tockus kempi_Western Red-billed Hornbill
Calidris minuta_Little Stint
Cercococcyx olivinus_Olive Long-tailed Cuckoo
Halcyon badia_Chocolate-backed Kingfisher
Glareola pratincola_Collared Pratincole
