Hemiprocne mystacea_Moustached Treeswift
Accipiter hiogaster_Variable Goshawk
Chalcophaps stephani_Stephan's Dove
Leptocoma aspasia_Black Sunbird
Rhyticeros plicatus_Blyth's Hornbill
Macropygia amboinensis_Amboyna Cuckoo-Dove
Ptilinopus rivoli_White-breasted Fruit-Dove
Rhipidura leucophrys_Willie-wagtail
Phylloscopus poliocephalus_Island Leaf Warbler
Geoffroyus geoffroyi_Red-cheeked Parrot
Anous minutus_Black Noddy
Tanysiptera galatea_Common Paradise-Kingfisher
Trichoglossus haematodus_Coconut Lorikeet
Reinwardtoena reinwardti_Great Cuckoo-Dove
Eclectus roratus_Eclectus Parrot
Rhipidura rufiventris_Northern Fantail
Ptilinopus viridis_Claret-breasted Fruit-Dove
Macropygia doreya_Sultan's Cuckoo-Dove
Syma torotoro_Yellow-billed Kingfisher
Cacatua galerita_Sulphur-crested Cockatoo
Gerygone chloronota_Green-backed Gerygone
Ptiloris magnificus_Magnificent Riflebird
Aviceda subcristata_Pacific Baza
Myiagra alecto_Shining Flycatcher
Aplonis metallica_Metallic Starling
Haematopus longirostris_Pied Oystercatcher
Microeca flavigaster_Lemon-bellied Flycatcher
Gerygone magnirostris_Large-billed Gerygone
Numenius minutus_Little Curlew
Dicrurus bracteatus_Spangled Drongo
Philemon buceroides_Helmeted Friarbird
Haliastur sphenurus_Whistling Kite
Lichmera indistincta_Brown Honeyeater
Megapodius freycinet_Dusky Scrubfowl
Eurystomus orientalis_Dollarbird
Gallinago hardwickii_Latham's Snipe
Cormobates placens_Papuan Treecreeper
Anas gracilis_Gray Teal
Todiramphus sanctus_Sacred Kingfisher
Egretta sacra_Pacific Reef-Heron
Thalasseus bergii_Great Crested Tern
Edolisoma tenuirostre_Common Cicadabird
Porphyrio melanotus_Australasian Swamphen
Gerygone levigaster_Mangrove Gerygone
Anhinga novaehollandiae_Australasian Darter
Myzomela obscura_Dusky Myzomela
Merops ornatus_Rainbow Bee-eater
Accipiter cirrocephalus_Collared Sparrowhawk
Cacomantis variolosus_Brush Cuckoo
Dacelo gaudichaud_Rufous-bellied Kookaburra
Hirundapus caudacutus_White-throated Needletail
Rhipidura atra_Black Fantail
Tachybaptus novaehollandiae_Australasian Grebe
Petrochelidon nigricans_Tree Martin
Cicinnurus magnificus_Magnificent Bird-of-Paradise
Probosciger aterrimus_Palm Cockatoo
Ptilinopus magnificus_Wompoo Fruit-Dove
Chrysococcyx lucidus_Shining Bronze-Cuckoo
Crateroscelis robusta_Mountain Mouse-Warbler
Pachycare flavogriseum_Goldenface
Amalocichla incerta_Lesser Ground-Robin
Conopophila albogularis_Rufous-banded Honeyeater
Ptilinopus superbus_Superb Fruit-Dove
Cacomantis castaneiventris_Chestnut-breasted Cuckoo
Calidris acuminata_Sharp-tailed Sandpiper
Sula sula_Red-footed Booby
Crateroscelis murina_Rusty Mouse-Warbler
Peneothello cyanus_Blue-gray Robin
Numenius madagascariensis_Far Eastern Curlew
Oriolus szalayi_Brown Oriole
Stercorarius pomarinus_Pomarine Jaeger
Aleadryas rufinucha_Rufous-naped Bellbird
Lorius lory_Black-capped Lory
Vanellus miles_Masked Lapwing
Heteromyias albispecularis_Ashy Robin
Corvus orru_Torresian Crow
Machaerirhynchus nigripectus_Black-breasted Boatbill
Malurus alboscapulatus_White-shouldered Fairywren
Myzomela rosenbergii_Red-collared Myzomela
Ninox connivens_Barking Owl
Charmosyna papou_Papuan Lorikeet
Ardenna pacifica_Wedge-tailed Shearwater
Drepanornis albertisi_Black-billed Sicklebill
Anous stolidus_Brown Noddy
