Larus dominicanus_Kelp Gull
Thalassarche melanophris_Black-browed Albatross
Stercorarius antarcticus_Brown Skua
Daption capense_Cape Petrel
Diomedea exulans_Wandering Albatross
Ardenna grisea_Sooty Shearwater
Sterna vittata_Antarctic Tern
Pygoscelis antarcticus_Chinstrap Penguin
Pygoscelis papua_Gentoo Penguin
Aptenodytes patagonicus_King Penguin
Anas georgica_Yellow-billed Pintail
Pygoscelis adeliae_Adelie Penguin
Ardenna tenuirostris_Short-tailed Shearwater
Stercorarius maccormicki_South Polar Skua
Pterodroma inexpectata_Mottled Petrel
Anas flavirostris_Yellow-billed Teal
