Zosterops japonicus_Warbling White-eye
Paroaria coronata_Red-crested Cardinal
Geopelia striata_Zebra Dove
Bubulcus ibis_Cattle Egret
Streptopelia chinensis_Spotted Dove
Acridotheres tristis_Common Myna
Copsychus malabaricus_White-rumped Shama
Pluvialis fulva_Pacific Golden-Plover
Gallus gallus_Red Junglefowl
Haemorhous mexicanus_House Finch
Cardinalis cardinalis_Northern Cardinal
Passer domesticus_House Sparrow
Lonchura punctulata_Scaly-breasted Munia
Psittacula krameri_Rose-ringed Parakeet
Nycticorax nycticorax_Black-crowned Night-Heron
Lonchura atricapilla_Chestnut Munia
Phaethon lepturus_White-tailed Tropicbird
Gallinula galeata_Common Gallinule
Anas wyvilliana_Hawaiian Duck
Garrulax canorus_Chinese Hwamei
Columba livia_Rock Pigeon
Branta sandvicensis_Hawaiian Goose
Mimus polyglottos_Northern Mockingbird
Horornis diphone_Japanese Bush Warbler
Fulica alai_Hawaiian Coot
Himantopus mexicanus_Black-necked Stilt
Sturnella neglecta_Western Meadowlark
Chasiempis sclateri_Kauai Elepaio
Tringa incana_Wandering Tattler
Padda oryzivora_Java Sparrow
Magumma parva_Anianiau
Phasianus colchicus_Ring-necked Pheasant
Amandava amandava_Red Avadavat
Loxops caeruleirostris_Akekee
Asio flammeus_Short-eared Owl
Estrilda astrild_Common Waxbill
Puffinus newelli_Newell's Shearwater
Arenaria interpres_Ruddy Turnstone
Euodice cantans_African Silverbill
Pterodroma sandwichensis_Hawaiian Petrel
Tyto alba_Barn Owl
Anous minutus_Black Noddy
Numenius phaeopus_Whimbrel
Ardenna grisea_Sooty Shearwater
Chlorodrepanis stejnegeri_Kauai Amakihi
