Vanellus chilensis_Southern Lapwing
Coragyps atratus_Black Vulture
Troglodytes aedon_House Wren
Pitangus sulphuratus_Great Kiskadee
Sicalis flaveola_Saffron Finch
Thraupis sayaca_Sayaca Tanager
Tyrannus melancholicus_Tropical Kingbird
Columbina talpacoti_Ruddy Ground Dove
Pygochelidon cyanoleuca_Blue-and-white Swallow
Coereba flaveola_Bananaquit
Patagioenas picazuro_Picazuro Pigeon
Zonotrichia capensis_Rufous-collared Sparrow
Turdus rufiventris_Rufous-bellied Thrush
Fluvicola nengeta_Masked Water-Tyrant
Caracara plancus_Crested Caracara
Turdus leucomelas_Pale-breasted Thrush
Myiozetetes similis_Social Flycatcher
Passer domesticus_House Sparrow
Thraupis palmarum_Palm Tanager
Furnarius rufus_Rufous Hornero
Megarynchus pitangua_Boat-billed Flycatcher
Psittacara leucophthalmus_White-eyed Parakeet
Eupetomena macroura_Swallow-tailed Hummingbird
Elaenia flavogaster_Yellow-bellied Elaenia
Sporophila caerulescens_Double-collared Seedeater
Tachyphonus coronatus_Ruby-crowned Tanager
Rupornis magnirostris_Roadside Hawk
Dacnis cayana_Blue Dacnis
Cyclarhis gujanensis_Rufous-browed Peppershrike
Crotophaga ani_Smooth-billed Ani
Todirostrum poliocephalum_Gray-headed Tody-Flycatcher
Milvago chimachima_Yellow-headed Caracara
Stelgidopteryx ruficollis_Southern Rough-winged Swallow
Volatinia jacarina_Blue-black Grassquit
Picumnus cirratus_White-barred Piculet
Chiroxiphia caudata_Swallow-tailed Manakin
Tolmomyias sulphurescens_Yellow-olive Flycatcher
Stilpnia cayana_Burnished-buff Tanager
Basileuterus culicivorus_Golden-crowned Warbler
Mimus saturninus_Chalk-browed Mockingbird
Myiodynastes maculatus_Streaked Flycatcher
Piaya cayana_Squirrel Cuckoo
Saltator similis_Green-winged Saltator
Camptostoma obsoletum_Southern Beardless-Tyrannulet
Thraupis ornata_Golden-chevroned Tanager
Penelope obscura_Dusky-legged Guan
Ardea alba_Great Egret
Thalurania glaucopis_Violet-capped Woodnymph
Sittasomus griseicapillus_Olivaceous Woodcreeper
Hirundinea ferruginea_Cliff Flycatcher
Progne chalybea_Gray-breasted Martin
Molothrus bonariensis_Shiny Cowbird
Nannopterum brasilianum_Neotropic Cormorant
Ramphocelus bresilius_Brazilian Tanager
Pyrrhura frontalis_Maroon-bellied Parakeet
Machetornis rixosa_Cattle Tyrant
Leptotila verreauxi_White-tipped Dove
Thamnophilus caerulescens_Variable Antshrike
Vireo chivi_Chivi Vireo
Aramides saracura_Slaty-breasted Wood-Rail
Myiarchus ferox_Short-crested Flycatcher
Tangara seledon_Green-headed Tanager
Synallaxis spixi_Spix's Spinetail
Brotogeris tirica_Plain Parakeet
Colaptes campestris_Campo Flicker
Euphonia chlorotica_Purple-throated Euphonia
Chaetura meridionalis_Sick's Swift
Columba livia_Rock Pigeon
Florisuga fusca_Black Jacobin
Turdus amaurochalinus_Creamy-bellied Thrush
Pionus maximiliani_Scaly-headed Parrot
Egretta thula_Snowy Egret
Euphonia violacea_Violaceous Euphonia
Cathartes aura_Turkey Vulture
Certhiaxis cinnamomeus_Yellow-chinned Spinetail
Colonia colonus_Long-tailed Tyrant
Pyriglena leucoptera_White-shouldered Fire-eye
Chlorostilbon lucidus_Glittering-bellied Emerald
Cacicus haemorrhous_Red-rumped Cacique
Psarocolius decumanus_Crested Oropendola
Forpus xanthopterygius_Cobalt-rumped Parrotlet
Sporophila lineola_Lined Seedeater
Trichothraupis melanops_Black-goggled Tanager
Estrilda astrild_Common Waxbill
Synallaxis ruficapilla_Rufous-capped Spinetail
Tyrannus savana_Fork-tailed Flycatcher
Ramphastos vitellinus_Channel-billed Toucan
Tangara desmaresti_Brassy-breasted Tanager
Euphonia pectoralis_Chestnut-bellied Euphonia
Xiphorhynchus fuscus_Lesser Woodcreeper
Crypturellus obsoletus_Brown Tinamou
Pachyramphus castaneus_Chestnut-crowned Becard
Furnarius figulus_Wing-banded Hornero
Bubulcus ibis_Cattle Egret
Trogon surrucura_Surucua Trogon
Guira guira_Guira Cuckoo
Leptopogon amaurocephalus_Sepia-capped Flycatcher
Chionomesa lactea_Sapphire-spangled Emerald
Cranioleuca pallida_Pallid Spinetail
Phaethornis pretrei_Planalto Hermit
Dysithamnus mentalis_Plain Antvireo
Patagioenas plumbea_Plumbeous Pigeon
Cyanocorax cristatellus_Curl-crested Jay
Butorides striata_Striated Heron
Chrysomus ruficapillus_Chestnut-capped Blackbird
Athene cunicularia_Burrowing Owl
Megaceryle torquata_Ringed Kingfisher
Leucochloris albicollis_White-throated Hummingbird
Gallinula galeata_Common Gallinule
Celeus flavescens_Blond-crested Woodpecker
Pachyramphus polychopterus_White-winged Becard
Herpsilochmus rufimarginatus_Rufous-margined Antwren
Phyllomyias fasciatus_Planalto Tyrannulet
Ilicura militaris_Pin-tailed Manakin
Tersina viridis_Swallow Tanager
Lathrotriccus euleri_Euler's Flycatcher
Hylophilus poicilotis_Rufous-crowned Greenlet
Lochmias nematura_Sharp-tailed Streamcreeper
Phacellodomus rufifrons_Rufous-fronted Thornbird
Turdus flavipes_Yellow-legged Thrush
Clytolaema rubricauda_Brazilian Ruby
Xenops rutilans_Streaked Xenops
Empidonomus varius_Variegated Flycatcher
Conirostrum speciosum_Chestnut-vented Conebill
Myiarchus swainsoni_Swainson's Flycatcher
Nycticorax nycticorax_Black-crowned Night-Heron
Manacus manacus_White-bearded Manakin
Larus dominicanus_Kelp Gull
Setophaga pitiayumi_Tropical Parula
Eupetomena cirrochloris_Sombre Hummingbird
Phaethornis eurynome_Scale-throated Hermit
Gubernetes yetapa_Streamer-tailed Tyrant
Gnorimopsar chopi_Chopi Blackbird
Dysithamnus stictothorax_Spot-breasted Antvireo
Trogon viridis_Green-backed Trogon
Spinus magellanicus_Hooded Siskin
Turdus albicollis_White-necked Thrush
Procnias nudicollis_Bare-throated Bellbird
Myiophobus fasciatus_Bran-colored Flycatcher
Phylloscartes ventralis_Mottle-cheeked Tyrannulet
Fregata magnificens_Magnificent Frigatebird
Geothlypis aequinoctialis_Masked Yellowthroat
Progne tapera_Brown-chested Martin
Habia rubica_Red-crowned Ant-Tanager
Attila rufus_Gray-hooded Attila
Automolus leucophthalmus_White-eyed Foliage-gleaner
Hemithraupis ruficapilla_Rufous-headed Tanager
Conopophaga lineata_Rufous Gnateater
Platyrinchus mystaceus_White-throated Spadebill
Pardirallus nigricans_Blackish Rail
Dendroma rufa_Buff-fronted Foliage-gleaner
Cariama cristata_Red-legged Seriema
Ammodramus humeralis_Grassland Sparrow
Jacana jacana_Wattled Jacana
Dryobates maculifrons_Yellow-eared Woodpecker
Legatus leucophaius_Piratic Flycatcher
Hemitriccus nidipendulus_Hangnest Tody-Tyrant
Myiothlypis leucoblephara_White-browed Warbler
Leptotila rufaxilla_Gray-fronted Dove
Geranoaetus albicaudatus_White-tailed Hawk
Tapera naevia_Striped Cuckoo
Amazonetta brasiliensis_Brazilian Teal
Cantorchilus longirostris_Long-billed Wren
Poecilotriccus plumbeiceps_Ochre-faced Tody-Flycatcher
Platalea ajaja_Roseate Spoonbill
Todirostrum cinereum_Common Tody-Flycatcher
Chlorophanes spiza_Green Honeycreeper
Ramphodon naevius_Saw-billed Hermit
Himantopus mexicanus_Black-necked Stilt
Tringa flavipes_Lesser Yellowlegs
Tangara cyanoventris_Gilt-edged Tanager
Primolius maracana_Blue-winged Macaw
Ramphastos toco_Toco Toucan
Dendrocincla turdina_Plain-winged Woodcreeper
Cissopis leverianus_Magpie Tanager
Pseudoleistes guirahuro_Yellow-rumped Marshbird
Drymophila ferruginea_Ferruginous Antbird
Lurocalis semitorquatus_Short-tailed Nighthawk
Myiornis auricularis_Eared Pygmy-Tyrant
Rhopias gularis_Star-throated Antwren
Ardea cocoi_Cocoi Heron
Schiffornis virescens_Greenish Schiffornis
Streptoprocne zonaris_White-collared Swift
Zenaida auriculata_Eared Dove
Tringa melanoleuca_Greater Yellowlegs
Conopophaga melanops_Black-cheeked Gnateater
Thamnophilus ambiguus_Sooretama Slaty-Antshrike
Serpophaga subcristata_White-crested Tyrannulet
Pachyramphus validus_Crested Becard
Buteogallus meridionalis_Savanna Hawk
Thamnophilus palliatus_Chestnut-backed Antshrike
Lepidocolaptes squamatus_Scaled Woodcreeper
Mionectes rufiventris_Gray-hooded Flycatcher
Calidris fuscicollis_White-rumped Sandpiper
Stephanoxis lalandi_Green-crowned Plovercrest
Thraupis cyanoptera_Azure-shouldered Tanager
Batara cinerea_Giant Antshrike
Chrysuronia versicolor_Versicolored Emerald
Selenidera maculirostris_Spot-billed Toucanet
Scytalopus speluncae_Mouse-colored Tapaculo
Saltator fuliginosus_Black-throated Grosbeak
Piculus aurulentus_White-browed Woodpecker
Elanoides forficatus_Swallow-tailed Kite
Patagioenas cayennensis_Pale-vented Pigeon
Sporophila nigricollis_Yellow-bellied Seedeater
Baryphthengus ruficapillus_Rufous-capped Motmot
Stephanophorus diadematus_Diademed Tanager
Anabazenops fuscus_White-collared Foliage-gleaner
Terenura maculata_Streak-capped Antwren
Ictinia plumbea_Plumbeous Kite
