Larus dominicanus_Kelp Gull
Thalassarche melanophris_Black-browed Albatross
Daption capense_Cape Petrel
Stercorarius antarcticus_Brown Skua
Sterna vittata_Antarctic Tern
Stercorarius maccormicki_South Polar Skua
Pygoscelis papua_Gentoo Penguin
Pygoscelis antarcticus_Chinstrap Penguin
Pygoscelis adeliae_Adelie Penguin
Diomedea exulans_Wandering Albatross
Ardenna tenuirostris_Short-tailed Shearwater
Pterodroma inexpectata_Mottled Petrel
Ardenna grisea_Sooty Shearwater
Aptenodytes patagonicus_King Penguin
