Pitangus sulphuratus_Great Kiskadee
Troglodytes aedon_House Wren
Caracara plancus_Crested Caracara
Vanellus chilensis_Southern Lapwing
Patagioenas picazuro_Picazuro Pigeon
Coragyps atratus_Black Vulture
Columbina talpacoti_Ruddy Ground Dove
Tyrannus melancholicus_Tropical Kingbird
Sicalis flaveola_Saffron Finch
Zonotrichia capensis_Rufous-collared Sparrow
Coereba flaveola_Bananaquit
Turdus rufiventris_Rufous-bellied Thrush
Turdus leucomelas_Pale-breasted Thrush
Stilpnia cayana_Burnished-buff Tanager
Cyclarhis gujanensis_Rufous-browed Peppershrike
Furnarius rufus_Rufous Hornero
Thraupis sayaca_Sayaca Tanager
Elaenia flavogaster_Yellow-bellied Elaenia
Crotophaga ani_Smooth-billed Ani
Rupornis magnirostris_Roadside Hawk
Eupetomena macroura_Swallow-tailed Hummingbird
Euphonia chlorotica_Purple-throated Euphonia
Volatinia jacarina_Blue-black Grassquit
Megarynchus pitangua_Boat-billed Flycatcher
Columbina squammata_Scaled Dove
Mimus saturninus_Chalk-browed Mockingbird
Piaya cayana_Squirrel Cuckoo
Passer domesticus_House Sparrow
Camptostoma obsoletum_Southern Beardless-Tyrannulet
Thraupis palmarum_Palm Tanager
Columbina picui_Picui Ground Dove
Formicivora melanogaster_Black-bellied Antwren
Tolmomyias flaviventris_Yellow-breasted Flycatcher
Pseudoseisura cristata_Caatinga Cacholote
Brotogeris chiriri_Yellow-chevroned Parakeet
Myrmorchilus strigilatus_Stripe-backed Antbird
Hemithraupis guira_Guira Tanager
Eupsittula cactorum_Cactus Parakeet
Thamnophilus pelzelni_Planalto Slaty-Antshrike
Myrmoderus ruficauda_Scalloped Antbird
Leptotila verreauxi_White-tipped Dove
Guira guira_Guira Cuckoo
Dacnis cayana_Blue Dacnis
Myiozetetes similis_Social Flycatcher
Eupsittula aurea_Peach-fronted Parakeet
Nothura boraquira_White-bellied Nothura
Molothrus bonariensis_Shiny Cowbird
Xolmis irupero_White Monjita
Chlorostilbon lucidus_Glittering-bellied Emerald
