Sula nebouxii_Blue-footed Booby
Setophaga petechia_Yellow Warbler
Pelecanus occidentalis_Brown Pelican
Fregata magnificens_Magnificent Frigatebird
Anous stolidus_Brown Noddy
Butorides striata_Striated Heron
Tringa incana_Wandering Tattler
Phoenicopterus ruber_American Flamingo
Crotophaga ani_Smooth-billed Ani
Numenius phaeopus_Whimbrel
Arenaria interpres_Ruddy Turnstone
Charadrius semipalmatus_Semipalmated Plover
Ardea herodias_Great Blue Heron
Haematopus palliatus_American Oystercatcher
Gallinula galeata_Common Gallinule
Himantopus mexicanus_Black-necked Stilt
Fregata minor_Great Frigatebird
Pterodroma phaeopygia_Galapagos Petrel
Bubulcus ibis_Cattle Egret
Coccyzus melacoryphus_Dark-billed Cuckoo
Calidris alba_Sanderling
Phalaropus lobatus_Red-necked Phalarope
Creagrus furcatus_Swallow-tailed Gull
Spatula discors_Blue-winged Teal
Nyctanassa violacea_Yellow-crowned Night-Heron
Hydrobates castro_Band-rumped Storm-Petrel
Pluvialis squatarola_Black-bellied Plover
Leucophaeus pipixcan_Franklin's Gull
Calidris minutilla_Least Sandpiper
Ardea alba_Great Egret
Phaethon aethereus_Red-billed Tropicbird
Leucophaeus atricilla_Laughing Gull
Calidris pusilla_Semipalmated Sandpiper
Phalaropus tricolor_Wilson's Phalarope
Thalasseus maximus_Royal Tern
Tringa flavipes_Lesser Yellowlegs
Tringa semipalmata_Willet
Actitis macularius_Spotted Sandpiper
Podilymbus podiceps_Pied-billed Grebe
Tyto alba_Barn Owl
Phalaropus fulicarius_Red Phalarope
Calidris melanotos_Pectoral Sandpiper
