Sula nebouxii_Blue-footed Booby
Setophaga petechia_Yellow Warbler
Pelecanus occidentalis_Brown Pelican
Anous stolidus_Brown Noddy
Butorides striata_Striated Heron
Fregata magnificens_Magnificent Frigatebird
Tringa incana_Wandering Tattler
Phoenicopterus ruber_American Flamingo
Numenius phaeopus_Whimbrel
Arenaria interpres_Ruddy Turnstone
Crotophaga ani_Smooth-billed Ani
Charadrius semipalmatus_Semipalmated Plover
Gallinula galeata_Common Gallinule
Haematopus palliatus_American Oystercatcher
Ardea herodias_Great Blue Heron
Himantopus mexicanus_Black-necked Stilt
Pterodroma phaeopygia_Galapagos Petrel
Bubulcus ibis_Cattle Egret
Calidris alba_Sanderling
Fregata minor_Great Frigatebird
Phalaropus lobatus_Red-necked Phalarope
Coccyzus melacoryphus_Dark-billed Cuckoo
Spatula discors_Blue-winged Teal
Pluvialis squatarola_Black-bellied Plover
Creagrus furcatus_Swallow-tailed Gull
Nyctanassa violacea_Yellow-crowned Night-Heron
Leucophaeus pipixcan_Franklin's Gull
Hydrobates castro_Band-rumped Storm-Petrel
Calidris minutilla_Least Sandpiper
Phaethon aethereus_Red-billed Tropicbird
Ardea alba_Great Egret
Leucophaeus atricilla_Laughing Gull
Calidris pusilla_Semipalmated Sandpiper
Tringa flavipes_Lesser Yellowlegs
Calidris melanotos_Pectoral Sandpiper
Phalaropus tricolor_Wilson's Phalarope
Thalasseus maximus_Royal Tern
Actitis macularius_Spotted Sandpiper
Tringa semipalmata_Willet
Phalaropus fulicarius_Red Phalarope
Podilymbus podiceps_Pied-billed Grebe
Tyto alba_Barn Owl
Tringa melanoleuca_Greater Yellowlegs
Falco peregrinus_Peregrine Falcon
