Larus dominicanus_Kelp Gull
Stercorarius antarcticus_Brown Skua
Thalassarche melanophris_Black-browed Albatross
Aptenodytes patagonicus_King Penguin
Daption capense_Cape Petrel
Sterna vittata_Antarctic Tern
Pygoscelis papua_Gentoo Penguin
Diomedea exulans_Wandering Albatross
Pygoscelis antarcticus_Chinstrap Penguin
Anas georgica_Yellow-billed Pintail
Ardenna grisea_Sooty Shearwater
Pygoscelis adeliae_Adelie Penguin
Anas flavirostris_Yellow-billed Teal
Stercorarius maccormicki_South Polar Skua
Pterodroma inexpectata_Mottled Petrel
Ardenna tenuirostris_Short-tailed Shearwater
