Pitangus sulphuratus_Great Kiskadee
Troglodytes aedon_House Wren
Coragyps atratus_Black Vulture
Vanellus chilensis_Southern Lapwing
Columbina talpacoti_Ruddy Ground Dove
Tyrannus melancholicus_Tropical Kingbird
Caracara plancus_Crested Caracara
Turdus leucomelas_Pale-breasted Thrush
Eupsittula cactorum_Cactus Parakeet
Patagioenas picazuro_Picazuro Pigeon
Pseudoseisura cristata_Caatinga Cacholote
Thraupis sayaca_Sayaca Tanager
Zonotrichia capensis_Rufous-collared Sparrow
Turdus rufiventris_Rufous-bellied Thrush
Coereba flaveola_Bananaquit
Nothura boraquira_White-bellied Nothura
Sicalis flaveola_Saffron Finch
Stilpnia cayana_Burnished-buff Tanager
Euphonia chlorotica_Purple-throated Euphonia
Columbina squammata_Scaled Dove
Cyclarhis gujanensis_Rufous-browed Peppershrike
Myiozetetes similis_Social Flycatcher
Rupornis magnirostris_Roadside Hawk
Columbina picui_Picui Ground Dove
Crotophaga ani_Smooth-billed Ani
Poecilotriccus fumifrons_Smoky-fronted Tody-Flycatcher
Eupetomena macroura_Swallow-tailed Hummingbird
Myrmorchilus strigilatus_Stripe-backed Antbird
Mimus saturninus_Chalk-browed Mockingbird
Passer domesticus_House Sparrow
Cathartes aura_Turkey Vulture
Guira guira_Guira Cuckoo
Polioptila plumbea_Tropical Gnatcatcher
Thamnophilus pelzelni_Planalto Slaty-Antshrike
Thraupis palmarum_Palm Tanager
Elaenia flavogaster_Yellow-bellied Elaenia
Volatinia jacarina_Blue-black Grassquit
Tolmomyias flaviventris_Yellow-breasted Flycatcher
Xolmis irupero_White Monjita
Chlorostilbon lucidus_Glittering-bellied Emerald
Todirostrum cinereum_Common Tody-Flycatcher
Estrilda astrild_Common Waxbill
Paroaria dominicana_Red-cowled Cardinal
Cantorchilus longirostris_Long-billed Wren
Formicivora melanogaster_Black-bellied Antwren
Nystalus maculatus_Spot-backed Puffbird
Herpsilochmus atricapillus_Black-capped Antwren
Arremon taciturnus_Pectoral Sparrow
Cyanocorax cyanopogon_White-naped Jay
Compsothraupis loricata_Scarlet-throated Tanager
Progne chalybea_Gray-breasted Martin
Megarynchus pitangua_Boat-billed Flycatcher
Fluvicola nengeta_Masked Water-Tyrant
Forpus xanthopterygius_Cobalt-rumped Parrotlet
Piaya cayana_Squirrel Cuckoo
Pheugopedius genibarbis_Moustached Wren
Jacana jacana_Wattled Jacana
Aratinga jandaya_Jandaya Parakeet
Sporophila albogularis_White-throated Seedeater
Synallaxis hellmayri_Red-shouldered Spinetail
Ardea alba_Great Egret
Camptostoma obsoletum_Southern Beardless-Tyrannulet
Certhiaxis cinnamomeus_Yellow-chinned Spinetail
Bubulcus ibis_Cattle Egret
Leptotila verreauxi_White-tipped Dove
Tachycineta albiventer_White-winged Swallow
Hylophilus amaurocephalus_Gray-eyed Greenlet
Icterus pyrrhopterus_Variable Oriole
Milvago chimachima_Yellow-headed Caracara
Colaptes melanochloros_Green-barred Woodpecker
Egretta thula_Snowy Egret
Dryobates passerinus_Little Woodpecker
Conopophaga cearae_Ceara Gnateater
Dacnis cayana_Blue Dacnis
Taraba major_Great Antshrike
Tachornis squamata_Fork-tailed Palm-Swift
Furnarius leucopus_Pale-legged Hornero
Mimus gilvus_Tropical Mockingbird
Leistes superciliaris_White-browed Meadowlark
Butorides striata_Striated Heron
Dendroplex picus_Straight-billed Woodcreeper
Molothrus bonariensis_Shiny Cowbird
Coryphospingus pileatus_Pileated Finch
Machetornis rixosa_Cattle Tyrant
Trogon curucui_Blue-crowned Trogon
Icterus jamacaii_Campo Troupial
Synallaxis frontalis_Sooty-fronted Spinetail
Zenaida auriculata_Eared Dove
Megaceryle torquata_Ringed Kingfisher
Chionomesa fimbriata_Glittering-throated Emerald
Furnarius figulus_Wing-banded Hornero
Chiroxiphia pareola_Blue-backed Manakin
Fluvicola albiventer_Black-backed Water-Tyrant
Myiothlypis flaveola_Flavescent Warbler
Picumnus limae_Ochraceous Piculet
Formicivora grisea_White-fringed Antwren
Vireo chivi_Chivi Vireo
Stigmatura napensis_Lesser Wagtail-Tyrant
Ortalis araucuan_East Brazilian Chachalaca
Phacellodomus rufifrons_Rufous-fronted Thornbird
Sakesphorus cristatus_Silvery-cheeked Antshrike
Conirostrum bicolor_Bicolored Conebill
Arundinicola leucocephala_White-headed Marsh Tyrant
Sicalis luteola_Grassland Yellow-Finch
Chrysomus ruficapillus_Chestnut-capped Blackbird
Myiarchus ferox_Short-crested Flycatcher
Euscarthmus meloryphus_Rufous-crowned Pygmy-Tyrant
Neopelma pallescens_Pale-bellied Tyrant-Manakin
Lepidocolaptes angustirostris_Narrow-billed Woodcreeper
Crypturellus parvirostris_Small-billed Tinamou
Porphyrio martinica_Purple Gallinule
Thamnophilus doliatus_Barred Antshrike
Glaucidium brasilianum_Ferruginous Pygmy-Owl
Setophaga pitiayumi_Tropical Parula
Progne tapera_Brown-chested Martin
Galbula ruficauda_Rufous-tailed Jacamar
Fregata magnificens_Magnificent Frigatebird
Phaethornis pretrei_Planalto Hermit
Crypturellus tataupa_Tataupa Tinamou
Myiarchus tyrannulus_Brown-crested Flycatcher
Aramus guarauna_Limpkin
Amazonetta brasiliensis_Brazilian Teal
Tachyphonus rufus_White-lined Tanager
Gallinula galeata_Common Gallinule
Chloroceryle americana_Green Kingfisher
Anthus lutescens_Yellowish Pipit
Rostrhamus sociabilis_Snail Kite
Hemitriccus margaritaceiventer_Pearly-vented Tody-Tyrant
Dendrocygna viduata_White-faced Whistling-Duck
Thamnophilus torquatus_Rufous-winged Antshrike
Nannopterum brasilianum_Neotropic Cormorant
Herpsilochmus sellowi_Caatinga Antwren
Chlorestes notata_Blue-chinned Sapphire
Empidonomus varius_Variegated Flycatcher
Ammodramus humeralis_Grassland Sparrow
Podilymbus podiceps_Pied-billed Grebe
Tapera naevia_Striped Cuckoo
Serpophaga subcristata_White-crested Tyrannulet
Synallaxis scutata_Ochre-cheeked Spinetail
Turdus amaurochalinus_Creamy-bellied Thrush
Elaenia spectabilis_Large Elaenia
Basileuterus culicivorus_Golden-crowned Warbler
Suiriri suiriri_Suiriri Flycatcher
Megascops choliba_Tropical Screech-Owl
Chloroceryle amazona_Amazon Kingfisher
Ramphocelus bresilius_Brazilian Tanager
Melanerpes candidus_White Woodpecker
Aramides cajaneus_Gray-cowled Wood-Rail
Tigrisoma lineatum_Rufescent Tiger-Heron
Euphonia violacea_Violaceous Euphonia
Phaeomyias murina_Mouse-colored Tyrannulet
Chrysolampis mosquitus_Ruby-topaz Hummingbird
Columbina minuta_Plain-breasted Ground Dove
Charadrius collaris_Collared Plover
Sporophila bouvreuil_Copper Seedeater
Myiophobus fasciatus_Bran-colored Flycatcher
Herpetotheres cachinnans_Laughing Falcon
Pachyramphus polychopterus_White-winged Becard
Buteo nitidus_Gray-lined Hawk
Polytmus guainumbi_White-tailed Goldenthroat
Celeus ochraceus_Ochre-backed Woodpecker
Tachybaptus dominicus_Least Grebe
Nyctidromus albicollis_Common Pauraque
Sittasomus griseicapillus_Olivaceous Woodcreeper
Pachyramphus validus_Crested Becard
Nyctanassa violacea_Yellow-crowned Night-Heron
Anthracothorax nigricollis_Black-throated Mango
