Zosterops japonicus_Warbling White-eye
Paroaria coronata_Red-crested Cardinal
Geopelia striata_Zebra Dove
Bubulcus ibis_Cattle Egret
Acridotheres tristis_Common Myna
Copsychus malabaricus_White-rumped Shama
Streptopelia chinensis_Spotted Dove
Haemorhous mexicanus_House Finch
Pluvialis fulva_Pacific Golden-Plover
Cardinalis cardinalis_Northern Cardinal
Gallus gallus_Red Junglefowl
Passer domesticus_House Sparrow
Lonchura punctulata_Scaly-breasted Munia
Lonchura atricapilla_Chestnut Munia
Psittacula krameri_Rose-ringed Parakeet
Nycticorax nycticorax_Black-crowned Night-Heron
Gallinula galeata_Common Gallinule
Phaethon lepturus_White-tailed Tropicbird
Horornis diphone_Japanese Bush Warbler
Columba livia_Rock Pigeon
Anas wyvilliana_Hawaiian Duck
Garrulax canorus_Chinese Hwamei
Fulica alai_Hawaiian Coot
Himantopus mexicanus_Black-necked Stilt
Branta sandvicensis_Hawaiian Goose
Mimus polyglottos_Northern Mockingbird
Sturnella neglecta_Western Meadowlark
Chasiempis sclateri_Kauai Elepaio
Padda oryzivora_Java Sparrow
Phasianus colchicus_Ring-necked Pheasant
Amandava amandava_Red Avadavat
Tringa incana_Wandering Tattler
Magumma parva_Anianiau
Loxops caeruleirostris_Akekee
Estrilda astrild_Common Waxbill
Puffinus newelli_Newell's Shearwater
Euodice cantans_African Silverbill
Asio flammeus_Short-eared Owl
Arenaria interpres_Ruddy Turnstone
Pterodroma sandwichensis_Hawaiian Petrel
Anous minutus_Black Noddy
Ortygornis pondicerianus_Gray Francolin
Alauda arvensis_Eurasian Skylark
Francolinus francolinus_Black Francolin
Tyto alba_Barn Owl
Leiothrix lutea_Red-billed Leiothrix
Agapornis roseicollis_Rosy-faced Lovebird
Chlorodrepanis stejnegeri_Kauai Amakihi
Ardenna pacifica_Wedge-tailed Shearwater
