Pycnonotus barbatus_Common Bulbul
Crinifer piscator_Western Plantain-eater
Hypergerus atriceps_Oriole Warbler
Hedydipna platura_Pygmy Sunbird
Turdoides reinwardtii_Blackcap Babbler
Illadopsis cleaveri_Blackcap Illadopsis
Gymnobucco calvus_Naked-faced Barbet
Spermophaga haematina_Western Bluebill
Emberiza cabanisi_Cabanis's Bunting
Streptopelia semitorquata_Red-eyed Dove
Tauraco persa_Guinea Turaco
Tauraco macrorhynchus_Yellow-billed Turaco
Bostrychia hagedash_Hadada Ibis
Cinnyris coccinigastrus_Splendid Sunbird
Thescelocichla leucopleura_Swamp Greenbul
Turtur brehmeri_Blue-headed Wood-Dove
Smithornis rufolateralis_Rufous-sided Broadbill
Malimbus nitens_Blue-billed Malimbe
Dicrurus atripennis_Shining Drongo
Sylvietta virens_Green Crombec
Corythaeola cristata_Great Blue Turaco
Oriolus nigripennis_Black-winged Oriole
Pogoniulus scolopaceus_Speckled Tinkerbird
Bias musicus_Black-and-white Shrike-flycatcher
Eurillas virens_Little Greenbul
Caprimulgus climacurus_Long-tailed Nightjar
Bycanistes fistulator_Piping Hornbill
Buccanodon duchaillui_Yellow-spotted Barbet
Pogoniulus subsulphureus_Yellow-throated Tinkerbird
Cinnyris venustus_Variable Sunbird
Psittacus erithacus_Gray Parrot
Urotriorchis macrourus_Long-tailed Hawk
Sarothrura pulchra_White-spotted Flufftail
Dryotriorchis spectabilis_Congo Serpent-Eagle
Hylia prasina_Green Hylia
Stiphrornis erythrothorax_Forest Robin
Nicator chloris_Western Nicator
Colius striatus_Speckled Mousebird
Camaroptera superciliaris_Yellow-browed Camaroptera
Lophoceros camurus_Red-billed Dwarf Hornbill
Camaroptera chloronota_Olive-green Camaroptera
Cisticola anonymus_Chattering Cisticola
Spermestes cucullata_Bronze Mannikin
Pogoniulus bilineatus_Yellow-rumped Tinkerbird
Lamprotornis splendidus_Splendid Starling
Trochocercus nitens_Blue-headed Crested-Flycatcher
Terpsiphone rufiventer_Black-headed Paradise-Flycatcher
Ploceus cucullatus_Village Weaver
Centropus leucogaster_Black-throated Coucal
Halcyon badia_Chocolate-backed Kingfisher
Corvus albus_Pied Crow
Macrosphenus concolor_Gray Longbill
Illadopsis fulvescens_Brown Illadopsis
Chrysococcyx cupreus_African Emerald Cuckoo
Baeopogon indicator_Honeyguide Greenbul
Cypsiurus parvus_African Palm-Swift
Milvus migrans_Black Kite
Vidua macroura_Pin-tailed Whydah
Streptopelia senegalensis_Laughing Dove
Anous stolidus_Brown Noddy
Chlorocichla simplex_Simple Greenbul
Apus affinis_Little Swift
Ceuthmochares aereus_Blue Malkoha
Ixonotus guttatus_Spotted Greenbul
Turtur tympanistria_Tambourine Dove
Cinnyris chloropygius_Olive-bellied Sunbird
Corythornis cristatus_Malachite Kingfisher
Eurillas curvirostris_Plain Greenbul
Eurillas latirostris_Yellow-whiskered Greenbul
Actitis hypoleucos_Common Sandpiper
Fraseria griseigularis_Gray-throated Tit-Flycatcher
Butorides striata_Striated Heron
Egretta gularis_Western Reef-Heron
Trachyphonus purpuratus_Yellow-billed Barbet
Oriolus brachyrynchus_Western Black-headed Oriole
Ploceus nigerrimus_Vieillot's Weaver
Bleda notatus_Lesser Bristlebill
Halcyon malimbica_Blue-breasted Kingfisher
Treron calvus_African Green-Pigeon
Cyanomitra olivacea_Olive Sunbird
Lophoceros fasciatus_African Pied Hornbill
Motacilla aguimp_African Pied Wagtail
Crithagra mozambica_Yellow-fronted Canary
Cossypha cyanocampter_Blue-shouldered Robin-Chat
Columba larvata_Lemon Dove
Passer griseus_Northern Gray-headed Sparrow
Turdus pelios_African Thrush
Estrilda nonnula_Black-crowned Waxbill
Estrilda astrild_Common Waxbill
Tringa nebularia_Common Greenshank
Cyanomitra cyanolaema_Blue-throated Brown Sunbird
Chamaetylas poliocephala_Brown-chested Alethe
Fraseria caerulescens_Ashy Flycatcher
Neocossyphus poensis_White-tailed Ant-Thrush
Ardea cinerea_Gray Heron
Cuculus solitarius_Red-chested Cuckoo
Nigrita canicapillus_Gray-headed Nigrita
Ploceus nigricollis_Black-necked Weaver
Lybius bidentatus_Double-toothed Barbet
Halcyon senegalensis_Woodland Kingfisher
Hedydipna collaris_Collared Sunbird
Kaupifalco monogrammicus_Lizard Buzzard
Fraseria ocreata_African Forest-Flycatcher
Euplectes hordeaceus_Black-winged Bishop
Apaloderma narina_Narina Trogon
Camaroptera brachyura_Green-backed Camaroptera
Chrysococcyx caprius_Dideric Cuckoo
Apus apus_Common Swift
Illadopsis rufipennis_Pale-breasted Illadopsis
Cecropis abyssinica_Lesser Striped Swallow
Chrysococcyx klaas_Klaas's Cuckoo
Gallinula chloropus_Eurasian Moorhen
Centropus senegalensis_Senegal Coucal
Ceratogymna atrata_Black-casqued Hornbill
Macheiramphus alcinus_Bat Hawk
Eurillas ansorgei_Ansorge's Greenbul
Stelgidillas gracilirostris_Slender-billed Greenbul
Bleda syndactylus_Red-tailed Bristlebill
Bubulcus ibis_Cattle Egret
Tyto alba_Barn Owl
Polyboroides typus_African Harrier-Hawk
Pogoniulus atroflavus_Red-rumped Tinkerbird
Anous minutus_Black Noddy
Phylloscopus trochilus_Willow Warbler
Elminia longicauda_African Blue Flycatcher
Tricholaema hirsuta_Hairy-breasted Barbet
Strix woodfordii_African Wood-Owl
Ardea melanocephala_Black-headed Heron
Ceryle rudis_Pied Kingfisher
Alethe castanea_Fire-crested Alethe
Cercococcyx olivinus_Olive Long-tailed Cuckoo
Cyanomitra verticalis_Green-headed Sunbird
Turtur afer_Blue-spotted Wood-Dove
Ardea intermedia_Intermediate Egret
Platysteira castanea_Chestnut Wattle-eye
Cercococcyx mechowi_Dusky Long-tailed Cuckoo
Platysteira cyanea_Brown-throated Wattle-eye
Melaniparus funereus_Dusky Tit
Motacilla flava_Western Yellow Wagtail
Scopus umbretta_Hamerkop
Horizocerus albocristatus_White-crested Hornbill
Chloropicus fuscescens_Cardinal Woodpecker
Centropus monachus_Blue-headed Coucal
Lophaetus occipitalis_Long-crested Eagle
Megaceryle maxima_Giant Kingfisher
Apalis rufogularis_Buff-throated Apalis
Tachybaptus ruficollis_Little Grebe
Haliaeetus vocifer_African Fish-Eagle
Neocossyphus fraseri_Rufous Flycatcher-Thrush
Columba unicincta_Afep Pigeon
Cecropis semirufa_Rufous-chested Swallow
Cinnyris reichenowi_Northern Double-collared Sunbird
Accipiter melanoleucus_Black Goshawk
Estrilda melpoda_Orange-cheeked Waxbill
Columba iriditorques_Bronze-naped Pigeon
Ardeola ralloides_Squacco Heron
Ardea alba_Great Egret
Onychoprion fuscatus_Sooty Tern
Elanus caeruleus_Black-winged Kite
Egretta garzetta_Little Egret
Terpsiphone viridis_African Paradise-Flycatcher
Actophilornis africanus_African Jacana
Phylloscopus sibilatrix_Wood Warbler
Zapornia flavirostra_Black Crake
Eurystomus glaucurus_Broad-billed Roller
Ardea purpurea_Purple Heron
Rostratula benghalensis_Greater Painted-Snipe
Prinia bairdii_Banded Prinia
Circus aeruginosus_Eurasian Marsh-Harrier
Stephanoaetus coronatus_Crowned Eagle
Tringa glareola_Wood Sandpiper
Psalidoprocne pristoptera_Black Sawwing
Numenius phaeopus_Whimbrel
Caprimulgus tristigma_Freckled Nightjar
Ploceus bicolor_Forest Weaver
Merops albicollis_White-throated Bee-eater
Hirundo smithii_Wire-tailed Swallow
Merops variegatus_Blue-breasted Bee-eater
Cuculus clamosus_Black Cuckoo
Clamator levaillantii_Levaillant's Cuckoo
Gallinago gallinago_Common Snipe
Charadrius dubius_Little Ringed Plover
Campephaga quiscalina_Purple-throated Cuckooshrike
Hirundo rustica_Barn Swallow
Cisticola erythrops_Red-faced Cisticola
Tchagra australis_Brown-crowned Tchagra
Apalis cinerea_Gray Apalis
Chlidonias niger_Black Tern
Tringa ochropus_Green Sandpiper
Platysteira concreta_Yellow-bellied Wattle-eye
Ixobrychus minutus_Little Bittern
Falco tinnunculus_Eurasian Kestrel
Sylvia borin_Garden Warbler
Gallinago media_Great Snipe
Calidris minuta_Little Stint
Himantopus himantopus_Black-winged Stilt
Pternistis bicalcaratus_Double-spurred Francolin
Acrocephalus rufescens_Greater Swamp Warbler
Campethera cailliautii_Green-backed Woodpecker
Delichon urbicum_Common House-Martin
Cuculus canorus_Common Cuckoo
Bycanistes albotibialis_White-thighed Hornbill
Pternistis squamatus_Scaly Francolin
Atimastillas flavicollis_Yellow-throated Greenbul
Turdoides plebejus_Brown Babbler
Laniarius luehderi_Lühder's Bushshrike
Fraseria plumbea_Gray Tit-Flycatcher
Motacilla clara_Mountain Wagtail
Pandion haliaetus_Osprey
Cecropis daurica_Red-rumped Swallow
Melaenornis edolioides_Northern Black-Flycatcher
Falco subbuteo_Eurasian Hobby
Prinia subflava_Tawny-flanked Prinia
Criniger chloronotus_Eastern Bearded-Greenbul
Merops apiaster_European Bee-eater
Pernis apivorus_European Honey-buzzard
Caprimulgus nigriscapularis_Black-shouldered Nightjar
Sterna hirundo_Common Tern
Falco peregrinus_Peregrine Falcon
Clamator jacobinus_Pied Cuckoo
Cisticola juncidis_Zitting Cisticola
Macrosphenus flavicans_Yellow Longbill
Anthus trivialis_Tree Pipit
Amblyospiza albifrons_Grosbeak Weaver
Cisticola lateralis_Whistling Cisticola
Anthus leucophrys_Plain-backed Pipit
Bycanistes subcylindricus_Black-and-white-casqued Hornbill
Macronyx croceus_Yellow-throated Longclaw
Muscicapa striata_Spotted Flycatcher
Saxicola rubetra_Whinchat
Lanius senator_Woodchat Shrike
Illadopsis puveli_Puvel's Illadopsis
Ploceus ocularis_Spectacled Weaver
Falco vespertinus_Red-footed Falcon
Arenaria interpres_Ruddy Turnstone
Cossypha niveicapilla_Snowy-crowned Robin-Chat
Ficedula hypoleuca_European Pied Flycatcher
Euplectes capensis_Yellow Bishop
Saxicola torquatus_African Stonechat
Acrocephalus baeticatus_African Reed Warbler
Apalis jacksoni_Black-throated Apalis
Calidris ferruginea_Curlew Sandpiper
Tringa stagnatilis_Marsh Sandpiper
Phylloscopus bonelli_Western Bonelli's Warbler
Mirafra rufocinnamomea_Flappet Lark
Cuculus gularis_African Cuckoo
Lybius vieilloti_Vieillot's Barbet
Eremomela pusilla_Senegal Eremomela
Acrocephalus arundinaceus_Great Reed Warbler
Merops pusillus_Little Bee-eater
Chloropicus goertae_African Gray Woodpecker
Porphyrio madagascariensis_African Swamphen
