Larus dominicanus_Kelp Gull
Thalassarche melanophris_Black-browed Albatross
Stercorarius antarcticus_Brown Skua
Daption capense_Cape Petrel
Diomedea exulans_Wandering Albatross
Ardenna grisea_Sooty Shearwater
Sterna vittata_Antarctic Tern
Pygoscelis papua_Gentoo Penguin
Stercorarius maccormicki_South Polar Skua
Ardenna tenuirostris_Short-tailed Shearwater
Pygoscelis antarcticus_Chinstrap Penguin
Pterodroma inexpectata_Mottled Petrel
Pygoscelis adeliae_Adelie Penguin
Sterna paradisaea_Arctic Tern
