Vanellus chilensis_Southern Lapwing
Cathartes aura_Turkey Vulture
Coragyps atratus_Black Vulture
Turdus falcklandii_Austral Thrush
Milvago chimango_Chimango Caracara
Larus dominicanus_Kelp Gull
Tachycineta leucopyga_Chilean Swallow
Chroicocephalus maculipennis_Brown-hooded Gull
Nannopterum brasilianum_Neotropic Cormorant
Sephanoides sephaniodes_Green-backed Firecrown
Numenius phaeopus_Whimbrel
Troglodytes aedon_House Wren
Anas georgica_Yellow-billed Pintail
Thalassarche melanophris_Black-browed Albatross
Ardea alba_Great Egret
Spinus barbatus_Black-chinned Siskin
Egretta thula_Snowy Egret
Sicalis luteola_Grassland Yellow-Finch
Diuca diuca_Diuca Finch
Curaeus curaeus_Austral Blackbird
Cygnus melancoryphus_Black-necked Swan
Scelorchilus rubecula_Chucao Tapaculo
Pyrope pyrope_Fire-eyed Diucon
Anas flavirostris_Yellow-billed Teal
Leucophaeus pipixcan_Franklin's Gull
Sterna hirundinacea_South American Tern
Coscoroba coscoroba_Coscoroba Swan
Ardenna creatopus_Pink-footed Shearwater
Passer domesticus_House Sparrow
Leistes loyca_Long-tailed Meadowlark
Patagioenas araucana_Chilean Pigeon
Sylviorthorhynchus desmursii_Des Murs's Wiretail
Himantopus mexicanus_Black-necked Stilt
Theristicus melanopis_Black-faced Ibis
Colorhamphus parvirostris_Patagonian Tyrant
Anairetes parulus_Tufted Tit-Tyrant
Nycticorax nycticorax_Black-crowned Night-Heron
Cinclodes patagonicus_Dark-bellied Cinclodes
Tringa flavipes_Lesser Yellowlegs
Cistothorus platensis_Grass Wren
Charadrius modestus_Rufous-chested Dotterel
Phrygilus patagonicus_Patagonian Sierra Finch
Ardenna grisea_Sooty Shearwater
Spheniscus magellanicus_Magellanic Penguin
Elaenia albiceps_White-crested Elaenia
Mareca sibilatrix_Chiloe Wigeon
Pterodroma externa_Juan Fernandez Petrel
Agelasticus thilius_Yellow-winged Blackbird
Anthus correndera_Correndera Pipit
Ardea cocoi_Cocoi Heron
Zonotrichia capensis_Rufous-collared Sparrow
Gallinago magellanica_Magellanic Snipe
Pardirallus sanguinolentus_Plumbeous Rail
Scytalopus magellanicus_Magellanic Tapaculo
Spatula cyanoptera_Cinnamon Teal
Pteroptochos tarnii_Black-throated Huet-huet
Elanus leucurus_White-tailed Kite
Glaucidium nana_Austral Pygmy-Owl
Bubulcus ibis_Cattle Egret
Tringa melanoleuca_Greater Yellowlegs
Spatula platalea_Red Shoveler
Colaptes pitius_Chilean Flicker
Fulica armillata_Red-gartered Coot
Diomedea exulans_Wandering Albatross
Podiceps occipitalis_Silvery Grebe
Falco sparverius_American Kestrel
Leucophaeus scoresbii_Dolphin Gull
Enicognathus leptorhynchus_Slender-billed Parakeet
Podiceps major_Great Grebe
Dryobates lignarius_Striped Woodpecker
Phytotoma rara_Rufous-tailed Plantcutter
Strix rufipes_Rufous-legged Owl
Molothrus bonariensis_Shiny Cowbird
Asio flammeus_Short-eared Owl
Hymenops perspicillatus_Spectacled Tyrant
Eugralla paradoxa_Ochre-flanked Tapaculo
Calidris canutus_Red Knot
Tachuris rubrigastra_Many-colored Rush Tyrant
Thalasseus elegans_Elegant Tern
Campephilus magellanicus_Magellanic Woodpecker
Aphrastura spinicauda_Thorn-tailed Rayadito
Haematopus palliatus_American Oystercatcher
Haematopus ater_Blackish Oystercatcher
Megaceryle torquata_Ringed Kingfisher
Geositta cunicularia_Common Miner
Tyto alba_Barn Owl
Daption capense_Cape Petrel
Leptasthenura aegithaloides_Plain-mantled Tit-Spinetail
Charadrius falklandicus_Two-banded Plover
Fulica rufifrons_Red-fronted Coot
Sterna trudeaui_Snowy-crowned Tern
Phleocryptes melanops_Wren-like Rushbird
Accipiter bicolor_Bicolored Hawk
Mimus thenca_Chilean Mockingbird
Geranoaetus polyosoma_Variable Hawk
Calidris bairdii_Baird's Sandpiper
Phalaropus fulicarius_Red Phalarope
Geositta rufipennis_Rufous-banded Miner
Zenaida auriculata_Eared Dove
Melanodera xanthogramma_Yellow-bridled Finch
Calidris virgata_Surfbird
Limosa haemastica_Hudsonian Godwit
Cinclodes oustaleti_Gray-flanked Cinclodes
Plegadis chihi_White-faced Ibis
Anthus hellmayri_Hellmayr's Pipit
Falco femoralis_Aplomado Falcon
Callipepla californica_California Quail
Cinclodes fuscus_Buff-winged Cinclodes
Caracara plancus_Crested Caracara
Nothoprocta perdicaria_Chilean Tinamou
Systellura longirostris_Band-winged Nightjar
Phoenicopterus chilensis_Chilean Flamingo
Stercorarius parasiticus_Parasitic Jaeger
Calidris alba_Sanderling
Pygarrhichas albogularis_White-throated Treerunner
Enicognathus ferrugineus_Austral Parakeet
Falco peregrinus_Peregrine Falcon
Charadrius nivosus_Snowy Plover
Upucerthia saturatior_Patagonian Forest Earthcreeper
Thinocorus rumicivorus_Least Seedsnipe
Porphyriops melanops_Spot-flanked Gallinule
Cinclodes nigrofumosus_Seaside Cinclodes
Phalaropus tricolor_Wilson's Phalarope
Asthenes anthoides_Austral Canastero
Bubo virginianus_Great Horned Owl
Asthenes pyrrholeuca_Sharp-billed Canastero
Phrygilus gayi_Gray-hooded Sierra Finch
Pseudasthenes humicola_Dusky-tailed Canastero
Arenaria interpres_Ruddy Turnstone
Scytalopus fuscus_Dusky Tapaculo
Pluvialis squatarola_Black-bellied Plover
Agriornis montanus_Black-billed Shrike-Tyrant
Leucophaeus modestus_Gray Gull
Pygochelidon cyanoleuca_Blue-and-white Swallow
Laterallus jamaicensis_Black Rail
Xema sabini_Sabine's Gull
Rynchops niger_Black Skimmer
Ixobrychus involucris_Stripe-backed Bittern
Geranoaetus melanoleucus_Black-chested Buzzard-Eagle
Columbina picui_Picui Ground Dove
Metriopelia melanoptera_Black-winged Ground Dove
Athene cunicularia_Burrowing Owl
Podilymbus podiceps_Pied-billed Grebe
Asthenes modesta_Cordilleran Canastero
Pteroptochos castaneus_Chestnut-throated Huet-huet
Hirundo rustica_Barn Swallow
Larosterna inca_Inca Tern
Charadrius collaris_Collared Plover
Myiopsitta monachus_Monk Parakeet
Rhopospina alaudina_Band-tailed Sierra Finch
Parabuteo unicinctus_Harris's Hawk
Lophonetta specularioides_Crested Duck
Buteo albigula_White-throated Hawk
Muscisaxicola albilora_White-browed Ground-Tyrant
Chroicocephalus serranus_Andean Gull
Chloephaga picta_Upland Goose
Sterna paradisaea_Arctic Tern
Muscisaxicola maculirostris_Spot-billed Ground-Tyrant
Pseudocolopteryx citreola_Ticking Doradito
Rhopospina fruticeti_Mourning Sierra Finch
Patagona gigas_Giant Hummingbird
Geospizopsis unicolor_Plumbeous Sierra Finch
Thinocorus orbignyianus_Gray-breasted Seedsnipe
Phasianus colchicus_Ring-necked Pheasant
Eudromia elegans_Elegant Crested-Tinamou
Calidris fuscicollis_White-rumped Sandpiper
Haematopus leucopodus_Magellanic Oystercatcher
Upucerthia dumetaria_Scale-throated Earthcreeper
Attagis gayi_Rufous-bellied Seedsnipe
Mimus patagonicus_Patagonian Mockingbird
Tachyeres patachonicus_Flying Steamer-Duck
Ardenna bulleri_Buller's Shearwater
Columba livia_Rock Pigeon
Sicalis auriventris_Greater Yellow-Finch
Oxyura ferruginea_Andean Duck
Calidris melanotos_Pectoral Sandpiper
Tringa semipalmata_Willet
