Vanellus chilensis_Southern Lapwing
Furnarius rufus_Rufous Hornero
Zonotrichia capensis_Rufous-collared Sparrow
Pitangus sulphuratus_Great Kiskadee
Zenaida auriculata_Eared Dove
Myiopsitta monachus_Monk Parakeet
Milvago chimango_Chimango Caracara
Troglodytes aedon_House Wren
Mimus saturninus_Chalk-browed Mockingbird
Patagioenas maculosa_Spot-winged Pigeon
Sicalis flaveola_Saffron Finch
Caracara plancus_Crested Caracara
Agelaioides badius_Grayish Baywing
Colaptes melanochloros_Green-barred Woodpecker
Columbina picui_Picui Ground Dove
Guira guira_Guira Cuckoo
Molothrus bonariensis_Shiny Cowbird
Passer domesticus_House Sparrow
Polioptila dumicola_Masked Gnatcatcher
Chlorostilbon lucidus_Glittering-bellied Emerald
Pseudoseisura lophotes_Brown Cacholote
Machetornis rixosa_Cattle Tyrant
Patagioenas picazuro_Picazuro Pigeon
Himantopus mexicanus_Black-necked Stilt
Mimus triurus_White-banded Mockingbird
Progne tapera_Brown-chested Martin
Falco sparverius_American Kestrel
Tyrannus savana_Fork-tailed Flycatcher
Molothrus rufoaxillaris_Screaming Cowbird
Embernagra platensis_Great Pampa-Finch
Sporophila caerulescens_Double-collared Seedeater
Sicalis luteola_Grassland Yellow-Finch
Plegadis chihi_White-faced Ibis
Colaptes campestris_Campo Flicker
Egretta thula_Snowy Egret
Athene cunicularia_Burrowing Owl
Phytotoma rutila_White-tipped Plantcutter
Turdus amaurochalinus_Creamy-bellied Thrush
Rupornis magnirostris_Roadside Hawk
Synallaxis albescens_Pale-breasted Spinetail
Nothura maculosa_Spotted Nothura
Hymenops perspicillatus_Spectacled Tyrant
Tringa flavipes_Lesser Yellowlegs
Nannopterum brasilianum_Neotropic Cormorant
Paroaria coronata_Red-crested Cardinal
Anas flavirostris_Yellow-billed Teal
Spinus magellanicus_Hooded Siskin
Xolmis irupero_White Monjita
Gallinula galeata_Common Gallinule
Sturnus vulgaris_European Starling
Saltator aurantiirostris_Golden-billed Saltator
Chroicocephalus maculipennis_Brown-hooded Gull
Tachycineta leucorrhoa_White-rumped Swallow
Synallaxis frontalis_Sooty-fronted Spinetail
Syrigma sibilatrix_Whistling Heron
Ardea alba_Great Egret
Bubulcus ibis_Cattle Egret
Ardea cocoi_Cocoi Heron
Progne elegans_Southern Martin
Turdus rufiventris_Rufous-bellied Thrush
Dendrocygna viduata_White-faced Whistling-Duck
Tringa melanoleuca_Greater Yellowlegs
Tyrannus melancholicus_Tropical Kingbird
Falco femoralis_Aplomado Falcon
Ammodramus humeralis_Grassland Sparrow
Leistes superciliaris_White-browed Meadowlark
Taraba major_Great Antshrike
Phoenicopterus chilensis_Chilean Flamingo
Butorides striata_Striated Heron
Microspingus melanoleucus_Black-capped Warbling Finch
Serpophaga subcristata_White-crested Tyrannulet
Leptotila verreauxi_White-tipped Dove
Spatula platalea_Red Shoveler
Anas georgica_Yellow-billed Pintail
Dryobates mixtus_Checkered Woodpecker
Schoeniophylax phryganophilus_Chotoy Spinetail
Rostrhamus sociabilis_Snail Kite
Jacana jacana_Wattled Jacana
Empidonomus aurantioatrocristatus_Crowned Slaty Flycatcher
Cyclarhis gujanensis_Rufous-browed Peppershrike
Podilymbus podiceps_Pied-billed Grebe
Phacellodomus striaticollis_Freckle-breasted Thornbird
Lepidocolaptes angustirostris_Narrow-billed Woodcreeper
Coscoroba coscoroba_Coscoroba Swan
Agelasticus thilius_Yellow-winged Blackbird
Pardirallus sanguinolentus_Plumbeous Rail
Pyrocephalus rubinus_Vermilion Flycatcher
Phleocryptes melanops_Wren-like Rushbird
Elanus leucurus_White-tailed Kite
Phalaropus tricolor_Wilson's Phalarope
Coccyzus melacoryphus_Dark-billed Cuckoo
Rauenia bonariensis_Blue-and-yellow Tanager
Chrysomus ruficapillus_Chestnut-capped Blackbird
Tyto alba_Barn Owl
Hirundo rustica_Barn Swallow
Platalea ajaja_Roseate Spoonbill
Podiceps major_Great Grebe
Spatula cyanoptera_Cinnamon Teal
Serpophaga griseicapilla_Straneck's Tyrannulet
