Gallus gallus_Red Junglefowl
Thalasseus bergii_Great Crested Tern
Acridotheres tristis_Common Myna
Anous stolidus_Brown Noddy
Phaethon rubricauda_Red-tailed Tropicbird
Egretta sacra_Pacific Reef-Heron
Fregata ariel_Lesser Frigatebird
Phaethon lepturus_White-tailed Tropicbird
Fregata minor_Great Frigatebird
Sula sula_Red-footed Booby
Numenius tahitiensis_Bristle-thighed Curlew
Zosterops lateralis_Silvereye
Bulweria bulwerii_Bulwer's Petrel
Anous minutus_Black Noddy
Sula leucogaster_Brown Booby
Sula dactylatra_Masked Booby
Puffinus nativitatis_Christmas Shearwater
Onychoprion fuscatus_Sooty Tern
Arenaria interpres_Ruddy Turnstone
Ardenna pacifica_Wedge-tailed Shearwater
Gygis alba_White Tern
Pluvialis fulva_Pacific Golden-Plover
Pterodroma neglecta_Kermadec Petrel
Calidris alba_Sanderling
Urodynamis taitensis_Long-tailed Koel
Tringa incana_Wandering Tattler
Calidris melanotos_Pectoral Sandpiper
Zapornia tabuensis_Spotless Crake
Puffinus bailloni_Tropical Shearwater
Ardenna tenuirostris_Short-tailed Shearwater
Onychoprion lunatus_Gray-backed Tern
Anous ceruleus_Blue-gray Noddy
Ardenna grisea_Sooty Shearwater
