Passer domesticus_House Sparrow
Sternula saundersi_Saunders's Tern
Charadrius hiaticula_Common Ringed Plover
Coturnix coturnix_Common Quail
Pluvialis squatarola_Black-bellied Plover
Chlidonias hybrida_Whiskered Tern
Phoeniconaias minor_Lesser Flamingo
Calidris alba_Sanderling
Hypsipetes madagascariensis_Malagasy Bulbul
Dicrurus forficatus_Crested Drongo
Tyto alba_Barn Owl
Sula dactylatra_Masked Booby
Foudia madagascariensis_Red Fody
Cinnyris sovimanga_Souimanga Sunbird
Apus melba_Alpine Swift
Centropus toulou_Malagasy Coucal
Plegadis falcinellus_Glossy Ibis
Sterna hirundo_Common Tern
Numenius arquata_Eurasian Curlew
Calidris minuta_Little Stint
Terpsiphone mutata_Malagasy Paradise-Flycatcher
Copsychus albospecularis_Madagascar Magpie-Robin
Falco peregrinus_Peregrine Falcon
Zosterops maderaspatanus_Malagasy White-eye
Ixobrychus minutus_Little Bittern
Hydroprogne caspia_Caspian Tern
Coturnix delegorguei_Harlequin Quail
Neomixis tenella_Common Jery
Phedina borbonica_Mascarene Martin
Coracopsis nigra_Lesser Vasa Parrot
Newtonia brunneicauda_Common Newtonia
Nesillas typica_Malagasy Brush-Warbler
Motacilla flaviventris_Madagascar Wagtail
Cyanolanius madagascarinus_Blue Vanga
Anous tenuirostris_Lesser Noddy
Leptosomus discolor_Cuckoo-roller
Buteo brachypterus_Madagascar Buzzard
Coracopsis vasa_Greater Vasa Parrot
Coracina cinerea_Madagascar Cuckooshrike
Bernieria madagascariensis_Long-billed Bernieria
Upupa marginata_Madagascar Hoopoe
Caprimulgus madagascariensis_Madagascar Nightjar
Coua caerulea_Blue Coua
Cisticola cherina_Madagascar Cisticola
Ploceus nelicourvi_Nelicourvi Weaver
Coua cristata_Crested Coua
Calicalicus madagascariensis_Red-tailed Vanga
Xanthomixis zosterops_Spectacled Tetraka
Acrocephalus newtoni_Madagascar Swamp Warbler
Tylas eduardi_Tylas Vanga
Neomixis striatigula_Stripe-throated Jery
Atelornis pittoides_Pitta-like Ground-Roller
Ploceus sakalava_Sakalava Weaver
Sarothrura insularis_Madagascar Flufftail
Vanga curvirostris_Hook-billed Vanga
Schetba rufa_Rufous Vanga
Zapornia pusilla_Baillon's Crake
Falculea palliata_Sickle-billed Vanga
Otus madagascariensis_Torotoroka Scops-Owl
Coua reynaudii_Red-fronted Coua
Agapornis canus_Gray-headed Lovebird
Mesitornis variegatus_White-breasted Mesite
Coua coquereli_Coquerel's Coua
Xenopirostris damii_Van Dam's Vanga
Oxylabes madagascariensis_White-throated Oxylabes
Eremopterix hova_Madagascar Lark
Otus rutilus_Madagascar Scops-Owl
Philepitta schlegeli_Schlegel's Asity
Mystacornis crossleyi_Crossley's Vanga
Newtonia amphichroa_Dark Newtonia
Coua ruficeps_Red-capped Coua
Coua serriana_Red-breasted Coua
Monticola sharpei_Forest Rock-Thrush
Mesitornis unicolor_Brown Mesite
Bradypterus brunneus_Brown Emutail
Crossleyia xanthophrys_Yellow-browed Oxylabes
Xenopirostris polleni_Pollen's Vanga
Dryolimnas cuvieri_White-throated Rail
Athene superciliaris_White-browed Owl
Coua gigas_Giant Coua
Cryptosylvicola randrianasoloi_Cryptic Warbler
Atelornis crossleyi_Rufous-headed Ground-Roller
Newtonia archboldi_Archbold's Newtonia
Nesillas lantzii_Subdesert Brush-Warbler
Gallus gallus_Red Junglefowl
Columba livia_Rock Pigeon
Pandion haliaetus_Osprey
Charadrius mongolus_Lesser Sand-Plover
