Pycnonotus barbatus_Common Bulbul
Colius striatus_Speckled Mousebird
Streptopelia capicola_Ring-necked Dove
Lamprotornis superbus_Superb Starling
Bostrychia hagedash_Hadada Ibis
Streptopelia semitorquata_Red-eyed Dove
Motacilla aguimp_African Pied Wagtail
Turtur chalcospilos_Emerald-spotted Wood-Dove
Milvus migrans_Black Kite
Cypsiurus parvus_African Palm-Swift
Hirundo rustica_Barn Swallow
Cecropis abyssinica_Lesser Striped Swallow
Actitis hypoleucos_Common Sandpiper
Turdus tephronotus_African Bare-eyed Thrush
Phyllastrephus strepitans_Northern Brownbul
Terpsiphone viridis_African Paradise-Flycatcher
Ardea cinerea_Gray Heron
Ortygornis sephaena_Crested Francolin
Coracias caudatus_Lilac-breasted Roller
Centropus superciliosus_White-browed Coucal
Phylloscopus trochilus_Willow Warbler
Oena capensis_Namaqua Dove
Malaconotus blanchoti_Gray-headed Bushshrike
Muscicapa striata_Spotted Flycatcher
Corvus albus_Pied Crow
Chrysococcyx caprius_Dideric Cuckoo
Ardea melanocephala_Black-headed Heron
Merops albicollis_White-throated Bee-eater
Bubulcus ibis_Cattle Egret
Dendrocygna viduata_White-faced Whistling-Duck
Vanellus spinosus_Spur-winged Lapwing
Merops persicus_Blue-cheeked Bee-eater
Quelea quelea_Red-billed Quelea
Dryoscopus cubla_Black-backed Puffback
Uraeginthus bengalus_Red-cheeked Cordonbleu
Urocolius macrourus_Blue-naped Mousebird
Iduna pallida_Eastern Olivaceous Warbler
Butorides striata_Striated Heron
Halcyon leucocephala_Gray-headed Kingfisher
Corvus splendens_House Crow
Sylvietta brachyura_Northern Crombec
Streptopelia senegalensis_Laughing Dove
Passer domesticus_House Sparrow
Curruca communis_Greater Whitethroat
Ploceus nigricollis_Black-necked Weaver
Ploceus intermedius_Lesser Masked-Weaver
Cichladusa guttata_Spotted Morning-Thrush
Tringa nebularia_Common Greenshank
Coracias garrulus_European Roller
Notopholia corusca_Black-bellied Starling
Lanius collurio_Red-backed Shrike
Tringa ochropus_Green Sandpiper
Hedydipna collaris_Collared Sunbird
Laniarius sublacteus_Zanzibar Boubou
Caprimulgus clarus_Slender-tailed Nightjar
Charadrius hiaticula_Common Ringed Plover
Chloropicus fuscescens_Cardinal Woodpecker
Campethera nubica_Nubian Woodpecker
Cyanomitra olivacea_Olive Sunbird
Crithagra reichenowi_Reichenow's Seedeater
Pytilia melba_Green-winged Pytilia
Tringa glareola_Wood Sandpiper
Nicator gularis_Eastern Nicator
Motacilla flava_Western Yellow Wagtail
Otus senegalensis_African Scops-Owl
Camaroptera brachyura_Green-backed Camaroptera
Clamator jacobinus_Pied Cuckoo
Ploceus subaureus_African Golden-Weaver
Halcyon albiventris_Brown-hooded Kingfisher
Chlorocichla flaviventris_Yellow-bellied Greenbul
Prinia subflava_Tawny-flanked Prinia
Apus affinis_Little Swift
Corythaixoides leucogaster_White-bellied Go-away-bird
Cercotrichas galactotes_Rufous-tailed Scrub-Robin
Vanellus tectus_Black-headed Lapwing
Oriolus oriolus_Eurasian Golden Oriole
Monticola saxatilis_Rufous-tailed Rock-Thrush
Oenanthe oenanthe_Northern Wheatear
Thalasseus bergii_Great Crested Tern
Oenanthe isabellina_Isabelline Wheatear
Creatophora cinerea_Wattled Starling
Alopochen aegyptiaca_Egyptian Goose
Neocossyphus rufus_Red-tailed Ant-Thrush
Apalis flavida_Yellow-breasted Apalis
Cercotrichas quadrivirgata_Bearded Scrub-Robin
Burhinus vermiculatus_Water Thick-knee
Burhinus capensis_Spotted Thick-knee
Trachyphonus darnaudii_D'Arnaud's Barbet
Prionops plumatus_White Helmetshrike
Lanius phoenicuroides_Red-tailed Shrike
Calidris minuta_Little Stint
Euodice cantans_African Silverbill
Cossypha natalensis_Red-capped Robin-Chat
Dromas ardeola_Crab-Plover
Charadrius tricollaris_Three-banded Plover
Plocepasser mahali_White-browed Sparrow-Weaver
Thalasseus bengalensis_Lesser Crested Tern
Merops apiaster_European Bee-eater
Glaucidium perlatum_Pearl-spotted Owlet
Himantopus himantopus_Black-winged Stilt
Turtur tympanistria_Tambourine Dove
Anous stolidus_Brown Noddy
Lanius isabellinus_Isabelline Shrike
Circus aeruginosus_Eurasian Marsh-Harrier
Tauraco fischeri_Fischer's Turaco
Rhinopomastus cyanomelas_Common Scimitarbill
Eurocephalus ruppelli_White-rumped Shrike
Nilaus afer_Brubru
Cisticola haematocephalus_Coastal Cisticola
Eurystomus glaucurus_Broad-billed Roller
Vidua macroura_Pin-tailed Whydah
Oenanthe pleschanka_Pied Wheatear
Ploceus cucullatus_Village Weaver
Amblyospiza albifrons_Grosbeak Weaver
Pogoniulus pusillus_Red-fronted Tinkerbird
Platysteira peltata_Black-throated Wattle-eye
Motacilla alba_White Wagtail
Accipiter tachiro_African Goshawk
Lophoceros alboterminatus_Crowned Hornbill
Circus macrourus_Pallid Harrier
