Larus dominicanus_Kelp Gull
Thalassarche melanophris_Black-browed Albatross
Stercorarius antarcticus_Brown Skua
Daption capense_Cape Petrel
Diomedea exulans_Wandering Albatross
Ardenna grisea_Sooty Shearwater
Sterna vittata_Antarctic Tern
Pygoscelis papua_Gentoo Penguin
Pygoscelis antarcticus_Chinstrap Penguin
Ardenna tenuirostris_Short-tailed Shearwater
Stercorarius maccormicki_South Polar Skua
Pterodroma inexpectata_Mottled Petrel
Pygoscelis adeliae_Adelie Penguin
Anas georgica_Yellow-billed Pintail
Aptenodytes patagonicus_King Penguin
