Zosterops japonicus_Warbling White-eye
Paroaria coronata_Red-crested Cardinal
Copsychus malabaricus_White-rumped Shama
Geopelia striata_Zebra Dove
Bubulcus ibis_Cattle Egret
Acridotheres tristis_Common Myna
Streptopelia chinensis_Spotted Dove
Gallus gallus_Red Junglefowl
Haemorhous mexicanus_House Finch
Pluvialis fulva_Pacific Golden-Plover
Cardinalis cardinalis_Northern Cardinal
Gallinula galeata_Common Gallinule
Lonchura punctulata_Scaly-breasted Munia
Lonchura atricapilla_Chestnut Munia
Passer domesticus_House Sparrow
Psittacula krameri_Rose-ringed Parakeet
Nycticorax nycticorax_Black-crowned Night-Heron
Phaethon lepturus_White-tailed Tropicbird
Anas wyvilliana_Hawaiian Duck
Columba livia_Rock Pigeon
Mimus polyglottos_Northern Mockingbird
Garrulax canorus_Chinese Hwamei
Sturnella neglecta_Western Meadowlark
Himantopus mexicanus_Black-necked Stilt
Fulica alai_Hawaiian Coot
Horornis diphone_Japanese Bush Warbler
Branta sandvicensis_Hawaiian Goose
Chasiempis sclateri_Kauai Elepaio
Amandava amandava_Red Avadavat
Magumma parva_Anianiau
Padda oryzivora_Java Sparrow
Puffinus newelli_Newell's Shearwater
Loxops caeruleirostris_Akekee
Tringa incana_Wandering Tattler
Estrilda astrild_Common Waxbill
Arenaria interpres_Ruddy Turnstone
Phasianus colchicus_Ring-necked Pheasant
Tyto alba_Barn Owl
Euodice cantans_African Silverbill
Pterodroma sandwichensis_Hawaiian Petrel
Ardenna pacifica_Wedge-tailed Shearwater
Chlorodrepanis stejnegeri_Kauai Amakihi
Agapornis roseicollis_Rosy-faced Lovebird
Asio flammeus_Short-eared Owl
Numenius phaeopus_Whimbrel
Fregata minor_Great Frigatebird
Anous minutus_Black Noddy
Ducula pacifica_Pacific Imperial-Pigeon
Sula leucogaster_Brown Booby
Stercorarius longicaudus_Long-tailed Jaeger
