Zosterops japonicus_Warbling White-eye
Acridotheres tristis_Common Myna
Geopelia striata_Zebra Dove
Streptopelia chinensis_Spotted Dove
Haemorhous mexicanus_House Finch
Cardinalis cardinalis_Northern Cardinal
Bubulcus ibis_Cattle Egret
Passer domesticus_House Sparrow
Paroaria coronata_Red-crested Cardinal
Pluvialis fulva_Pacific Golden-Plover
Copsychus malabaricus_White-rumped Shama
Lonchura punctulata_Scaly-breasted Munia
Nycticorax nycticorax_Black-crowned Night-Heron
Psittacula krameri_Rose-ringed Parakeet
Gallus gallus_Red Junglefowl
Horornis diphone_Japanese Bush Warbler
Lonchura atricapilla_Chestnut Munia
Gallinula galeata_Common Gallinule
Anas wyvilliana_Hawaiian Duck
Columba livia_Rock Pigeon
Phaethon lepturus_White-tailed Tropicbird
Padda oryzivora_Java Sparrow
Fulica alai_Hawaiian Coot
Himantopus mexicanus_Black-necked Stilt
Estrilda astrild_Common Waxbill
Garrulax canorus_Chinese Hwamei
Mimus polyglottos_Northern Mockingbird
Branta sandvicensis_Hawaiian Goose
Tringa incana_Wandering Tattler
Sicalis flaveola_Saffron Finch
Alauda arvensis_Eurasian Skylark
Euodice cantans_African Silverbill
Leiothrix lutea_Red-billed Leiothrix
Amandava amandava_Red Avadavat
Glaucestrilda caerulescens_Lavender Waxbill
Chasiempis sclateri_Kauai Elepaio
Puffinus newelli_Newell's Shearwater
Paroaria capitata_Yellow-billed Cardinal
Ardenna pacifica_Wedge-tailed Shearwater
Crithagra mozambica_Yellow-fronted Canary
Ortygornis pondicerianus_Gray Francolin
Arenaria interpres_Ruddy Turnstone
Pterodroma sandwichensis_Hawaiian Petrel
Anous minutus_Black Noddy
Loxops caeruleirostris_Akekee
Tyto alba_Barn Owl
Magumma parva_Anianiau
Sturnella neglecta_Western Meadowlark
Agapornis roseicollis_Rosy-faced Lovebird
Chasiempis sandwichensis_Hawaii Elepaio
Buteo solitarius_Hawaiian Hawk
Phasianus colchicus_Ring-necked Pheasant
