Furnarius rufus_Rufous Hornero
Empidonomus aurantioatrocristatus_Crowned Slaty Flycatcher
Theristicus caerulescens_Plumbeous Ibis
Thamnophilus caerulescens_Variable Antshrike
Volatinia jacarina_Blue-black Grassquit
Cinclodes fuscus_Buff-winged Cinclodes
Microspingus cabanisi_Gray-throated Warbling Finch
Calidris himantopus_Stilt Sandpiper
Cranioleuca pyrrhophia_Stripe-crowned Spinetail
Tyto alba_Barn Owl
Vireo chivi_Chivi Vireo
Alopochelidon fucata_Tawny-headed Swallow
Piranga flava_Hepatic Tanager
Fulica rufifrons_Red-fronted Coot
Anthus lutescens_Yellowish Pipit
Aramides cajaneus_Gray-cowled Wood-Rail
Mimus triurus_White-banded Mockingbird
Agelasticus cyanopus_Unicolored Blackbird
Columba livia_Rock Pigeon
Pardirallus maculatus_Spotted Rail
Buteogallus meridionalis_Savanna Hawk
Rauenia bonariensis_Blue-and-yellow Tanager
Phacellodomus ruber_Greater Thornbird
Tringa solitaria_Solitary Sandpiper
Phaetusa simplex_Large-billed Tern
Bubo virginianus_Great Horned Owl
Hydropsalis torquata_Scissor-tailed Nightjar
Cacicus solitarius_Solitary Black Cacique
Chordeiles nacunda_Nacunda Nighthawk
Buteo swainsoni_Swainson's Hawk
Pygochelidon cyanoleuca_Blue-and-white Swallow
Myiarchus swainsoni_Swainson's Flycatcher
Spatula platalea_Red Shoveler
Setopagis parvula_Little Nightjar
Asio clamator_Striped Owl
Limosa haemastica_Hudsonian Godwit
Podiceps major_Great Grebe
Limnoctites rectirostris_Straight-billed Reedhaunter
Amblyramphus holosericeus_Scarlet-headed Blackbird
Laterallus melanophaius_Rufous-sided Crake
Anthus correndera_Correndera Pipit
Sturnus vulgaris_European Starling
Picumnus cirratus_White-barred Piculet
Basileuterus culicivorus_Golden-crowned Warbler
Leptasthenura platensis_Tufted Tit-Spinetail
Riparia riparia_Bank Swallow
Porphyrio martinica_Purple Gallinule
Ixobrychus involucris_Stripe-backed Bittern
Asio flammeus_Short-eared Owl
Anhinga anhinga_Anhinga
Tachycineta leucopyga_Chilean Swallow
Cyanoloxia brissonii_Ultramarine Grosbeak
Phoenicopterus chilensis_Chilean Flamingo
Glaucidium brasilianum_Ferruginous Pygmy-Owl
Geranoaetus albicaudatus_White-tailed Hawk
Penelope obscura_Dusky-legged Guan
Phacellodomus sibilatrix_Little Thornbird
Geranoaetus melanoleucus_Black-chested Buzzard-Eagle
Spartonoica maluroides_Bay-capped Wren-Spinetail
Falco peregrinus_Peregrine Falcon
Sporophila cinnamomea_Chestnut Seedeater
Sterna trudeaui_Snowy-crowned Tern
Drymornis bridgesii_Scimitar-billed Woodcreeper
Cathartes aura_Turkey Vulture
Fluvicola albiventer_Black-backed Water-Tyrant
Sporophila palustris_Marsh Seedeater
Thalasseus sandvicensis_Sandwich Tern
Calidris subruficollis_Buff-breasted Sandpiper
Elaenia spectabilis_Large Elaenia
Sporophila ruficollis_Dark-throated Seedeater
Anthus furcatus_Short-billed Pipit
Euscarthmus meloryphus_Rufous-crowned Pygmy-Tyrant
Thalasseus maximus_Royal Tern
Charadrius falklandicus_Two-banded Plover
Lathrotriccus euleri_Euler's Flycatcher
Sporophila collaris_Rusty-collared Seedeater
Anthus hellmayri_Hellmayr's Pipit
Psittacara leucophthalmus_White-eyed Parakeet
Coryphospingus cucullatus_Red-crested Finch
Charadrius semipalmatus_Semipalmated Plover
Serpophaga griseicapilla_Straneck's Tyrannulet
Accipiter striatus_Sharp-shinned Hawk
Melanerpes cactorum_White-fronted Woodpecker
Charadrius modestus_Rufous-chested Dotterel
Sterna hirundinacea_South American Tern
Dryobates spilogaster_White-spotted Woodpecker
Taraba major_Great Antshrike
Synallaxis albescens_Pale-breasted Spinetail
Gnorimopsar chopi_Chopi Blackbird
Sublegatus modestus_Southern Scrub-Flycatcher
Actitis macularius_Spotted Sandpiper
Stelgidopteryx ruficollis_Southern Rough-winged Swallow
Xanthopsar flavus_Saffron-cowled Blackbird
Coragyps atratus_Black Vulture
Cistothorus platensis_Grass Wren
Larus dominicanus_Kelp Gull
Coccycua cinerea_Ash-colored Cuckoo
Picumnus nebulosus_Mottled Piculet
