Stercorarius antarcticus_Brown Skua
Larus dominicanus_Kelp Gull
Diomedea exulans_Wandering Albatross
Thalassarche melanophris_Black-browed Albatross
Daption capense_Cape Petrel
Aptenodytes patagonicus_King Penguin
Sterna vittata_Antarctic Tern
Eudyptes chrysocome_Southern Rockhopper Penguin
Estrilda astrild_Common Waxbill
Ardenna carneipes_Flesh-footed Shearwater
Numida meleagris_Helmeted Guineafowl
Acridotheres tristis_Common Myna
Pygoscelis papua_Gentoo Penguin
Ardea alba_Great Egret
Oena capensis_Namaqua Dove
Bubulcus ibis_Cattle Egret
Xenus cinereus_Terek Sandpiper
Anous stolidus_Brown Noddy
Sula leucogaster_Brown Booby
Coturnix coturnix_Common Quail
Tringa nebularia_Common Greenshank
Onychoprion anaethetus_Bridled Tern
Sternula saundersi_Saunders's Tern
Charadrius hiaticula_Common Ringed Plover
Gallinula chloropus_Eurasian Moorhen
Fregata ariel_Lesser Frigatebird
Corvus albus_Pied Crow
Scopus umbretta_Hamerkop
Numenius phaeopus_Whimbrel
Actitis hypoleucos_Common Sandpiper
Phaethon lepturus_White-tailed Tropicbird
Dromas ardeola_Crab-Plover
Phaethon rubricauda_Red-tailed Tropicbird
Dicrurus forficatus_Crested Drongo
Tachybaptus ruficollis_Little Grebe
Nycticorax nycticorax_Black-crowned Night-Heron
Fulica cristata_Red-knobbed Coot
Coracopsis nigra_Lesser Vasa Parrot
Saxicola torquatus_African Stonechat
Tringa glareola_Wood Sandpiper
Tyto alba_Barn Owl
Hirundo rustica_Barn Swallow
Cisticola cherina_Madagascar Cisticola
Charadrius tricollaris_Three-banded Plover
Ardea purpurea_Purple Heron
Charadrius leschenaultii_Greater Sand-Plover
Eurystomus glaucurus_Broad-billed Roller
Ardeola ralloides_Squacco Heron
Copsychus albospecularis_Madagascar Magpie-Robin
Calidris alba_Sanderling
Falco peregrinus_Peregrine Falcon
Hypsipetes madagascariensis_Malagasy Bulbul
Himantopus himantopus_Black-winged Stilt
Arenaria interpres_Ruddy Turnstone
Calidris minuta_Little Stint
Dendrocygna viduata_White-faced Whistling-Duck
Phoenicopterus roseus_Greater Flamingo
Pluvialis squatarola_Black-bellied Plover
Fregata minor_Great Frigatebird
Calidris ferruginea_Curlew Sandpiper
Chlidonias hybrida_Whiskered Tern
Ixobrychus minutus_Little Bittern
Ardea cinerea_Gray Heron
Butorides striata_Striated Heron
Thalasseus bergii_Great Crested Tern
Terpsiphone mutata_Malagasy Paradise-Flycatcher
Eremopterix hova_Madagascar Lark
Centropus toulou_Malagasy Coucal
Ploceus sakalava_Sakalava Weaver
Phoeniconaias minor_Lesser Flamingo
Neomixis tenella_Common Jery
Caprimulgus madagascariensis_Madagascar Nightjar
Zosterops maderaspatanus_Malagasy White-eye
Coua cristata_Crested Coua
Milvus migrans_Black Kite
Limosa lapponica_Bar-tailed Godwit
Vanga curvirostris_Hook-billed Vanga
Thalasseus bengalensis_Lesser Crested Tern
Monticola sharpei_Forest Rock-Thrush
Agapornis canus_Gray-headed Lovebird
Coua gigas_Giant Coua
Newtonia brunneicauda_Common Newtonia
Otus madagascariensis_Torotoroka Scops-Owl
Riparia paludicola_Plain Martin
Newtonia archboldi_Archbold's Newtonia
Nesillas lantzii_Subdesert Brush-Warbler
Sula dactylatra_Masked Booby
Tringa stagnatilis_Marsh Sandpiper
Upupa marginata_Madagascar Hoopoe
Cinnyris sovimanga_Souimanga Sunbird
Athene superciliaris_White-browed Owl
Egretta garzetta_Little Egret
Ploceus nelicourvi_Nelicourvi Weaver
Cryptosylvicola randrianasoloi_Cryptic Warbler
Coracopsis vasa_Greater Vasa Parrot
Schetba rufa_Rufous Vanga
Buteo brachypterus_Madagascar Buzzard
Coua coquereli_Coquerel's Coua
Porphyrio madagascariensis_African Swamphen
Coua ruficeps_Red-capped Coua
Neomixis striatigula_Stripe-throated Jery
Coracina cinerea_Madagascar Cuckooshrike
Xenopirostris polleni_Pollen's Vanga
Leptosomus discolor_Cuckoo-roller
Xenopirostris damii_Van Dam's Vanga
Numenius arquata_Eurasian Curlew
Mystacornis crossleyi_Crossley's Vanga
Cyanolanius madagascarinus_Blue Vanga
Motacilla flaviventris_Madagascar Wagtail
Otus rutilus_Madagascar Scops-Owl
Crossleyia xanthophrys_Yellow-browed Oxylabes
Bernieria madagascariensis_Long-billed Bernieria
Onychoprion fuscatus_Sooty Tern
Mesitornis unicolor_Brown Mesite
Atelornis pittoides_Pitta-like Ground-Roller
Merops superciliosus_Madagascar Bee-eater
Sarothrura insularis_Madagascar Flufftail
Calicalicus madagascariensis_Red-tailed Vanga
Apus melba_Alpine Swift
Oxylabes madagascariensis_White-throated Oxylabes
Atelornis crossleyi_Rufous-headed Ground-Roller
Dendrocygna bicolor_Fulvous Whistling-Duck
Rostratula benghalensis_Greater Painted-Snipe
Tylas eduardi_Tylas Vanga
Coua caerulea_Blue Coua
Chroicocephalus cirrocephalus_Gray-hooded Gull
Newtonia amphichroa_Dark Newtonia
Mesitornis variegatus_White-breasted Mesite
Bradypterus brunneus_Brown Emutail
Xanthomixis zosterops_Spectacled Tetraka
Falculea palliata_Sickle-billed Vanga
Philepitta schlegeli_Schlegel's Asity
Coua serriana_Red-breasted Coua
Cuculus rochii_Madagascar Cuckoo
Passer domesticus_House Sparrow
Coturnix delegorguei_Harlequin Quail
Acrocephalus newtoni_Madagascar Swamp Warbler
Nesillas typica_Malagasy Brush-Warbler
Foudia madagascariensis_Red Fody
Macheiramphus alcinus_Bat Hawk
Dryolimnas cuvieri_White-throated Rail
Coua reynaudii_Red-fronted Coua
Hydroprogne caspia_Caspian Tern
Plegadis falcinellus_Glossy Ibis
Anous tenuirostris_Lesser Noddy
Sterna hirundo_Common Tern
Zapornia pusilla_Baillon's Crake
Ardenna pacifica_Wedge-tailed Shearwater
Phedina borbonica_Mascarene Martin
Sterna dougallii_Roseate Tern
Spatula querquedula_Garganey
Columba livia_Rock Pigeon
