Sula nebouxii_Blue-footed Booby
Pelecanus occidentalis_Brown Pelican
Butorides striata_Striated Heron
Setophaga petechia_Yellow Warbler
Numenius phaeopus_Whimbrel
Fregata magnificens_Magnificent Frigatebird
Gallinula galeata_Common Gallinule
Arenaria interpres_Ruddy Turnstone
Charadrius semipalmatus_Semipalmated Plover
Haematopus palliatus_American Oystercatcher
Himantopus mexicanus_Black-necked Stilt
Phoenicopterus ruber_American Flamingo
Bubulcus ibis_Cattle Egret
Tringa incana_Wandering Tattler
Crotophaga ani_Smooth-billed Ani
Anous stolidus_Brown Noddy
Calidris alba_Sanderling
Ardea herodias_Great Blue Heron
Pterodroma phaeopygia_Galapagos Petrel
Coccyzus melacoryphus_Dark-billed Cuckoo
Pluvialis squatarola_Black-bellied Plover
Leucophaeus pipixcan_Franklin's Gull
Calidris minutilla_Least Sandpiper
Phalaropus lobatus_Red-necked Phalarope
Spatula discors_Blue-winged Teal
Nyctanassa violacea_Yellow-crowned Night-Heron
Fregata minor_Great Frigatebird
Ardea alba_Great Egret
Calidris pusilla_Semipalmated Sandpiper
Creagrus furcatus_Swallow-tailed Gull
Phaethon aethereus_Red-billed Tropicbird
Tringa flavipes_Lesser Yellowlegs
Phalaropus tricolor_Wilson's Phalarope
Leucophaeus atricilla_Laughing Gull
Actitis macularius_Spotted Sandpiper
Podilymbus podiceps_Pied-billed Grebe
Hydrobates castro_Band-rumped Storm-Petrel
Tringa melanoleuca_Greater Yellowlegs
Thalasseus maximus_Royal Tern
Phalaropus fulicarius_Red Phalarope
Calidris virgata_Surfbird
Falco peregrinus_Peregrine Falcon
Tringa semipalmata_Willet
Calidris himantopus_Stilt Sandpiper
Tyto alba_Barn Owl
Pluvialis dominica_American Golden-Plover
Calidris bairdii_Baird's Sandpiper
Pandion haliaetus_Osprey
Limosa haemastica_Hudsonian Godwit
Pygochelidon cyanoleuca_Blue-and-white Swallow
Aglaiocercus kingii_Long-tailed Sylph
Mionectes striaticollis_Streak-necked Flycatcher
Turdus serranus_Glossy-black Thrush
Anisognathus somptuosus_Blue-winged Mountain Tanager
Tangara xanthocephala_Saffron-crowned Tanager
Adelomyia melanogenys_Speckled Hummingbird
Myiothlypis coronata_Russet-crowned Warbler
Diglossa cyanea_Masked Flowerpiercer
Anisognathus igniventris_Scarlet-bellied Mountain Tanager
Calidris melanotos_Pectoral Sandpiper
Tringa solitaria_Solitary Sandpiper
Metallura tyrianthina_Tyrian Metaltail
Diglossa sittoides_Rusty Flowerpiercer
Grallaria quitensis_Tawny Antpitta
Chaetocercus mulsant_White-bellied Woodstar
Atlapetes latinuchus_Yellow-breasted Brushfinch
Tangara nigroviridis_Beryl-spangled Tanager
Margarornis squamiger_Pearled Treerunner
Myadestes ralloides_Andean Solitaire
Stercorarius longicaudus_Long-tailed Jaeger
Sporathraupis cyanocephala_Blue-capped Tanager
Buteogallus solitarius_Solitary Eagle
Tangara vassorii_Blue-and-black Tanager
Coccyzus erythropthalmus_Black-billed Cuckoo
Sporophila luctuosa_Black-and-white Seedeater
Stercorarius parasiticus_Parasitic Jaeger
Sterna hirundo_Common Tern
Contopus fumigatus_Smoke-colored Pewee
Mecocerculus stictopterus_White-banded Tyrannulet
Myioborus melanocephalus_Spectacled Redstart
