Rhipidura leucophrys_Willie-wagtail
Gavicalis virescens_Singing Honeyeater
Corvus orru_Torresian Crow
Taeniopygia guttata_Zebra Finch
Acanthagenys rufogularis_Spiny-cheeked Honeyeater
Barnardius zonarius_Australian Ringneck
Haliastur sphenurus_Whistling Kite
Artamus cinereus_Black-faced Woodswallow
Cracticus nigrogularis_Pied Butcherbird
Ocyphaps lophotes_Crested Pigeon
Pachycephala rufiventris_Rufous Whistler
Coracina novaehollandiae_Black-faced Cuckooshrike
Lophochroa leadbeateri_Pink Cockatoo
Manorina flavigula_Yellow-throated Miner
Colluricincla harmonica_Gray Shrikethrush
Hirundo neoxena_Welcome Swallow
Grallina cyanoleuca_Magpie-lark
Malurus splendens_Splendid Fairywren
Malurus leucopterus_White-winged Fairywren
Acanthiza apicalis_Inland Thornbill
Gymnorhina tibicen_Australian Magpie
Chenonetta jubata_Maned Duck
Acanthiza uropygialis_Chestnut-rumped Thornbill
Acanthiza chrysorrhoa_Yellow-rumped Thornbill
Eurostopodus argus_Spotted Nightjar
Psephotus varius_Mulga Parrot
Eolophus roseicapilla_Galah
Anas gracilis_Gray Teal
Lichmera indistincta_Brown Honeyeater
Pyrrholaemus brunneus_Redthroat
Smicrornis brevirostris_Weebill
Tachybaptus novaehollandiae_Australasian Grebe
Oreoica gutturalis_Crested Bellbird
Cracticus torquatus_Gray Butcherbird
Malurus assimilis_Purple-backed Fairywren
Gerygone fusca_Western Gerygone
Purnella albifrons_White-fronted Honeyeater
Dicaeum hirundinaceum_Mistletoebird
Merops ornatus_Rainbow Bee-eater
Melanodryas cucullata_Hooded Robin
Pomatostomus superciliosus_White-browed Babbler
Himantopus leucocephalus_Pied Stilt
Certhionyx variegatus_Pied Honeyeater
Nymphicus hollandicus_Cockatiel
Petrochelidon nigricans_Tree Martin
Phaps chalcoptera_Common Bronzewing
Anas superciliosa_Pacific Black Duck
Aphelocephala leucopsis_Southern Whiteface
Tringa nebularia_Common Greenshank
Falco berigora_Brown Falcon
Petroica goodenovii_Red-capped Robin
Melopsittacus undulatus_Budgerigar
Petrochelidon ariel_Fairy Martin
Egretta novaehollandiae_White-faced Heron
Fulica atra_Eurasian Coot
Malacorhynchus membranaceus_Pink-eared Duck
Daphoenositta chrysoptera_Varied Sittella
Cincloramphus mathewsi_Rufous Songlark
Chrysococcyx basalis_Horsfield's Bronze-Cuckoo
Accipiter fasciatus_Brown Goshawk
Elseyornis melanops_Black-fronted Dotterel
Anthus novaeseelandiae_Australasian Pipit
