Zosterops japonicus_Warbling White-eye
Geopelia striata_Zebra Dove
Paroaria coronata_Red-crested Cardinal
Bubulcus ibis_Cattle Egret
Copsychus malabaricus_White-rumped Shama
Streptopelia chinensis_Spotted Dove
Gallus gallus_Red Junglefowl
Acridotheres tristis_Common Myna
Pluvialis fulva_Pacific Golden-Plover
Haemorhous mexicanus_House Finch
Psittacula krameri_Rose-ringed Parakeet
Cardinalis cardinalis_Northern Cardinal
Lonchura punctulata_Scaly-breasted Munia
Phaethon lepturus_White-tailed Tropicbird
Nycticorax nycticorax_Black-crowned Night-Heron
Lonchura atricapilla_Chestnut Munia
Passer domesticus_House Sparrow
Anas wyvilliana_Hawaiian Duck
Gallinula galeata_Common Gallinule
Mimus polyglottos_Northern Mockingbird
Garrulax canorus_Chinese Hwamei
Fulica alai_Hawaiian Coot
Branta sandvicensis_Hawaiian Goose
Columba livia_Rock Pigeon
Himantopus mexicanus_Black-necked Stilt
Sturnella neglecta_Western Meadowlark
Horornis diphone_Japanese Bush Warbler
Tringa incana_Wandering Tattler
Chasiempis sclateri_Kauai Elepaio
Padda oryzivora_Java Sparrow
Magumma parva_Anianiau
Amandava amandava_Red Avadavat
Loxops caeruleirostris_Akekee
Asio flammeus_Short-eared Owl
Arenaria interpres_Ruddy Turnstone
Puffinus newelli_Newell's Shearwater
Estrilda astrild_Common Waxbill
Phasianus colchicus_Ring-necked Pheasant
Numenius phaeopus_Whimbrel
Pterodroma sandwichensis_Hawaiian Petrel
Tyto alba_Barn Owl
Euodice cantans_African Silverbill
Stercorarius longicaudus_Long-tailed Jaeger
Ardenna grisea_Sooty Shearwater
Calidris alba_Sanderling
Stercorarius pomarinus_Pomarine Jaeger
Pluvialis squatarola_Black-bellied Plover
Anas acuta_Northern Pintail
Calidris acuminata_Sharp-tailed Sandpiper
Limosa lapponica_Bar-tailed Godwit
Calidris melanotos_Pectoral Sandpiper
Hydrobates leucorhous_Leach's Storm-Petrel
Falco peregrinus_Peregrine Falcon
Anas crecca_Green-winged Teal
Ardenna tenuirostris_Short-tailed Shearwater
Chlorodrepanis stejnegeri_Kauai Amakihi
Spatula clypeata_Northern Shoveler
Mareca penelope_Eurasian Wigeon
Sterna paradisaea_Arctic Tern
Anous minutus_Black Noddy
Pterodroma inexpectata_Mottled Petrel
