Pitangus sulphuratus_Great Kiskadee
Coragyps atratus_Black Vulture
Vanellus chilensis_Southern Lapwing
Troglodytes aedon_House Wren
Sicalis flaveola_Saffron Finch
Tyrannus melancholicus_Tropical Kingbird
Columbina talpacoti_Ruddy Ground Dove
Pygochelidon cyanoleuca_Blue-and-white Swallow
Thraupis sayaca_Sayaca Tanager
Coereba flaveola_Bananaquit
Patagioenas picazuro_Picazuro Pigeon
Turdus rufiventris_Rufous-bellied Thrush
Thraupis palmarum_Palm Tanager
Fluvicola nengeta_Masked Water-Tyrant
Myiozetetes similis_Social Flycatcher
Dacnis cayana_Blue Dacnis
Caracara plancus_Crested Caracara
Zonotrichia capensis_Rufous-collared Sparrow
Tachyphonus coronatus_Ruby-crowned Tanager
Progne chalybea_Gray-breasted Martin
Megarynchus pitangua_Boat-billed Flycatcher
Thalurania glaucopis_Violet-capped Woodnymph
Euphonia violacea_Violaceous Euphonia
Nannopterum brasilianum_Neotropic Cormorant
Turdus leucomelas_Pale-breasted Thrush
Crotophaga ani_Smooth-billed Ani
Ramphocelus bresilius_Brazilian Tanager
Rupornis magnirostris_Roadside Hawk
Egretta thula_Snowy Egret
Chiroxiphia caudata_Swallow-tailed Manakin
Tangara seledon_Green-headed Tanager
Milvago chimachima_Yellow-headed Caracara
Thraupis ornata_Golden-chevroned Tanager
Elaenia flavogaster_Yellow-bellied Elaenia
Stelgidopteryx ruficollis_Southern Rough-winged Swallow
Fregata magnificens_Magnificent Frigatebird
Pyrrhura frontalis_Maroon-bellied Parakeet
Cathartes aura_Turkey Vulture
Passer domesticus_House Sparrow
Myiodynastes maculatus_Streaked Flycatcher
Sporophila caerulescens_Double-collared Seedeater
Tolmomyias sulphurescens_Yellow-olive Flycatcher
Ramphastos vitellinus_Channel-billed Toucan
Basileuterus culicivorus_Golden-crowned Warbler
Florisuga fusca_Black Jacobin
Cyclarhis gujanensis_Rufous-browed Peppershrike
Euphonia pectoralis_Chestnut-bellied Euphonia
Celeus flavescens_Blond-crested Woodpecker
Brotogeris tirica_Plain Parakeet
Picumnus cirratus_White-barred Piculet
Tangara desmaresti_Brassy-breasted Tanager
Sittasomus griseicapillus_Olivaceous Woodcreeper
Piaya cayana_Squirrel Cuckoo
Vireo chivi_Chivi Vireo
Eupetomena macroura_Swallow-tailed Hummingbird
Furnarius rufus_Rufous Hornero
Xiphorhynchus fuscus_Lesser Woodcreeper
Volatinia jacarina_Blue-black Grassquit
Leptotila verreauxi_White-tipped Dove
Machetornis rixosa_Cattle Tyrant
Megaceryle torquata_Ringed Kingfisher
Todirostrum poliocephalum_Gray-headed Tody-Flycatcher
Crypturellus obsoletus_Brown Tinamou
Trichothraupis melanops_Black-goggled Tanager
Aramides saracura_Slaty-breasted Wood-Rail
Ardea alba_Great Egret
Athene cunicularia_Burrowing Owl
Larus dominicanus_Kelp Gull
Certhiaxis cinnamomeus_Yellow-chinned Spinetail
Eupetomena cirrochloris_Sombre Hummingbird
Hirundinea ferruginea_Cliff Flycatcher
Butorides striata_Striated Heron
Herpsilochmus rufimarginatus_Rufous-margined Antwren
Leucochloris albicollis_White-throated Hummingbird
Clytolaema rubricauda_Brazilian Ruby
Molothrus bonariensis_Shiny Cowbird
Chaetura meridionalis_Sick's Swift
Dysithamnus mentalis_Plain Antvireo
Camptostoma obsoletum_Southern Beardless-Tyrannulet
Penelope obscura_Dusky-legged Guan
Leptopogon amaurocephalus_Sepia-capped Flycatcher
Mimus saturninus_Chalk-browed Mockingbird
Guira guira_Guira Cuckoo
Estrilda astrild_Common Waxbill
Psarocolius decumanus_Crested Oropendola
Gallinula galeata_Common Gallinule
Pyriglena leucoptera_White-shouldered Fire-eye
Trogon surrucura_Surucua Trogon
Ramphodon naevius_Saw-billed Hermit
Turdus amaurochalinus_Creamy-bellied Thrush
Pachyramphus castaneus_Chestnut-crowned Becard
Synallaxis ruficapilla_Rufous-capped Spinetail
Ilicura militaris_Pin-tailed Manakin
Manacus manacus_White-bearded Manakin
Turdus flavipes_Yellow-legged Thrush
Pachyramphus polychopterus_White-winged Becard
Phaethornis eurynome_Scale-throated Hermit
Hylophilus poicilotis_Rufous-crowned Greenlet
Cranioleuca pallida_Pallid Spinetail
Procnias nudicollis_Bare-throated Bellbird
Conopophaga melanops_Black-cheeked Gnateater
Attila rufus_Gray-hooded Attila
Stilpnia cayana_Burnished-buff Tanager
Colaptes campestris_Campo Flicker
Dysithamnus stictothorax_Spot-breasted Antvireo
Platalea ajaja_Roseate Spoonbill
Thamnophilus caerulescens_Variable Antshrike
Setophaga pitiayumi_Tropical Parula
Saltator similis_Green-winged Saltator
Chlorostilbon lucidus_Glittering-bellied Emerald
Thraupis cyanoptera_Azure-shouldered Tanager
Furnarius figulus_Wing-banded Hornero
