Vanellus chilensis_Southern Lapwing
Furnarius rufus_Rufous Hornero
Pitangus sulphuratus_Great Kiskadee
Myiopsitta monachus_Monk Parakeet
Zenaida auriculata_Eared Dove
Zonotrichia capensis_Rufous-collared Sparrow
Mimus saturninus_Chalk-browed Mockingbird
Milvago chimango_Chimango Caracara
Troglodytes aedon_House Wren
Patagioenas picazuro_Picazuro Pigeon
Passer domesticus_House Sparrow
Chroicocephalus maculipennis_Brown-hooded Gull
Larus dominicanus_Kelp Gull
Caracara plancus_Crested Caracara
Turdus rufiventris_Rufous-bellied Thrush
Patagioenas maculosa_Spot-winged Pigeon
Nannopterum brasilianum_Neotropic Cormorant
Tyrannus melancholicus_Tropical Kingbird
Agelaioides badius_Grayish Baywing
Sturnus vulgaris_European Starling
Spinus magellanicus_Hooded Siskin
Guira guira_Guira Cuckoo
Sicalis flaveola_Saffron Finch
Rupornis magnirostris_Roadside Hawk
Pseudoleistes virescens_Brown-and-yellow Marshbird
Egretta thula_Snowy Egret
Molothrus bonariensis_Shiny Cowbird
Anas flavirostris_Yellow-billed Teal
Hirundo rustica_Barn Swallow
Sicalis luteola_Grassland Yellow-Finch
Anas georgica_Yellow-billed Pintail
Embernagra platensis_Great Pampa-Finch
Himantopus mexicanus_Black-necked Stilt
Ardea alba_Great Egret
Ardea cocoi_Cocoi Heron
Progne tapera_Brown-chested Martin
Chlorostilbon lucidus_Glittering-bellied Emerald
Phleocryptes melanops_Wren-like Rushbird
Tyrannus savana_Fork-tailed Flycatcher
Plegadis chihi_White-faced Ibis
Hymenops perspicillatus_Spectacled Tyrant
Fulica armillata_Red-gartered Coot
Progne chalybea_Gray-breasted Martin
Syrigma sibilatrix_Whistling Heron
Leucochloris albicollis_White-throated Hummingbird
Colaptes melanochloros_Green-barred Woodpecker
Serpophaga subcristata_White-crested Tyrannulet
Coscoroba coscoroba_Coscoroba Swan
Sterna trudeaui_Snowy-crowned Tern
Pyrocephalus rubinus_Vermilion Flycatcher
Columbina picui_Picui Ground Dove
Falco sparverius_American Kestrel
Colaptes campestris_Campo Flicker
Columba livia_Rock Pigeon
Athene cunicularia_Burrowing Owl
Chauna torquata_Southern Screamer
Phacellodomus striaticollis_Freckle-breasted Thornbird
Fulica rufifrons_Red-fronted Coot
Sporophila caerulescens_Double-collared Seedeater
Machetornis rixosa_Cattle Tyrant
Agelasticus thilius_Yellow-winged Blackbird
Tachycineta leucorrhoa_White-rumped Swallow
Parabuteo unicinctus_Harris's Hawk
Bubulcus ibis_Cattle Egret
Pardirallus sanguinolentus_Plumbeous Rail
Podiceps major_Great Grebe
Tringa flavipes_Lesser Yellowlegs
Chroicocephalus cirrocephalus_Gray-hooded Gull
Nycticorax nycticorax_Black-crowned Night-Heron
Cygnus melancoryphus_Black-necked Swan
Spatula platalea_Red Shoveler
Phimosus infuscatus_Bare-faced Ibis
Mareca sibilatrix_Chiloe Wigeon
Hylocharis chrysura_Gilded Hummingbird
Circus buffoni_Long-winged Harrier
Setophaga pitiayumi_Tropical Parula
Pluvialis dominica_American Golden-Plover
Platalea ajaja_Roseate Spoonbill
Calidris fuscicollis_White-rumped Sandpiper
Limosa haemastica_Hudsonian Godwit
Rynchops niger_Black Skimmer
Paroaria coronata_Red-crested Cardinal
Tringa melanoleuca_Greater Yellowlegs
Jacana jacana_Wattled Jacana
Rhynchotus rufescens_Red-winged Tinamou
Butorides striata_Striated Heron
Serpophaga nigricans_Sooty Tyrannulet
Asio flammeus_Short-eared Owl
Cinclodes fuscus_Buff-winged Cinclodes
Falco femoralis_Aplomado Falcon
Poospiza nigrorufa_Black-and-rufous Warbling Finch
Polioptila dumicola_Masked Gnatcatcher
Gallinula galeata_Common Gallinule
Podilymbus podiceps_Pied-billed Grebe
Elanus leucurus_White-tailed Kite
Pygochelidon cyanoleuca_Blue-and-white Swallow
Anumbius annumbi_Firewood-gatherer
Dendrocygna viduata_White-faced Whistling-Duck
Nothura maculosa_Spotted Nothura
Elaenia parvirostris_Small-billed Elaenia
Lepidocolaptes angustirostris_Narrow-billed Woodcreeper
Molothrus rufoaxillaris_Screaming Cowbird
Pseudocolopteryx flaviventris_Warbling Doradito
Haematopus palliatus_American Oystercatcher
Porphyriops melanops_Spot-flanked Gallinule
Spatula cyanoptera_Cinnamon Teal
Turdus amaurochalinus_Creamy-bellied Thrush
Tachuris rubrigastra_Many-colored Rush Tyrant
Amazonetta brasiliensis_Brazilian Teal
