Pycnonotus barbatus_Common Bulbul
Streptopelia semitorquata_Red-eyed Dove
Colius striatus_Speckled Mousebird
Bostrychia hagedash_Hadada Ibis
Streptopelia capicola_Ring-necked Dove
Corythaeola cristata_Great Blue Turaco
Corvus albus_Pied Crow
Passer griseus_Northern Gray-headed Sparrow
Halcyon senegalensis_Woodland Kingfisher
Spermestes cucullata_Bronze Mannikin
Camaroptera brachyura_Green-backed Camaroptera
Turdus pelios_African Thrush
Eurillas virens_Little Greenbul
Pogoniulus bilineatus_Yellow-rumped Tinkerbird
Prinia subflava_Tawny-flanked Prinia
Cinnyris venustus_Variable Sunbird
Cisticola chubbi_Chubb's Cisticola
Lagonosticta senegala_Red-billed Firefinch
Scopus umbretta_Hamerkop
Terpsiphone viridis_African Paradise-Flycatcher
Chalcomitra senegalensis_Scarlet-chested Sunbird
Hedydipna collaris_Collared Sunbird
Crithagra mozambica_Yellow-fronted Canary
Bias musicus_Black-and-white Shrike-flycatcher
Cossypha heuglini_White-browed Robin-Chat
Motacilla aguimp_African Pied Wagtail
Muscicapa adusta_African Dusky Flycatcher
Ploceus melanocephalus_Black-headed Weaver
Cecropis abyssinica_Lesser Striped Swallow
Bycanistes subcylindricus_Black-and-white-casqued Hornbill
Sarothrura pulchra_White-spotted Flufftail
Ploceus cucullatus_Village Weaver
Ardea melanocephala_Black-headed Heron
Streptopelia senegalensis_Laughing Dove
Lamprotornis purpuroptera_Rüppell's Starling
Sylvietta ruficapilla_Red-capped Crombec
Leptoptilos crumenifer_Marabou Stork
Centropus superciliosus_White-browed Coucal
Saxicola torquatus_African Stonechat
Ploceus baglafecht_Baglafecht Weaver
Hirundo rustica_Barn Swallow
Apalis personata_Black-faced Apalis
Vanellus senegallus_Wattled Lapwing
Nectarinia kilimensis_Bronze Sunbird
Ceryle rudis_Pied Kingfisher
Motacilla capensis_Cape Wagtail
Cinnyris cupreus_Copper Sunbird
Dicrurus adsimilis_Fork-tailed Drongo
Uraeginthus bengalus_Red-cheeked Cordonbleu
Platysteira cyanea_Brown-throated Wattle-eye
Corythornis cristatus_Malachite Kingfisher
Cinnyris regius_Regal Sunbird
Cinnyris erythrocercus_Red-chested Sunbird
Milvus migrans_Black Kite
Melaniparus rufiventris_Rufous-bellied Tit
Lophaetus occipitalis_Long-crested Eagle
Muscicapa aquatica_Swamp Flycatcher
Polyboroides typus_African Harrier-Hawk
Vidua macroura_Pin-tailed Whydah
Haliaeetus vocifer_African Fish-Eagle
Dryoscopus gambensis_Northern Puffback
Turtur afer_Blue-spotted Wood-Dove
Eurillas latirostris_Yellow-whiskered Greenbul
Laniarius major_Tropical Boubou
Phyllastrephus flavostriatus_Yellow-streaked Greenbul
Cercotrichas barbata_Miombo Scrub-Robin
Nicator chloris_Western Nicator
Actophilornis africanus_African Jacana
Zapornia flavirostra_Black Crake
Egretta garzetta_Little Egret
Lophoceros alboterminatus_Crowned Hornbill
Pogoniulus chrysoconus_Yellow-fronted Tinkerbird
Psalidoprocne pristoptera_Black Sawwing
Anas undulata_Yellow-billed Duck
Eurystomus glaucurus_Broad-billed Roller
Estrilda nonnula_Black-crowned Waxbill
Emberiza flaviventris_Golden-breasted Bunting
Oriolus percivali_Black-tailed Oriole
Emberiza cabanisi_Cabanis's Bunting
Lanius humeralis_Northern Fiscal
Pogoniulus scolopaceus_Speckled Tinkerbird
Coracina caesia_Gray Cuckooshrike
Oreolais ruwenzorii_Rwenzori Apalis
Treron calvus_African Green-Pigeon
Laniarius fuelleborni_Fülleborn's Boubou
Hirundo angolensis_Angola Swallow
Cypsiurus parvus_African Palm-Swift
Ploceus nigerrimus_Vieillot's Weaver
Corvus albicollis_White-necked Raven
Turtur tympanistria_Tambourine Dove
Balearica regulorum_Gray Crowned-Crane
Lybius torquatus_Black-collared Barbet
Poicephalus fuscicollis_Brown-necked Parrot
Musophaga rossae_Ross's Turaco
Eminia lepida_Gray-capped Warbler
Kaupifalco monogrammicus_Lizard Buzzard
Buteo augur_Augur Buzzard
Phalacrocorax carbo_Great Cormorant
Numida meleagris_Helmeted Guineafowl
Cyanomitra olivacea_Olive Sunbird
Stelgidillas gracilirostris_Slender-billed Greenbul
Terpsiphone rufiventer_Black-headed Paradise-Flycatcher
Cisticola marginatus_Winding Cisticola
