Turdus migratorius_American Robin
Junco hyemalis_Dark-eyed Junco
Corvus corax_Common Raven
Branta canadensis_Canada Goose
Poecile atricapillus_Black-capped Chickadee
Anas platyrhynchos_Mallard
Pica hudsonia_Black-billed Magpie
Colaptes auratus_Northern Flicker
Sturnus vulgaris_European Starling
Agelaius phoeniceus_Red-winged Blackbird
Setophaga coronata_Yellow-rumped Warbler
Haliaeetus leucocephalus_Bald Eagle
Spinus pinus_Pine Siskin
Setophaga petechia_Yellow Warbler
Tachycineta bicolor_Tree Swallow
Sitta canadensis_Red-breasted Nuthatch
Bombycilla cedrorum_Cedar Waxwing
Corvus brachyrhynchos_American Crow
Buteo jamaicensis_Red-tailed Hawk
Corthylio calendula_Ruby-crowned Kinglet
Haemorhous mexicanus_House Finch
Passer domesticus_House Sparrow
Melospiza melodia_Song Sparrow
Tyrannus tyrannus_Eastern Kingbird
Spizella passerina_Chipping Sparrow
Molothrus ater_Brown-headed Cowbird
Bucephala albeola_Bufflehead
Bucephala clangula_Common Goldeneye
Streptopelia decaocto_Eurasian Collared-Dove
Charadrius vociferus_Killdeer
Zonotrichia leucophrys_White-crowned Sparrow
Mareca americana_American Wigeon
Sturnella neglecta_Western Meadowlark
Dryobates pubescens_Downy Woodpecker
Mergus merganser_Common Merganser
Contopus sordidulus_Western Wood-Pewee
Spinus tristis_American Goldfinch
Fulica americana_American Coot
Poecile gambeli_Mountain Chickadee
Tachycineta thalassina_Violet-green Swallow
Hirundo rustica_Barn Swallow
Zenaida macroura_Mourning Dove
Buteo lagopus_Rough-legged Hawk
Piranga ludoviciana_Western Tanager
Actitis macularius_Spotted Sandpiper
Pandion haliaetus_Osprey
Aythya collaris_Ring-necked Duck
Dumetella carolinensis_Gray Catbird
Vireo gilvus_Warbling Vireo
Euphagus cyanocephalus_Brewer's Blackbird
Cardellina pusilla_Wilson's Warbler
Anas crecca_Green-winged Teal
Antigone canadensis_Sandhill Crane
Larus delawarensis_Ring-billed Gull
Spatula clypeata_Northern Shoveler
Aythya affinis_Lesser Scaup
Ardea herodias_Great Blue Heron
Petrochelidon pyrrhonota_Cliff Swallow
Nucifraga columbiana_Clark's Nutcracker
Selasphorus rufus_Rufous Hummingbird
Megaceryle alcyon_Belted Kingfisher
Falco sparverius_American Kestrel
Sialia currucoides_Mountain Bluebird
Mareca strepera_Gadwall
Troglodytes aedon_House Wren
Pooecetes gramineus_Vesper Sparrow
Myadestes townsendi_Townsend's Solitaire
Circus hudsonius_Northern Harrier
Passerina amoena_Lazuli Bunting
Cyanocitta cristata_Blue Jay
Passerculus sandwichensis_Savannah Sparrow
Regulus satrapa_Golden-crowned Kinglet
Coccothraustes vespertinus_Evening Grosbeak
Geothlypis trichas_Common Yellowthroat
Dryobates villosus_Hairy Woodpecker
Sphyrapicus nuchalis_Red-naped Sapsucker
Gallinago delicata_Wilson's Snipe
Haemorhous cassinii_Cassin's Finch
Anas acuta_Northern Pintail
Aquila chrysaetos_Golden Eagle
Phasianus colchicus_Ring-necked Pheasant
Bucephala islandica_Barrow's Goldeneye
Gavia immer_Common Loon
Catharus ustulatus_Swainson's Thrush
Loxia curvirostra_Red Crossbill
Stelgidopteryx serripennis_Northern Rough-winged Swallow
Oxyura jamaicensis_Ruddy Duck
Lophodytes cucullatus_Hooded Merganser
Podiceps nigricollis_Eared Grebe
Quiscalus quiscula_Common Grackle
Columba livia_Rock Pigeon
Acanthis flammea_Common Redpoll
Empidonax traillii_Willow Flycatcher
Aechmophorus occidentalis_Western Grebe
Icterus bullockii_Bullock's Oriole
Eremophila alpestris_Horned Lark
Pelecanus erythrorhynchos_American White Pelican
Cygnus buccinator_Trumpeter Swan
Geothlypis tolmiei_MacGillivray's Warbler
Anthus rubescens_American Pipit
Cathartes aura_Turkey Vulture
Xanthocephalus xanthocephalus_Yellow-headed Blackbird
Melospiza lincolnii_Lincoln's Sparrow
Spatula cyanoptera_Cinnamon Teal
Leiothlypis celata_Orange-crowned Warbler
Larus californicus_California Gull
Bombycilla garrulus_Bohemian Waxwing
Spizelloides arborea_American Tree Sparrow
Aythya americana_Redhead
Perisoreus canadensis_Canada Jay
Podilymbus podiceps_Pied-billed Grebe
Empidonax oberholseri_Dusky Flycatcher
Pinicola enucleator_Pine Grosbeak
Selasphorus calliope_Calliope Hummingbird
Cyanocitta stelleri_Steller's Jay
Cygnus columbianus_Tundra Swan
Cinclus mexicanus_American Dipper
Catharus guttatus_Hermit Thrush
Chordeiles minor_Common Nighthawk
Empidonax hammondii_Hammond's Flycatcher
Lanius borealis_Northern Shrike
Ixoreus naevius_Varied Thrush
Pheucticus melanocephalus_Black-headed Grosbeak
Accipiter striatus_Sharp-shinned Hawk
Dryocopus pileatus_Pileated Woodpecker
Nannopterum auritum_Double-crested Cormorant
Aythya valisineria_Canvasback
Sitta carolinensis_White-breasted Nuthatch
Setophaga townsendi_Townsend's Warbler
Riparia riparia_Bank Swallow
Pipilo maculatus_Spotted Towhee
Spatula discors_Blue-winged Teal
Cistothorus palustris_Marsh Wren
Leucosticte tephrocotis_Gray-crowned Rosy-Finch
Podiceps auritus_Horned Grebe
Buteo swainsoni_Swainson's Hawk
Certhia americana_Brown Creeper
Tyrannus verticalis_Western Kingbird
Bubo virginianus_Great Horned Owl
Vireo cassinii_Cassin's Vireo
Bonasa umbellus_Ruffed Grouse
Falco columbarius_Merlin
Phalaropus tricolor_Wilson's Phalarope
Aix sponsa_Wood Duck
Troglodytes pacificus_Pacific Wren
Recurvirostra americana_American Avocet
Meleagris gallopavo_Wild Turkey
Tringa melanoleuca_Greater Yellowlegs
Perdix perdix_Gray Partridge
Porzana carolina_Sora
Contopus cooperi_Olive-sided Flycatcher
Chondestes grammacus_Lark Sparrow
Anser caerulescens_Snow Goose
Tringa semipalmata_Willet
Limnodromus scolopaceus_Long-billed Dowitcher
Numenius americanus_Long-billed Curlew
Zonotrichia albicollis_White-throated Sparrow
Accipiter cooperii_Cooper's Hawk
Plectrophenax nivalis_Snow Bunting
Falco mexicanus_Prairie Falcon
Tringa solitaria_Solitary Sandpiper
Vireo olivaceus_Red-eyed Vireo
Himantopus mexicanus_Black-necked Stilt
Icteria virens_Yellow-breasted Chat
Picoides dorsalis_American Three-toed Woodpecker
Tympanuchus phasianellus_Sharp-tailed Grouse
Archilochus alexandri_Black-chinned Hummingbird
Setophaga ruticilla_American Redstart
Empidonax minimus_Least Flycatcher
Calidris bairdii_Baird's Sandpiper
Leucophaeus pipixcan_Franklin's Gull
Tringa flavipes_Lesser Yellowlegs
Calidris minutilla_Least Sandpiper
Spizella breweri_Brewer's Sparrow
Branta hutchinsii_Cackling Goose
Accipiter gentilis_Northern Goshawk
Aythya marila_Greater Scaup
Catharus fuscescens_Veery
Sayornis saya_Say's Phoebe
Buteo regalis_Ferruginous Hawk
Spizella pallida_Clay-colored Sparrow
Asio otus_Long-eared Owl
Leiothlypis ruficapilla_Nashville Warbler
Toxostoma rufum_Brown Thrasher
Calcarius lapponicus_Lapland Longspur
Larus argentatus_Herring Gull
Calidris pusilla_Semipalmated Sandpiper
Parkesia noveboracensis_Northern Waterthrush
Sitta pygmaea_Pygmy Nuthatch
Falco peregrinus_Peregrine Falcon
Limosa fedoa_Marbled Godwit
Salpinctes obsoletus_Rock Wren
Phalaropus lobatus_Red-necked Phalarope
Haemorhous purpureus_Purple Finch
Podiceps grisegena_Red-necked Grebe
Loxia leucoptera_White-winged Crossbill
Empidonax occidentalis_Cordilleran Flycatcher
Anser albifrons_Greater White-fronted Goose
Callipepla californica_California Quail
Nycticorax nycticorax_Black-crowned Night-Heron
Calidris melanotos_Pectoral Sandpiper
Mergus serrator_Red-breasted Merganser
Melanerpes lewis_Lewis's Woodpecker
Sterna forsteri_Forster's Tern
Ardea alba_Great Egret
Lanius ludovicianus_Loggerhead Shrike
Asio flammeus_Short-eared Owl
Calidris mauri_Western Sandpiper
Bubo scandiacus_Snowy Owl
Aegolius acadicus_Northern Saw-whet Owl
Plegadis chihi_White-faced Ibis
Ammodramus savannarum_Grasshopper Sparrow
Rallus limicola_Virginia Rail
Aeronautes saxatalis_White-throated Swift
Passerella iliaca_Fox Sparrow
Calcarius ornatus_Chestnut-collared Longspur
Dolichonyx oryzivorus_Bobolink
Chaetura vauxi_Vaux's Swift
Hydroprogne caspia_Caspian Tern
Alectoris chukar_Chukar
Oreoscoptes montanus_Sage Thrasher
Poecile rufescens_Chestnut-backed Chickadee
Sphyrapicus thyroideus_Williamson's Sapsucker
Chroicocephalus philadelphia_Bonaparte's Gull
Euphagus carolinus_Rusty Blackbird
Pipilo chlorurus_Green-tailed Towhee
Rhynchophanes mccownii_Thick-billed Longspur
Zonotrichia querula_Harris's Sparrow
Calamospiza melanocorys_Lark Bunting
Anthus spragueii_Sprague's Pipit
Poecile hudsonicus_Boreal Chickadee
Falco rusticolus_Gyrfalcon
Centrocercus urophasianus_Greater Sage-Grouse
Sialia mexicana_Western Bluebird
Canachites canadensis_Spruce Grouse
Dendragapus obscurus_Dusky Grouse
Charadrius semipalmatus_Semipalmated Plover
Bartramia longicauda_Upland Sandpiper
Botaurus lentiginosus_American Bittern
Aechmophorus clarkii_Clark's Grebe
Chlidonias niger_Black Tern
Megascops asio_Eastern Screech-Owl
Egretta thula_Snowy Egret
Anser rossii_Ross's Goose
Catherpes mexicanus_Canyon Wren
Picoides arcticus_Black-backed Woodpecker
Glaucidium gnoma_Northern Pygmy-Owl
Leucosticte atrata_Black Rosy-Finch
Icterus galbula_Baltimore Oriole
Thryomanes bewickii_Bewick's Wren
Leiothlypis peregrina_Tennessee Warbler
Strix nebulosa_Great Gray Owl
Centronyx bairdii_Baird's Sparrow
Athene cunicularia_Burrowing Owl
Setophaga striata_Blackpoll Warbler
Pluvialis dominica_American Golden-Plover
Strix varia_Barred Owl
