Chroicocephalus novaehollandiae_Silver Gull
Trichoglossus haematodus_Coconut Lorikeet
Estrilda astrild_Common Waxbill
Lichmera incana_Dark-brown Honeyeater
Passer domesticus_House Sparrow
Myiagra caledonica_Melanesian Flycatcher
Haliastur sphenurus_Whistling Kite
Pycnonotus cafer_Red-vented Bulbul
Pachycephala rufiventris_Rufous Whistler
Gerygone flavolateralis_Fan-tailed Gerygone
Phaethon rubricauda_Red-tailed Tropicbird
Circus approximans_Swamp Harrier
Rhipidura verreauxi_Streaked Fantail
Chrysococcyx lucidus_Shining Bronze-Cuckoo
Anas superciliosa_Pacific Black Duck
Accipiter fasciatus_Brown Goshawk
Chalcophaps longirostris_Pacific Emerald Dove
Rhipidura albiscapa_Gray Fantail
Egretta novaehollandiae_White-faced Heron
Rhynochetos jubatus_Kagu
Todiramphus sanctus_Sacred Kingfisher
Sula sula_Red-footed Booby
Vanellus miles_Masked Lapwing
Hirundo neoxena_Welcome Swallow
Lalage leucopyga_Long-tailed Triller
Zosterops lateralis_Silvereye
Porphyrio melanotus_Australasian Swamphen
Sterna dougallii_Roseate Tern
Artamus leucorynchus_White-breasted Woodswallow
Lonchura castaneothorax_Chestnut-breasted Munia
Esacus magnirostris_Beach Thick-knee
Fregata minor_Great Frigatebird
Onychoprion fuscatus_Sooty Tern
Gallus gallus_Red Junglefowl
Sterna sumatrana_Black-naped Tern
Acridotheres tristis_Common Myna
Egretta sacra_Pacific Reef-Heron
Pavo cristatus_Indian Peafowl
Gallirallus philippensis_Buff-banded Rail
Sula leucogaster_Brown Booby
Pluvialis fulva_Pacific Golden-Plover
Meleagris gallopavo_Wild Turkey
Onychoprion anaethetus_Bridled Tern
Phaethon lepturus_White-tailed Tropicbird
Streptopelia chinensis_Spotted Dove
Anous stolidus_Brown Noddy
Phasianus colchicus_Ring-necked Pheasant
Fregata ariel_Lesser Frigatebird
Tyto alba_Barn Owl
Gallinula tenebrosa_Dusky Moorhen
Ducula pacifica_Pacific Imperial-Pigeon
Tringa brevipes_Gray-tailed Tattler
Myzomela cardinalis_Cardinal Myzomela
Ardenna pacifica_Wedge-tailed Shearwater
Tringa incana_Wandering Tattler
Pterodroma nigripennis_Black-winged Petrel
Tachybaptus novaehollandiae_Australasian Grebe
Pachycephala chlorura_Vanuatu Whistler
Anas gracilis_Gray Teal
Ardenna tenuirostris_Short-tailed Shearwater
Hirundo tahitica_Pacific Swallow
Erythrura trichroa_Blue-faced Parrotfinch
Columba vitiensis_Metallic Pigeon
Thalasseus bergii_Great Crested Tern
Gygis alba_White Tern
Anous minutus_Black Noddy
Cacomantis flabelliformis_Fan-tailed Cuckoo
Sula dactylatra_Masked Booby
Calidris acuminata_Sharp-tailed Sandpiper
Numenius phaeopus_Whimbrel
Pluvialis squatarola_Black-bellied Plover
Charadrius mongolus_Lesser Sand-Plover
Zapornia tabuensis_Spotless Crake
Arenaria interpres_Ruddy Turnstone
Pandion haliaetus_Osprey
Falco peregrinus_Peregrine Falcon
Actitis hypoleucos_Common Sandpiper
Limosa lapponica_Bar-tailed Godwit
Calidris ruficollis_Red-necked Stint
Calidris alba_Sanderling
Urodynamis taitensis_Long-tailed Koel
Hydroprogne caspia_Caspian Tern
Puffinus bailloni_Tropical Shearwater
Columba livia_Rock Pigeon
Ardenna grisea_Sooty Shearwater
Turdus poliocephalus_Island Thrush
Macropygia mackinlayi_Mackinlay's Cuckoo-Dove
Bubulcus ibis_Cattle Egret
Todiramphus sacer_Pacific Kingfisher
Lonchura atricapilla_Chestnut Munia
Phalacrocorax carbo_Great Cormorant
Zosterops flavifrons_Yellow-fronted White-eye
Anthus novaeseelandiae_Australasian Pipit
Butorides striata_Striated Heron
Numenius madagascariensis_Far Eastern Curlew
Stercorarius pomarinus_Pomarine Jaeger
Ardea alba_Great Egret
Himantopus leucocephalus_Pied Stilt
Lalage maculosa_Polynesian Triller
Gymnorhina tibicen_Australian Magpie
Cygnus atratus_Black Swan
Petroica pusilla_Pacific Robin
Sternula albifrons_Little Tern
Fulica atra_Eurasian Coot
