Turdus migratorius_American Robin
Empidonax minimus_Least Flycatcher
Vireo plumbeus_Plumbeous Vireo
Calidris pusilla_Semipalmated Sandpiper
Sphyrapicus thyroideus_Williamson's Sapsucker
Rallus limicola_Virginia Rail
Calidris mauri_Western Sandpiper
Accipiter gentilis_Northern Goshawk
Melanerpes erythrocephalus_Red-headed Woodpecker
Spizella pallida_Clay-colored Sparrow
Sterna forsteri_Forster's Tern
Anser rossii_Ross's Goose
Limosa fedoa_Marbled Godwit
Bonasa umbellus_Ruffed Grouse
Tympanuchus phasianellus_Sharp-tailed Grouse
Icterus spurius_Orchard Oriole
Rhynchophanes mccownii_Thick-billed Longspur
Larus argentatus_Herring Gull
Dryocopus pileatus_Pileated Woodpecker
Calidris melanotos_Pectoral Sandpiper
Ixoreus naevius_Varied Thrush
Aythya marila_Greater Scaup
Setophaga ruticilla_American Redstart
Polioptila caerulea_Blue-gray Gnatcatcher
Bartramia longicauda_Upland Sandpiper
Tyto alba_Barn Owl
Vireo olivaceus_Red-eyed Vireo
Megascops asio_Eastern Screech-Owl
Egretta thula_Snowy Egret
Plectrophenax nivalis_Snow Bunting
Artemisiospiza nevadensis_Sagebrush Sparrow
Aegolius acadicus_Northern Saw-whet Owl
Melanerpes lewis_Lewis's Woodpecker
Anser albifrons_Greater White-fronted Goose
Empidonax hammondii_Hammond's Flycatcher
Alectoris chukar_Chukar
Troglodytes pacificus_Pacific Wren
Gymnorhinus cyanocephalus_Pinyon Jay
Botaurus lentiginosus_American Bittern
Asio flammeus_Short-eared Owl
Phalaenoptilus nuttallii_Common Poorwill
Spiza americana_Dickcissel
Anthus spragueii_Sprague's Pipit
Thryomanes bewickii_Bewick's Wren
Chroicocephalus philadelphia_Bonaparte's Gull
Dendragapus obscurus_Dusky Grouse
Charadrius semipalmatus_Semipalmated Plover
Aphelocoma woodhouseii_Woodhouse's Scrub-Jay
Leiothlypis ruficapilla_Nashville Warbler
Leucosticte australis_Brown-capped Rosy-Finch
Psaltriparus minimus_Bushtit
Zonotrichia albicollis_White-throated Sparrow
Zonotrichia querula_Harris's Sparrow
Chlidonias niger_Black Tern
Parkesia noveboracensis_Northern Waterthrush
Passerella iliaca_Fox Sparrow
Hydroprogne caspia_Caspian Tern
Myiarchus cinerascens_Ash-throated Flycatcher
Icterus galbula_Baltimore Oriole
Sialia sialis_Eastern Bluebird
Leiothlypis virginiae_Virginia's Warbler
Melanerpes carolinus_Red-bellied Woodpecker
Passerina cyanea_Indigo Bunting
Vireo cassinii_Cassin's Vireo
Tyrannus vociferans_Cassin's Kingbird
Dolichonyx oryzivorus_Bobolink
