Vanellus chilensis_Southern Lapwing
Larus dominicanus_Kelp Gull
Furnarius rufus_Rufous Hornero
Pitangus sulphuratus_Great Kiskadee
Mimus saturninus_Chalk-browed Mockingbird
Zonotrichia capensis_Rufous-collared Sparrow
Myiopsitta monachus_Monk Parakeet
Chroicocephalus maculipennis_Brown-hooded Gull
Zenaida auriculata_Eared Dove
Milvago chimango_Chimango Caracara
Passer domesticus_House Sparrow
Troglodytes aedon_House Wren
Nannopterum brasilianum_Neotropic Cormorant
Haematopus palliatus_American Oystercatcher
Tyrannus melancholicus_Tropical Kingbird
Anas georgica_Yellow-billed Pintail
Sicalis luteola_Grassland Yellow-Finch
Anas flavirostris_Yellow-billed Teal
Sterna trudeaui_Snowy-crowned Tern
Agelaioides badius_Grayish Baywing
Patagioenas picazuro_Picazuro Pigeon
Himantopus mexicanus_Black-necked Stilt
Spinus magellanicus_Hooded Siskin
Turdus rufiventris_Rufous-bellied Thrush
Guira guira_Guira Cuckoo
Plegadis chihi_White-faced Ibis
Athene cunicularia_Burrowing Owl
Egretta thula_Snowy Egret
Columbina picui_Picui Ground Dove
Podiceps major_Great Grebe
Coscoroba coscoroba_Coscoroba Swan
Pygochelidon cyanoleuca_Blue-and-white Swallow
Fulica armillata_Red-gartered Coot
Ardea alba_Great Egret
Charadrius falklandicus_Two-banded Plover
Rupornis magnirostris_Roadside Hawk
Molothrus bonariensis_Shiny Cowbird
Cathartes aura_Turkey Vulture
Pyrocephalus rubinus_Vermilion Flycatcher
Phleocryptes melanops_Wren-like Rushbird
Ardea cocoi_Cocoi Heron
Sicalis flaveola_Saffron Finch
Anthus correndera_Correndera Pipit
Nycticorax nycticorax_Black-crowned Night-Heron
Caracara plancus_Crested Caracara
Leucochloris albicollis_White-throated Hummingbird
Sterna hirundinacea_South American Tern
Hymenops perspicillatus_Spectacled Tyrant
Embernagra platensis_Great Pampa-Finch
Thalasseus maximus_Royal Tern
Pseudoleistes virescens_Brown-and-yellow Marshbird
Fulica rufifrons_Red-fronted Coot
Elanus leucurus_White-tailed Kite
Falco peregrinus_Peregrine Falcon
Falco sparverius_American Kestrel
Spatula platalea_Red Shoveler
Leistes loyca_Long-tailed Meadowlark
Calidris alba_Sanderling
Thalasseus sandvicensis_Sandwich Tern
Agelasticus thilius_Yellow-winged Blackbird
Patagioenas maculosa_Spot-winged Pigeon
