Zosterops japonicus_Warbling White-eye
Himatione sanguinea_Apapane
Chlorodrepanis virens_Hawaii Amakihi
Myadestes obscurus_Omao
Branta sandvicensis_Hawaiian Goose
Anous minutus_Black Noddy
Acridotheres tristis_Common Myna
Lophura leucomelanos_Kalij Pheasant
Chasiempis sandwichensis_Hawaii Elepaio
Geopelia striata_Zebra Dove
Streptopelia chinensis_Spotted Dove
Pluvialis fulva_Pacific Golden-Plover
Crithagra mozambica_Yellow-fronted Canary
Drepanis coccinea_Iiwi
Cardinalis cardinalis_Northern Cardinal
Haemorhous mexicanus_House Finch
Buteo solitarius_Hawaiian Hawk
Passer domesticus_House Sparrow
Phaethon lepturus_White-tailed Tropicbird
Leiothrix lutea_Red-billed Leiothrix
Pternistis erckelii_Erckel's Francolin
Sicalis flaveola_Saffron Finch
Horornis diphone_Japanese Bush Warbler
Garrulax canorus_Chinese Hwamei
Lonchura punctulata_Scaly-breasted Munia
Paroaria capitata_Yellow-billed Cardinal
Estrilda astrild_Common Waxbill
Tringa incana_Wandering Tattler
Bubulcus ibis_Cattle Egret
Arenaria interpres_Ruddy Turnstone
Loxops mana_Hawaii Creeper
Loxops coccineus_Hawaii Akepa
Nycticorax nycticorax_Black-crowned Night-Heron
Alauda arvensis_Eurasian Skylark
Hemignathus wilsoni_Akiapolaau
Ardenna pacifica_Wedge-tailed Shearwater
Mimus polyglottos_Northern Mockingbird
Himantopus mexicanus_Black-necked Stilt
Tyto alba_Barn Owl
Columba livia_Rock Pigeon
Meleagris gallopavo_Wild Turkey
Callipepla californica_California Quail
Gallinula galeata_Common Gallinule
Padda oryzivora_Java Sparrow
Sturnella neglecta_Western Meadowlark
Falco peregrinus_Peregrine Falcon
Aythya affinis_Lesser Scaup
Ardenna grisea_Sooty Shearwater
Gallus gallus_Red Junglefowl
Calidris alba_Sanderling
Anas acuta_Northern Pintail
Pluvialis squatarola_Black-bellied Plover
Fulica alai_Hawaiian Coot
Sula leucogaster_Brown Booby
Glaucestrilda caerulescens_Lavender Waxbill
Pterodroma sandwichensis_Hawaiian Petrel
Numenius phaeopus_Whimbrel
Sula sula_Red-footed Booby
Calidris canutus_Red Knot
Stercorarius parasiticus_Parasitic Jaeger
Spatula clypeata_Northern Shoveler
Limnodromus scolopaceus_Long-billed Dowitcher
Aythya collaris_Ring-necked Duck
Anas crecca_Green-winged Teal
Stercorarius pomarinus_Pomarine Jaeger
Sula dactylatra_Masked Booby
Euodice cantans_African Silverbill
Pterodroma cookii_Cook's Petrel
Calidris melanotos_Pectoral Sandpiper
Hydrobates leucorhous_Leach's Storm-Petrel
